geometry,start
"{""type"": ""Point"", ""coordinates"": [-73.9851615,40.76370739]}",151
"{""type"": ""Point"", ""coordinates"": [-74.009447,40.711066]}",151
"{""type"": ""Point"", ""coordinates"": [-73.97634151,40.76590936]}",149
"{""type"": ""Point"", ""coordinates"": [-74.00451887,40.74691959]}",149
"{""type"": ""Point"", ""coordinates"": [-73.99810231,40.72917025]}",148
"{""type"": ""Point"", ""coordinates"": [-74.00507033,40.7394482]}",148
"{""type"": ""Point"", ""coordinates"": [-74.00277668,40.76087502]}",148
"{""type"": ""Point"", ""coordinates"": [-74.00247214,40.71939226]}",148
"{""type"": ""Point"", ""coordinates"": [-73.97620574,40.77579377]}",146
"{""type"": ""Point"", ""coordinates"": [-73.99662137,40.72706363]}",146
"{""type"": ""Point"", ""coordinates"": [-73.98426726,40.72953837]}",146
"{""type"": ""Point"", ""coordinates"": [-73.98713956,40.7284186]}",145
"{""type"": ""Point"", ""coordinates"": [-73.99884222,40.76030096]}",145
"{""type"": ""Point"", ""coordinates"": [-73.99915362,40.74475148]}",145
"{""type"": ""Point"", ""coordinates"": [-73.99392888,40.76727216]}",145
"{""type"": ""Point"", ""coordinates"": [-73.976806,40.739445]}",145
"{""type"": ""Point"", ""coordinates"": [-74.01361706,40.70463334]}",144
"{""type"": ""Point"", ""coordinates"": [-73.97782542,40.7734066]}",144
"{""type"": ""Point"", ""coordinates"": [-73.98751968,40.73827428]}",144
"{""type"": ""Point"", ""coordinates"": [-73.986923,40.734232]}",143
"{""type"": ""Point"", ""coordinates"": [-73.98997825,40.72019576]}",143
"{""type"": ""Point"", ""coordinates"": [-73.98797393,40.73536706]}",142
"{""type"": ""Point"", ""coordinates"": [-73.99266288,40.71893904]}",142
"{""type"": ""Point"", ""coordinates"": [-74.00293877,40.73401143]}",141
"{""type"": ""Point"", ""coordinates"": [-73.99667444,40.76341379]}",139
"{""type"": ""Point"", ""coordinates"": [-73.99046034,40.77149671]}",139
"{""type"": ""Point"", ""coordinates"": [-73.98215353,40.74311555]}",139
"{""type"": ""Point"", ""coordinates"": [-73.98093045,40.77966809]}",138
"{""type"": ""Point"", ""coordinates"": [-73.98765428,40.75097711]}",138
"{""type"": ""Point"", ""coordinates"": [-73.99994661,40.73781509]}",138
"{""type"": ""Point"", ""coordinates"": [-73.9870295,40.71559509]}",138
"{""type"": ""Point"", ""coordinates"": [-73.94552579,40.7862586]}",137
"{""type"": ""Point"", ""coordinates"": [-74.008119,40.739323]}",136
"{""type"": ""Point"", ""coordinates"": [-73.99190759,40.71605866]}",136
"{""type"": ""Point"", ""coordinates"": [-73.98990025,40.71427487]}",136
"{""type"": ""Point"", ""coordinates"": [-73.99404649,40.72903917]}",136
"{""type"": ""Point"", ""coordinates"": [-73.98268129,40.76344058]}",135
"{""type"": ""Point"", ""coordinates"": [-73.97835016,40.76309387]}",135
"{""type"": ""Point"", ""coordinates"": [-73.98978041,40.7262807]}",135
"{""type"": ""Point"", ""coordinates"": [-73.9912551,40.76019252]}",133
"{""type"": ""Point"", ""coordinates"": [-73.9535166,40.77140426]}",133
"{""type"": ""Point"", ""coordinates"": [-73.95850939,40.71745169]}",132
"{""type"": ""Point"", ""coordinates"": [-74.00670227,40.70355377]}",132
"{""type"": ""Point"", ""coordinates"": [-73.99931783,40.73935542]}",132
"{""type"": ""Point"", ""coordinates"": [-73.98379855,40.72621788]}",132
"{""type"": ""Point"", ""coordinates"": [-73.98721619,40.75299641]}",131
"{""type"": ""Point"", ""coordinates"": [-74.005226,40.751396]}",131
"{""type"": ""Point"", ""coordinates"": [-73.98025185,40.75412081]}",130
"{""type"": ""Point"", ""coordinates"": [-74.01043382,40.70905623]}",130
"{""type"": ""Point"", ""coordinates"": [-73.96905301,40.75001986]}",130
"{""type"": ""Point"", ""coordinates"": [-74.0046073,40.71273266]}",130
"{""type"": ""Point"", ""coordinates"": [-73.99906065,40.73047747]}",130
"{""type"": ""Point"", ""coordinates"": [-73.97032517,40.75323098]}",130
"{""type"": ""Point"", ""coordinates"": [-74.00295035,40.74971775]}",129
"{""type"": ""Point"", ""coordinates"": [-73.99480012,40.72317958]}",128
"{""type"": ""Point"", ""coordinates"": [-73.96024116,40.71534825]}",127
"{""type"": ""Point"", ""coordinates"": [-73.99800419,40.73532427]}",126
"{""type"": ""Point"", ""coordinates"": [-73.95348296,40.76663814]}",126
"{""type"": ""Point"", ""coordinates"": [-73.97536082,40.74144387]}",124
"{""type"": ""Point"", ""coordinates"": [-73.96724467,40.76095756]}",124
"{""type"": ""Point"", ""coordinates"": [-73.99461843,40.76009437]}",123
"{""type"": ""Point"", ""coordinates"": [-73.98889957,40.73223272]}",123
"{""type"": ""Point"", ""coordinates"": [-74.00367558,40.74353373]}",123
"{""type"": ""Point"", ""coordinates"": [-73.98473765,40.73624527]}",122
"{""type"": ""Point"", ""coordinates"": [-73.9979009,40.75660359]}",121
"{""type"": ""Point"", ""coordinates"": [-73.98303529,40.74444921]}",121
"{""type"": ""Point"", ""coordinates"": [-73.98859651,40.75929124]}",121
"{""type"": ""Point"", ""coordinates"": [-73.98014437,40.75500254]}",121
"{""type"": ""Point"", ""coordinates"": [-74.00004031,40.74345335]}",121
"{""type"": ""Point"", ""coordinates"": [-73.99069656,40.72502876]}",119
"{""type"": ""Point"", ""coordinates"": [-73.99147535,40.72229346]}",119
"{""type"": ""Point"", ""coordinates"": [-73.98261428,40.77163851]}",118
"{""type"": ""Point"", ""coordinates"": [-73.99301222,40.76269882]}",118
"{""type"": ""Point"", ""coordinates"": [-73.98257732,40.75668721]}",118
