start1,end1,start2,end2,count
-73.99974372,40.71602118,-73.99974372,40.71602118,16
-73.979382,40.688226,-73.979382,40.688226,16
-73.99974372,40.71602118,-73.9870295,40.71559509,12
-73.979382,40.688226,-73.97178913,40.69308257,12
-73.99415556,40.74173969,-74.00197139,40.7454973,11
-73.98165557,40.73221853,-73.986923,40.734232,11
-73.94552579,40.7862586,-73.9471673,40.7839636,10
-73.98067966,40.72966729,-73.99074142,40.73454567,10
-73.99415556,40.74173969,-73.99915362,40.74475148,9
-73.97178913,40.69308257,-73.979382,40.688226,9
-74.008591,40.728846,-74.01129574,40.72771408,9
-73.986923,40.734232,-73.98054421,40.73381219,9
-73.99724901,40.72210379,-73.99974372,40.71602118,9
-73.989111,40.722055,-73.9870295,40.71559509,8
-73.97898475,40.7770575,-73.98261428,40.77163851,8
-74.01030064,40.72019521,-74.01122332,40.71485151,8
-73.99098507,40.7575699,-73.99884222,40.76030096,8
-73.99009296,40.73704984,-73.98165557,40.73221853,8
-73.963198,40.716887,-73.96063149,40.70924826,8
-73.99490342,40.73143724,-73.99200509,40.73492695,8
-73.98379855,40.72621788,-73.9907527,40.72951496,8
-73.98765428,40.75097711,-74.00552427,40.71146364,8
-73.99974372,40.71602118,-73.989111,40.722055,8
-73.94755757,40.7903051,-73.94552579,40.7862586,8
-73.98054421,40.73381219,-73.986923,40.734232,8
-73.99974372,40.71602118,-73.97793172,40.72082834,7
-74.00138497,40.74102151,-73.99415556,40.74173969,7
-73.96094022,40.7612274,-73.967416,40.756014,7
-73.99884222,40.76030096,-73.99098507,40.7575699,7
-74.007756,40.746745,-73.99415556,40.74173969,7
-73.98990025,40.71427487,-73.98990025,40.71427487,7
-73.99974372,40.71602118,-73.99190759,40.71605866,7
-73.9870295,40.71559509,-73.981346,40.714215,7
-73.97087984,40.6729679,-73.97087984,40.6729679,7
-73.981346,40.714215,-73.99974372,40.71602118,7
-73.9471673,40.7839636,-73.94552579,40.7862586,7
-74.015756,40.711512,-74.01713445,40.70834698,7
-74.00859207,40.7361967,-74.00473036,40.72430832,7
-73.99415556,40.74173969,-73.99529885,40.74487634,7
-74.01129574,40.72771408,-74.01322069,40.71754834,7
-73.99415556,40.74173969,-73.99931783,40.73935542,6
-73.99461843,40.76009437,-73.99098507,40.7575699,6
-73.98191841,40.76915505,-73.98918696,40.77515953,6
-73.98288594,40.77748046,-73.98918696,40.77515953,6
-73.99529885,40.74487634,-74.00451887,40.74691959,6
-73.98802084,40.7172274,-73.981346,40.714215,6
-73.97898475,40.7770575,-73.98191841,40.76915505,6
-73.99595065,40.69512845,-73.99344559,40.69760127,6
-73.99344559,40.69760127,-73.99612349,40.69089272,6
-73.99974372,40.71602118,-73.99480012,40.72317958,6
-73.989111,40.722055,-73.99190759,40.71605866,6
-74.01713445,40.70834698,-74.01658354,40.7153379,6
-73.96525063,40.71044554,-73.96024116,40.71534825,6
-74.00197139,40.7454973,-73.99726235,40.74238787,6
-73.979382,40.688226,-73.968896,40.693261,6
-73.94308,40.72325,-73.94308,40.72325,6
-73.98940236,40.70255088,-73.98971773,40.69991755,6
-73.98016555,40.71739973,-73.99974372,40.71602118,6
-74.01658354,40.7153379,-74.01677685,40.70569254,6
-73.99098507,40.7575699,-73.99098507,40.7575699,6
-73.955613,40.799484,-73.955613,40.799484,6
-73.9535166,40.77140426,-73.95840794,40.76876203,6
-73.97283406,40.78499979,-73.97283406,40.78499979,6
-73.98192338,40.7652654,-73.9912551,40.76019252,6
-73.99456405,40.73971301,-73.98205027,40.73587678,6
-74.007756,40.746745,-74.00138497,40.74102151,6
-74.00674436,40.73172428,-73.99642959,40.73804614,6
-73.97667321,40.78524672,-73.968087,40.7919557,6
-73.99994661,40.73781509,-74.00293877,40.73401143,6
-74.009447,40.711066,-73.99974372,40.71602118,6
-73.968896,40.693261,-73.979382,40.688226,6
-73.97945255,40.66106337,-73.97945255,40.66106337,6
-73.99974372,40.71602118,-73.98016555,40.71739973,6
-73.97449784,40.74322681,-73.97706058,40.74290902,6
-73.99974372,40.71602118,-73.99379025,40.72743423,6
-73.97637606,40.66514682,-73.97945255,40.66106337,6
-73.99098507,40.7575699,-73.99461843,40.76009437,6
-73.97754961,40.7785669,-73.97898475,40.7770575,6
-73.99392888,40.76727216,-74.00277668,40.76087502,6
-73.95284,40.73555,-73.95411749,40.74232744,6
-73.98848395,40.74901271,-73.98765428,40.75097711,6
