start1,end1,start2,end2,count
-73.979382,40.688226,-73.979382,40.688226,25
-73.99974372,40.71602118,-73.99974372,40.71602118,24
-73.94552579,40.7862586,-73.9471673,40.7839636,23
-73.97738662,40.7381765,-73.976806,40.739445,22
-74.00277668,40.76087502,-74.01129574,40.72771408,21
-73.98971773,40.69991755,-74.0046073,40.71273266,21
-73.97178913,40.69308257,-73.979382,40.688226,20
-73.976806,40.739445,-73.97738662,40.7381765,20
-73.98379855,40.72621788,-73.9907527,40.72951496,19
-73.99074142,40.73454567,-73.98067966,40.72966729,18
-73.97634151,40.76590936,-73.97634151,40.76590936,18
-74.01129574,40.72771408,-74.01322069,40.71754834,18
-73.979382,40.688226,-73.97178913,40.69308257,16
-73.9870295,40.71559509,-73.981346,40.714215,15
-73.97945255,40.66106337,-73.97945255,40.66106337,15
-73.97634151,40.76590936,-73.95939,40.78307,14
-73.99884222,40.76030096,-73.99098507,40.7575699,13
-73.991454,40.700469,-73.98971773,40.69991755,13
-73.97371465,40.7643971,-73.96427393,40.77632142,13
-74.01129574,40.72771408,-74.015756,40.711512,13
-74.008119,40.739323,-74.00711384,40.73291553,12
-73.99383605,40.70277159,-74.0046073,40.71273266,12
-73.97283406,40.78499979,-73.98266566,40.77492513,12
-73.968896,40.693261,-73.979382,40.688226,12
-74.01129574,40.72771408,-74.00277668,40.76087502,12
-73.97634151,40.76590936,-73.955613,40.799484,12
-73.99415556,40.74173969,-74.00197139,40.7454973,11
-73.9999786,40.69165183,-73.99383605,40.70277159,11
-73.9870295,40.71559509,-73.99974372,40.71602118,11
-73.96264403,40.71260486,-73.96063149,40.70924826,11
-73.95852515,40.7190095,-73.95212324,40.72311651,11
-73.98955109,40.7403432,-73.99009296,40.73704984,11
-73.99974372,40.71602118,-73.99190759,40.71605866,11
-73.99974372,40.71602118,-73.981346,40.714215,10
-73.99415556,40.74173969,-73.99931783,40.73935542,10
-73.9734419,40.74780373,-73.97706058,40.74290902,10
-73.963198,40.716887,-73.96063149,40.70924826,10
-73.99974372,40.71602118,-74.00504082,40.70831794,10
-73.97371465,40.7643971,-73.95939,40.78307,10
-73.96885458,40.68940747,-73.979382,40.688226,10
-73.967416,40.756014,-73.97706058,40.74290902,10
-73.99344559,40.69760127,-73.99612349,40.69089272,10
-73.968087,40.7919557,-73.97283406,40.78499979,10
-74.01677685,40.70569254,-74.01129574,40.72771408,10
-74.01322069,40.71754834,-74.01129574,40.72771408,10
-73.96699104,40.804213,-73.971888,40.7937704,10
-73.96590294,40.71285887,-73.96063149,40.70924826,10
-73.98955109,40.7403432,-73.99415556,40.74173969,10
-73.98379855,40.72621788,-73.99074142,40.73454567,10
-74.007756,40.746745,-74.00004031,40.74345335,10
-73.98426726,40.72953837,-73.99074142,40.73454567,9
-73.97363831,40.668132,-73.97363831,40.668132,9
-73.954692,40.805159,-73.953149,40.809725,9
