start1,end1,start2,end2,count
-73.979382,40.688226,-73.979382,40.688226,21
-73.99098507,40.7575699,-73.99098507,40.7575699,19
-73.99974372,40.71602118,-73.99974372,40.71602118,16
-74.01713445,40.70834698,-74.015756,40.711512,15
-73.98067966,40.72966729,-73.99074142,40.73454567,15
-73.97634151,40.76590936,-73.97371465,40.7643971,15
-73.97283406,40.78499979,-73.97898475,40.7770575,13
-73.94552579,40.7862586,-73.9471673,40.7839636,13
-73.99415556,40.74173969,-74.00197139,40.7454973,11
-73.989111,40.722055,-73.99974372,40.71602118,11
-73.968087,40.7919557,-73.97283406,40.78499979,11
-73.9870295,40.71559509,-73.981346,40.714215,11
-73.97620574,40.77579377,-73.97620574,40.77579377,11
-73.96885458,40.68940747,-73.979382,40.688226,10
-73.99098507,40.7575699,-73.99884222,40.76030096,10
-73.96536851,40.69196035,-73.979382,40.688226,10
-73.99383605,40.70277159,-74.0046073,40.71273266,10
-73.98990025,40.71427487,-73.99974372,40.71602118,10
-74.01129574,40.72771408,-74.01322069,40.71754834,10
-73.99974372,40.71602118,-73.9870295,40.71559509,10
-74.01677685,40.70569254,-74.01658354,40.7153379,9
-73.98016555,40.71739973,-73.99974372,40.71602118,9
-73.96922273,40.68415748,-73.979382,40.688226,9
-73.99884222,40.76030096,-73.99098507,40.7575699,9
-73.97371465,40.7643971,-73.97634151,40.76590936,9
-74.0091059,40.71625008,-74.01322069,40.71754834,9
-73.955613,40.799484,-73.97374737,40.77896784,9
-73.979382,40.688226,-73.98451656,40.68841743,9
-73.98194829,40.7457121,-73.97706058,40.74290902,9
-74.00747359,40.74275383,-74.00681753,40.74334935,9
-73.96165073,40.72036775,-73.95779,40.72906,9
-73.99074142,40.73454567,-73.98067966,40.72966729,9
-73.97283406,40.78499979,-73.98266566,40.77492513,9
-73.981346,40.714215,-73.98990025,40.71427487,9
-73.98093045,40.77966809,-73.97667321,40.78524672,9
-73.99915362,40.74475148,-73.98955109,40.7403432,8
-73.96525063,40.71044554,-73.96024116,40.71534825,8
-74.01322069,40.71754834,-74.00711384,40.73291553,8
-73.99974372,40.71602118,-74.008591,40.728846,8
-73.96968902,40.68764484,-73.979382,40.688226,8
-73.98191841,40.76915505,-73.98918696,40.77515953,8
-73.960876,40.710451,-73.960876,40.710451,8
-74.008591,40.728846,-74.01361706,40.70463334,8
-73.99074142,40.73454567,-73.98426726,40.72953837,8
-73.983293,40.741459,-73.97966069,40.74394314,8
-73.95779,40.72906,-73.96165073,40.72036775,8
-73.97620574,40.77579377,-73.96685276,40.77282817,8
-73.99974372,40.71602118,-74.00504082,40.70831794,8
-73.98165557,40.73221853,-73.99009296,40.73704984,8
-73.97945255,40.66106337,-73.97087984,40.6729679,8
-73.979382,40.688226,-73.97178913,40.69308257,8
-74.00552427,40.71146364,-73.990539,40.69383,8
-73.9567526,40.77573034,-73.9590097,40.77677702,8
-73.97793172,40.72082834,-73.99974372,40.71602118,8
-73.97283406,40.78499979,-73.98093045,40.77966809,8
-73.98165557,40.73221853,-73.986923,40.734232,8
-74.01361706,40.70463334,-74.00552427,40.71146364,8
-73.94434,40.72557,-73.94984365,40.72395678,8
-74.01129574,40.72771408,-74.01677685,40.70569254,7
-73.99600983,40.72430527,-73.99974372,40.71602118,7
-73.98205027,40.73587678,-73.99415556,40.74173969,7
-73.98426726,40.72953837,-73.99074142,40.73454567,7
-74.00293877,40.73401143,-74.00398269,40.73756121,7
-73.97667321,40.78524672,-73.98093045,40.77966809,7
-73.99974372,40.71602118,-73.981346,40.714215,7
-73.93795609,40.7535992,-73.9397405,40.7527085,7
-73.9907527,40.72951496,-73.98185424,40.72453734,7
-73.95284,40.73555,-73.95411749,40.74232744,7
-73.96063149,40.70924826,-73.96024116,40.71534825,7
-74.007756,40.746745,-73.99726235,40.74238787,7
-73.981346,40.714215,-73.9870295,40.71559509,7
-73.99344559,40.69760127,-73.99612349,40.69089272,7
-73.98054421,40.73381219,-73.99009296,40.73704984,7
-73.955613,40.799484,-73.96961715,40.78472675,7
-74.00016545,40.71117416,-73.99974372,40.71602118,7
-73.99723551,40.74734825,-73.99923384,40.74937024,7
-73.95212324,40.72311651,-73.9504154,40.72179134,7
-73.967416,40.756014,-73.967416,40.756014,7
-73.95520136,40.71816969,-73.95826,40.73266,7
-73.99915362,40.74475148,-74.00451887,40.74691959,7
-74.00218427,40.75018156,-73.99529885,40.74487634,7
-73.98451656,40.68841743,-73.98451656,40.68841743,7
-73.99724901,40.72210379,-73.99102628,40.73020661,7
-74.00197139,40.7454973,-73.99456405,40.73971301,7
-73.97283406,40.78499979,-73.97283406,40.78499979,7
-73.99480012,40.72317958,-73.99974372,40.71602118,6
-74.007756,40.746745,-74.00138497,40.74102151,6
-73.98978041,40.7262807,-73.98368779,40.72217444,6
-73.98191841,40.76915505,-73.98191841,40.76915505,6
-73.97728533,40.78018397,-73.98261428,40.77163851,6
-73.97484126,40.6711978,-73.97324283,40.6776147,6
-73.99344559,40.69760127,-73.99203074,40.6902375,6
-73.99974372,40.71602118,-73.989111,40.722055,6
-73.971888,40.7937704,-73.97283406,40.78499979,6
-73.97966069,40.74394314,-73.9916,40.749156,6
-74.00197139,40.7454973,-74.00138497,40.74102151,6
-73.99931783,40.73935542,-74.007756,40.746745,6
-73.97898475,40.7770575,-73.97620574,40.77579377,6
-73.98379855,40.72621788,-73.99102628,40.73020661,6
-73.98191841,40.76915505,-73.97283406,40.78499979,6
-73.9471673,40.7839636,-73.94552579,40.7862586,6
-73.953149,40.809725,-73.954692,40.805159,6
-73.98379855,40.72621788,-73.9907527,40.72951496,6
-73.98918696,40.77515953,-73.98191841,40.76915505,6
-74.00138497,40.74102151,-74.007756,40.746745,6
-74.0021163,40.75594159,-73.993934,40.751551,6
-73.9523,40.7987859,-73.97620574,40.77579377,6
-73.99974372,40.71602118,-73.97668709,40.72228087,6
-73.95939,40.78307,-73.95939,40.78307,6
-73.986923,40.734232,-73.98054421,40.73381219,6
-73.955613,40.799484,-73.98191841,40.76915505,6
-73.95234386,40.71413311,-73.95850939,40.71745169,6
-73.9737299,40.6917823,-73.979382,40.688226,6
-73.979382,40.688226,-73.968896,40.693261,6
-73.97945255,40.66106337,-73.97945255,40.66106337,6
-73.98808416,40.74854862,-73.98194829,40.7457121,6
-73.96024116,40.71534825,-73.96590294,40.71285887,6
-74.00138497,40.74102151,-73.99415556,40.74173969,6
-73.97283406,40.78499979,-73.98261428,40.77163851,6
-73.979382,40.688226,-73.98759104,40.6864442,6
