start1,end1,start2,end2,count
-73.967416,40.756014,-73.967416,40.756014,29
-73.94552579,40.7862586,-73.9471673,40.7839636,27
-73.979382,40.688226,-73.979382,40.688226,27
-73.97178913,40.69308257,-73.979382,40.688226,25
-73.977706,40.751873,-73.99098507,40.7575699,24
-73.968896,40.693261,-73.979382,40.688226,21
-73.99974372,40.71602118,-73.99974372,40.71602118,21
-73.97498696,40.75510267,-73.99098507,40.7575699,19
-73.98379855,40.72621788,-73.9907527,40.72951496,19
-73.96536851,40.69196035,-73.979382,40.688226,19
-73.99098507,40.7575699,-73.99461843,40.76009437,18
-73.99098507,40.7575699,-73.977706,40.751873,17
-73.99098507,40.7575699,-73.99098507,40.7575699,17
-73.99723551,40.74734825,-74.00218427,40.75018156,17
-73.979382,40.688226,-73.968896,40.693261,17
-74.007756,40.746745,-74.00004031,40.74345335,16
-73.96885458,40.68940747,-73.979382,40.688226,16
-73.98303529,40.74444921,-73.977706,40.751873,16
-73.97992194,40.75216528,-73.99098507,40.7575699,16
-73.99415556,40.74173969,-74.00197139,40.7454973,15
-73.96590294,40.71285887,-73.95850939,40.71745169,15
-73.98602213,40.74096374,-73.9916,40.749156,15
-73.99098507,40.7575699,-73.99884222,40.76030096,15
-73.979382,40.688226,-73.97178913,40.69308257,15
-73.99098507,40.7575699,-73.97498696,40.75510267,15
-73.97493121,40.68981035,-73.979382,40.688226,14
-73.977706,40.751873,-73.99093085,40.75019995,14
-73.98194829,40.7457121,-73.97449784,40.74322681,14
-74.00295035,40.74971775,-73.99723551,40.74734825,13
-73.993934,40.751551,-73.99098507,40.7575699,13
-73.9979009,40.75660359,-73.993934,40.751551,13
-73.9422369,40.71907891,-73.944507,40.715143,13
-73.97982001,40.76132983,-73.98268129,40.76344058,13
-73.95850939,40.71745169,-73.96590294,40.71285887,13
-73.98990025,40.71427487,-73.981346,40.714215,13
-74.00451887,40.74691959,-73.99415556,40.74173969,13
-73.98165557,40.73221853,-73.97809472,40.736502,13
-73.95818491,40.76500525,-73.967416,40.756014,13
-73.99468482,40.75058535,-74.005226,40.751396,13
-73.99723551,40.74734825,-74.005226,40.751396,13
-74.007756,40.746745,-73.99468482,40.75058535,13
-73.981346,40.714215,-73.98990025,40.71427487,13
-73.97791,40.751581,-73.99098507,40.7575699,13
-73.97805914,40.75724568,-73.99098507,40.7575699,13
-73.97283406,40.78499979,-73.97283406,40.78499979,12
-73.99093085,40.75019995,-73.977706,40.751873,12
-73.99974372,40.71602118,-74.01020234,40.71291224,12
-73.99724901,40.72210379,-73.99974372,40.71602118,12
-73.9851615,40.76370739,-73.99061728,40.76669671,12
-73.99884222,40.76030096,-73.99098507,40.7575699,12
-74.01020234,40.71291224,-73.99974372,40.71602118,12
-74.01030064,40.72019521,-74.01658354,40.7153379,12
-73.97791,40.751581,-73.97992194,40.75216528,12
-73.99098507,40.7575699,-73.97992194,40.75216528,12
-73.97982001,40.76132983,-73.99098507,40.7575699,12
-73.95852515,40.7190095,-73.95621,40.72606,12
-73.967416,40.756014,-73.97402311,40.7597108,12
-73.977706,40.751873,-73.98303529,40.74444921,12
-73.95284,40.73555,-73.95411749,40.74232744,12
-73.98025185,40.75412081,-73.99098507,40.7575699,12
-74.007756,40.746745,-74.00138497,40.74102151,12
-74.00451887,40.74691959,-73.99915362,40.74475148,12
-73.993934,40.751551,-73.977706,40.751873,11
-73.99144871,40.74395411,-74.00295035,40.74971775,11
-74.0046073,40.71273266,-74.0046073,40.71273266,11
-73.9471673,40.7839636,-73.94552579,40.7862586,11
-73.99098507,40.7575699,-73.9851615,40.76370739,11
-74.00138497,40.74102151,-73.99468482,40.75058535,11
-73.97791,40.751581,-73.99093085,40.75019995,11
-73.99098507,40.7575699,-73.988639,40.768254,11
-73.99415556,40.74173969,-74.00451887,40.74691959,11
-73.98014437,40.75500254,-73.99093085,40.75019995,11
-73.977706,40.751873,-73.983293,40.741459,11
-73.99415556,40.74173969,-73.99931783,40.73935542,11
-73.99098507,40.7575699,-73.97805914,40.75724568,11
