start1,end1,start2,end2,count
-73.99383605,40.70277159,-73.99383605,40.70277159,65
-73.979382,40.688226,-73.979382,40.688226,61
-73.99974372,40.71602118,-73.9870295,40.71559509,23
-73.967416,40.756014,-73.967416,40.756014,21
-73.99415556,40.74173969,-74.00197139,40.7454973,19
-73.99974372,40.71602118,-73.99974372,40.71602118,17
-73.968087,40.7919557,-73.97283406,40.78499979,17
-73.99098507,40.7575699,-73.99098507,40.7575699,17
-73.96536851,40.69196035,-73.979382,40.688226,16
-73.95411749,40.74232744,-73.95284,40.73555,16
-74.013012,40.7149787,-74.015756,40.711512,14
-73.99098507,40.7575699,-73.9851615,40.76370739,14
-74.00197139,40.7454973,-73.99415556,40.74173969,14
-73.97283406,40.78499979,-73.97283406,40.78499979,14
-73.9870295,40.71559509,-73.99974372,40.71602118,13
-73.97283406,40.78499979,-73.97898475,40.7770575,13
-73.981346,40.714215,-73.99974372,40.71602118,12
-73.97265183,40.68753406,-73.979382,40.688226,12
-73.97898475,40.7770575,-73.98261428,40.77163851,12
-73.979382,40.688226,-73.98451656,40.68841743,12
-74.01361706,40.70463334,-74.01677685,40.70569254,12
-73.979382,40.688226,-73.96536851,40.69196035,11
-73.97371465,40.7643971,-73.97371465,40.7643971,11
-73.99915362,40.74475148,-73.99415556,40.74173969,11
-73.95284,40.73555,-73.95411749,40.74232744,11
-73.98093045,40.77966809,-73.9786517,40.7829391,11
-74.0046073,40.71273266,-74.0046073,40.71273266,11
-74.00451887,40.74691959,-73.99915362,40.74475148,11
-73.99884222,40.76030096,-74.0021163,40.75594159,11
-74.00138497,40.74102151,-74.007756,40.746745,11
-74.01713445,40.70834698,-74.015756,40.711512,11
-73.98261428,40.77163851,-73.98191841,40.76915505,11
-73.98093045,40.77966809,-73.97898475,40.7770575,10
-73.98165557,40.73221853,-73.986923,40.734232,10
-73.98191841,40.76915505,-73.99046034,40.77149671,10
-73.98658032,40.75513557,-73.99098507,40.7575699,10
-73.9786517,40.7829391,-73.97283406,40.78499979,10
-73.97283406,40.78499979,-73.98093045,40.77966809,9
-73.97283406,40.78499979,-73.97728533,40.78018397,9
-73.99415556,40.74173969,-73.99723551,40.74734825,9
-74.00295035,40.74971775,-74.00218427,40.75018156,9
-73.97634151,40.76590936,-73.95939,40.78307,9
-73.99974372,40.71602118,-73.981346,40.714215,9
-74.007756,40.746745,-74.00004031,40.74345335,9
-73.99344559,40.69760127,-73.99595065,40.69512845,9
-74.01677685,40.70569254,-74.01658354,40.7153379,9
-73.99098507,40.7575699,-73.97371465,40.7643971,9
-73.99810231,40.72917025,-73.99974372,40.71602118,9
-73.98093045,40.77966809,-73.97667321,40.78524672,9
-73.9737299,40.6917823,-73.979382,40.688226,9
-73.98165557,40.73221853,-73.97573881,40.73314259,9
-73.98067966,40.72966729,-73.99994661,40.73781509,9
-73.97178913,40.69308257,-73.979382,40.688226,9
-74.013012,40.7149787,-74.01713445,40.70834698,9
-73.98918629,40.74286877,-73.993915,40.746647,9
-73.94552579,40.7862586,-73.9471673,40.7839636,9
-73.98379855,40.72621788,-73.9907527,40.72951496,9
-73.98997825,40.72019576,-73.99974372,40.71602118,9
-73.99915362,40.74475148,-74.00451887,40.74691959,9
-73.98848395,40.74901271,-73.99098507,40.7575699,8
-73.98997825,40.72019576,-73.98564945,40.72779126,8
-73.97706058,40.74290902,-73.98165557,40.73221853,8
-73.97620574,40.77579377,-73.97620574,40.77579377,8
-73.99415556,40.74173969,-74.00451887,40.74691959,8
-73.97950418,40.72746421,-73.98067966,40.72966729,8
-73.97782542,40.7734066,-73.97620574,40.77579377,8
-73.96094022,40.7612274,-73.95818491,40.76500525,8
-73.98990025,40.71427487,-73.981346,40.714215,8
-74.00004031,40.74345335,-73.99415556,40.74173969,8
-73.98205027,40.73587678,-73.98054421,40.73381219,8
-73.9504154,40.72179134,-73.94800901,40.72146256,8
-73.971518,40.766368,-73.971518,40.766368,8
-73.98185424,40.72453734,-73.99069656,40.72502876,8
-73.97895137,40.68312489,-73.979382,40.688226,8
-73.979382,40.688226,-73.968896,40.693261,8
-73.99974372,40.71602118,-74.0091059,40.71625008,8
-73.98192338,40.7652654,-73.98452729,40.76068327,8
-73.989111,40.722055,-73.99974372,40.71602118,8
-73.968896,40.693261,-73.979382,40.688226,8
-73.99102628,40.73020661,-73.99158043,40.73261787,8
-73.99190759,40.71605866,-73.98997825,40.72019576,8
-73.99724901,40.72210379,-73.99600983,40.72430527,8
-74.007756,40.746745,-74.00138497,40.74102151,8
-73.967416,40.756014,-73.97706058,40.74290902,8
-73.97363831,40.668132,-73.97363831,40.668132,8
-73.98451656,40.68841743,-73.979382,40.688226,8
-73.9912551,40.76019252,-73.99098507,40.7575699,8
-73.98288594,40.77748046,-73.98690506,40.76584941,8
-73.967416,40.756014,-73.96094022,40.7612274,8
-73.97283406,40.78499979,-73.9786517,40.7829391,8
-73.99415556,40.74173969,-74.00138497,40.74102151,8
-73.99974372,40.71602118,-73.98016555,40.71739973,8
-73.99529885,40.74487634,-73.99931783,40.73935542,7
-73.99461843,40.76009437,-73.99301222,40.76269882,7
-74.008119,40.739323,-74.00214988,40.73038599,7
-74.01129574,40.72771408,-74.01322069,40.71754834,7
-73.986923,40.734232,-73.98054421,40.73381219,7
-73.99400398,40.71076228,-73.99400398,40.71076228,7
-73.96286845,40.79406661,-73.964839,40.79127,7
-74.00367558,40.74353373,-73.99915362,40.74475148,7
-73.99461843,40.76009437,-73.993934,40.751551,7
-74.00218427,40.75018156,-73.99529885,40.74487634,7
-73.98426726,40.72953837,-73.98185424,40.72453734,7
-73.98142006,40.72740794,-73.98142006,40.72740794,7
-73.98379855,40.72621788,-73.99102628,40.73020661,7
-73.98379855,40.72621788,-73.98185424,40.72453734,7
-73.979382,40.688226,-73.97265183,40.68753406,7
-73.99383605,40.70277159,-73.979382,40.688226,7
-73.97667321,40.78524672,-73.97283406,40.78499979,7
-73.986923,40.734232,-73.97573881,40.73314259,7
-74.008119,40.739323,-74.008119,40.739323,7
-73.96968902,40.68764484,-73.979382,40.688226,7
-73.99074142,40.73454567,-73.97950418,40.72746421,7
-73.99046034,40.77149671,-73.988038,40.770513,7
-73.99529885,40.74487634,-74.00218427,40.75018156,7
-73.97950418,40.72746421,-73.99074142,40.73454567,7
-73.9471673,40.7839636,-73.94552579,40.7862586,7
-73.98562431,40.78057799,-74.00277668,40.76087502,7
-74.000271,40.735238,-73.99200509,40.73492695,7
-73.94434,40.72557,-73.94984365,40.72395678,7
-73.99009296,40.73704984,-73.98165557,40.73221853,7
-73.98067966,40.72966729,-73.99009296,40.73704984,7
-73.96599591,40.68323865,-73.979382,40.688226,7
-73.97371465,40.7643971,-73.95939,40.78307,7
-73.97906899,40.76674056,-73.97906899,40.76674056,7
-73.984844,40.713126,-73.97948148,40.71219906,7
-73.97706058,40.74290902,-73.97973776,40.73912601,7
-73.99490342,40.73143724,-73.99200509,40.73492695,7
-73.984844,40.713126,-73.99974372,40.71602118,7
-73.97283406,40.78499979,-73.968087,40.7919557,7
-73.98185424,40.72453734,-73.99974372,40.71602118,7
-73.99974372,40.71602118,-74.0046073,40.71273266,7
-73.98191841,40.76915505,-73.98918696,40.77515953,7
-73.98713956,40.7284186,-73.986923,40.734232,7
-73.979382,40.688226,-73.97178913,40.69308257,7
-73.98848395,40.74901271,-73.98848395,40.74901271,7
-73.98848395,40.74901271,-73.99093085,40.75019995,7
-74.007756,40.746745,-73.99915362,40.74475148,7
-73.99642959,40.73804614,-73.99415556,40.74173969,7
-73.94552579,40.7862586,-73.94552579,40.7862586,7
-73.99726235,40.74238787,-74.00197139,40.7454973,7
-73.99147535,40.72229346,-73.989111,40.722055,7
-73.9590255,40.8143256,-73.9612547,40.8120562,7
-74.00293877,40.73401143,-74.007756,40.746745,7
-73.98288594,40.77748046,-73.97898475,40.7770575,7
-73.99974372,40.71602118,-73.99379025,40.72743423,7
-73.97573881,40.73314259,-73.98165557,40.73221853,7
-74.00451887,40.74691959,-73.98955109,40.7403432,7
-73.99379025,40.72743423,-74.00214988,40.73038599,7
-73.99724901,40.72210379,-73.99102628,40.73020661,7
-73.92957486,40.75651273,-73.92957486,40.75651273,7
-74.00681753,40.74334935,-74.00451887,40.74691959,7
-74.015756,40.711512,-74.013012,40.7149787,7
