geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.99098507,40.7575699]}",788,781
"{""type"": ""Point"", ""coordinates"": [-73.99974372,40.71602118]}",497,518
"{""type"": ""Point"", ""coordinates"": [-73.977706,40.751873]}",472,469
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",460,395
"{""type"": ""Point"", ""coordinates"": [-73.967416,40.756014]}",417,421
"{""type"": ""Point"", ""coordinates"": [-73.98955109,40.7403432]}",376,349
"{""type"": ""Point"", ""coordinates"": [-73.99468482,40.75058535]}",364,403
"{""type"": ""Point"", ""coordinates"": [-73.993934,40.751551]}",314,286
"{""type"": ""Point"", ""coordinates"": [-73.99009296,40.73704984]}",292,289
"{""type"": ""Point"", ""coordinates"": [-73.97498696,40.75510267]}",284,284
"{""type"": ""Point"", ""coordinates"": [-73.99415556,40.74173969]}",279,278
"{""type"": ""Point"", ""coordinates"": [-73.99074142,40.73454567]}",269,265
"{""type"": ""Point"", ""coordinates"": [-73.9916,40.749156]}",267,258
"{""type"": ""Point"", ""coordinates"": [-73.98658032,40.75513557]}",260,254
"{""type"": ""Point"", ""coordinates"": [-73.99102628,40.73020661]}",251,232
"{""type"": ""Point"", ""coordinates"": [-73.97982001,40.76132983]}",246,246
"{""type"": ""Point"", ""coordinates"": [-73.99093085,40.75019995]}",241,243
"{""type"": ""Point"", ""coordinates"": [-73.97791,40.751581]}",231,231
"{""type"": ""Point"", ""coordinates"": [-73.98194829,40.7457121]}",227,224
"{""type"": ""Point"", ""coordinates"": [-74.00138497,40.74102151]}",227,226
"{""type"": ""Point"", ""coordinates"": [-73.98192338,40.7652654]}",222,225
"{""type"": ""Point"", ""coordinates"": [-74.00711384,40.73291553]}",221,217
"{""type"": ""Point"", ""coordinates"": [-73.98848395,40.74901271]}",221,215
"{""type"": ""Point"", ""coordinates"": [-74.007756,40.746745]}",219,197
"{""type"": ""Point"", ""coordinates"": [-73.9907527,40.72951496]}",218,195
"{""type"": ""Point"", ""coordinates"": [-73.99379025,40.72743423]}",211,198
"{""type"": ""Point"", ""coordinates"": [-73.98918629,40.74286877]}",211,206
"{""type"": ""Point"", ""coordinates"": [-73.983293,40.741459]}",205,199
"{""type"": ""Point"", ""coordinates"": [-73.99200509,40.73492695]}",203,199
"{""type"": ""Point"", ""coordinates"": [-73.98191841,40.76915505]}",203,225
"{""type"": ""Point"", ""coordinates"": [-73.98602213,40.74096374]}",201,197
"{""type"": ""Point"", ""coordinates"": [-73.98452729,40.76068327]}",196,197
"{""type"": ""Point"", ""coordinates"": [-74.00214988,40.73038599]}",192,178
"{""type"": ""Point"", ""coordinates"": [-73.95818491,40.76500525]}",192,198
"{""type"": ""Point"", ""coordinates"": [-73.99144871,40.74395411]}",188,185
"{""type"": ""Point"", ""coordinates"": [-73.97371465,40.7643971]}",187,189
"{""type"": ""Point"", ""coordinates"": [-73.99456405,40.73971301]}",185,185
"{""type"": ""Point"", ""coordinates"": [-73.97805914,40.75724568]}",185,186
"{""type"": ""Point"", ""coordinates"": [-73.993915,40.746647]}",184,184
"{""type"": ""Point"", ""coordinates"": [-73.98165557,40.73221853]}",182,199
"{""type"": ""Point"", ""coordinates"": [-73.98067966,40.72966729]}",178,216
"{""type"": ""Point"", ""coordinates"": [-74.01030064,40.72019521]}",178,129
"{""type"": ""Point"", ""coordinates"": [-73.97809472,40.736502]}",175,175
"{""type"": ""Point"", ""coordinates"": [-73.97449784,40.74322681]}",175,175
"{""type"": ""Point"", ""coordinates"": [-73.97573881,40.73314259]}",174,177
"{""type"": ""Point"", ""coordinates"": [-73.99723551,40.74734825]}",171,171
"{""type"": ""Point"", ""coordinates"": [-73.98808416,40.74854862]}",171,175
"{""type"": ""Point"", ""coordinates"": [-73.97973776,40.73912601]}",170,148
"{""type"": ""Point"", ""coordinates"": [-73.97604882,40.7489006]}",167,167
"{""type"": ""Point"", ""coordinates"": [-73.98142006,40.72740794]}",166,141
"{""type"": ""Point"", ""coordinates"": [-74.00218427,40.75018156]}",165,166
"{""type"": ""Point"", ""coordinates"": [-74.00674436,40.73172428]}",165,162
"{""type"": ""Point"", ""coordinates"": [-73.9912551,40.76019252]}",164,161
"{""type"": ""Point"", ""coordinates"": [-73.98855723,40.7462009]}",160,164
"{""type"": ""Point"", ""coordinates"": [-73.9734419,40.74780373]}",159,166
"{""type"": ""Point"", ""coordinates"": [-73.98054421,40.73381219]}",159,158
"{""type"": ""Point"", ""coordinates"": [-74.01658354,40.7153379]}",159,147
"{""type"": ""Point"", ""coordinates"": [-73.99529885,40.74487634]}",158,182
