geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.99974372,40.71602118]}",467,467
"{""type"": ""Point"", ""coordinates"": [-73.99098507,40.7575699]}",361,356
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",356,290
"{""type"": ""Point"", ""coordinates"": [-73.99009296,40.73704984]}",301,259
"{""type"": ""Point"", ""coordinates"": [-73.967416,40.756014]}",250,234
"{""type"": ""Point"", ""coordinates"": [-73.99415556,40.74173969]}",246,226
"{""type"": ""Point"", ""coordinates"": [-73.99074142,40.73454567]}",235,240
"{""type"": ""Point"", ""coordinates"": [-73.98191841,40.76915505]}",212,194
"{""type"": ""Point"", ""coordinates"": [-74.00214988,40.73038599]}",200,187
"{""type"": ""Point"", ""coordinates"": [-74.007756,40.746745]}",192,180
"{""type"": ""Point"", ""coordinates"": [-73.98067966,40.72966729]}",185,180
"{""type"": ""Point"", ""coordinates"": [-74.01322069,40.71754834]}",182,178
"{""type"": ""Point"", ""coordinates"": [-73.98713956,40.7284186]}",178,151
"{""type"": ""Point"", ""coordinates"": [-73.9907527,40.72951496]}",177,154
"{""type"": ""Point"", ""coordinates"": [-73.97634151,40.76590936]}",176,180
"{""type"": ""Point"", ""coordinates"": [-73.98672378,40.73047309]}",173,168
"{""type"": ""Point"", ""coordinates"": [-74.00711384,40.73291553]}",172,172
"{""type"": ""Point"", ""coordinates"": [-74.00197139,40.7454973]}",171,162
"{""type"": ""Point"", ""coordinates"": [-73.99200509,40.73492695]}",170,183
"{""type"": ""Point"", ""coordinates"": [-73.98379855,40.72621788]}",169,150
"{""type"": ""Point"", ""coordinates"": [-73.98918629,40.74286877]}",168,167
"{""type"": ""Point"", ""coordinates"": [-74.00138497,40.74102151]}",162,170
"{""type"": ""Point"", ""coordinates"": [-74.01129574,40.72771408]}",159,170
"{""type"": ""Point"", ""coordinates"": [-73.99266288,40.71893904]}",159,162
"{""type"": ""Point"", ""coordinates"": [-73.98955109,40.7403432]}",158,157
"{""type"": ""Point"", ""coordinates"": [-73.98426726,40.72953837]}",157,149
"{""type"": ""Point"", ""coordinates"": [-73.99102628,40.73020661]}",157,156
"{""type"": ""Point"", ""coordinates"": [-73.98142006,40.72740794]}",156,132
