geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.99974372,40.71602118]}",303,272
"{""type"": ""Point"", ""coordinates"": [-73.99098507,40.7575699]}",220,212
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",191,159
"{""type"": ""Point"", ""coordinates"": [-73.99074142,40.73454567]}",152,166
"{""type"": ""Point"", ""coordinates"": [-73.99415556,40.74173969]}",137,137
"{""type"": ""Point"", ""coordinates"": [-73.99009296,40.73704984]}",128,133
"{""type"": ""Point"", ""coordinates"": [-73.967416,40.756014]}",128,117
"{""type"": ""Point"", ""coordinates"": [-73.98191841,40.76915505]}",115,113
"{""type"": ""Point"", ""coordinates"": [-73.99102628,40.73020661]}",115,104
"{""type"": ""Point"", ""coordinates"": [-74.007756,40.746745]}",114,107
"{""type"": ""Point"", ""coordinates"": [-73.98379855,40.72621788]}",110,110
"{""type"": ""Point"", ""coordinates"": [-73.9907527,40.72951496]}",108,82
"{""type"": ""Point"", ""coordinates"": [-73.98672378,40.73047309]}",107,109
"{""type"": ""Point"", ""coordinates"": [-73.99724901,40.72210379]}",102,85
"{""type"": ""Point"", ""coordinates"": [-73.98067966,40.72966729]}",102,106
"{""type"": ""Point"", ""coordinates"": [-74.00138497,40.74102151]}",98,96
"{""type"": ""Point"", ""coordinates"": [-73.98955109,40.7403432]}",96,75
"{""type"": ""Point"", ""coordinates"": [-73.99200509,40.73492695]}",92,81
"{""type"": ""Point"", ""coordinates"": [-73.98426726,40.72953837]}",92,95
"{""type"": ""Point"", ""coordinates"": [-73.99600983,40.72430527]}",86,72
"{""type"": ""Point"", ""coordinates"": [-73.98564945,40.72779126]}",86,88
"{""type"": ""Point"", ""coordinates"": [-73.99662137,40.72706363]}",85,80
"{""type"": ""Point"", ""coordinates"": [-73.99529885,40.74487634]}",82,90
"{""type"": ""Point"", ""coordinates"": [-73.98142006,40.72740794]}",81,75
"{""type"": ""Point"", ""coordinates"": [-73.986923,40.734232]}",81,92
"{""type"": ""Point"", ""coordinates"": [-73.98990025,40.71427487]}",80,73
"{""type"": ""Point"", ""coordinates"": [-73.98713956,40.7284186]}",80,66
"{""type"": ""Point"", ""coordinates"": [-73.97966069,40.74394314]}",80,93
"{""type"": ""Point"", ""coordinates"": [-73.989111,40.722055]}",79,75
"{""type"": ""Point"", ""coordinates"": [-73.98165557,40.73221853]}",78,107
"{""type"": ""Point"", ""coordinates"": [-73.98205027,40.73587678]}",76,69
"{""type"": ""Point"", ""coordinates"": [-73.97634151,40.76590936]}",76,56
"{""type"": ""Point"", ""coordinates"": [-73.98054421,40.73381219]}",76,93
"{""type"": ""Point"", ""coordinates"": [-74.00197139,40.7454973]}",75,81
"{""type"": ""Point"", ""coordinates"": [-73.993934,40.751551]}",74,66
"{""type"": ""Point"", ""coordinates"": [-73.99456405,40.73971301]}",74,76
"{""type"": ""Point"", ""coordinates"": [-73.97706058,40.74290902]}",74,76
"{""type"": ""Point"", ""coordinates"": [-73.99379025,40.72743423]}",73,82
"{""type"": ""Point"", ""coordinates"": [-73.98918629,40.74286877]}",73,69
"{""type"": ""Point"", ""coordinates"": [-73.983293,40.741459]}",72,64
"{""type"": ""Point"", ""coordinates"": [-74.00214988,40.73038599]}",72,75
"{""type"": ""Point"", ""coordinates"": [-73.98978041,40.7262807]}",71,71
"{""type"": ""Point"", ""coordinates"": [-73.97283406,40.78499979]}",70,77
"{""type"": ""Point"", ""coordinates"": [-73.97573881,40.73314259]}",69,60
"{""type"": ""Point"", ""coordinates"": [-73.98583621,40.72307749]}",69,68
"{""type"": ""Point"", ""coordinates"": [-73.99190759,40.71605866]}",69,52
"{""type"": ""Point"", ""coordinates"": [-74.00711384,40.73291553]}",68,72
"{""type"": ""Point"", ""coordinates"": [-73.99994661,40.73781509]}",68,69
"{""type"": ""Point"", ""coordinates"": [-73.99723551,40.74734825]}",68,63
"{""type"": ""Point"", ""coordinates"": [-73.99144871,40.74395411]}",67,63
"{""type"": ""Point"", ""coordinates"": [-73.98185424,40.72453734]}",67,69
"{""type"": ""Point"", ""coordinates"": [-74.00293877,40.73401143]}",66,71
"{""type"": ""Point"", ""coordinates"": [-73.9870295,40.71559509]}",66,72
"{""type"": ""Point"", ""coordinates"": [-74.000271,40.735238]}",64,60
"{""type"": ""Point"", ""coordinates"": [-73.99931783,40.73935542]}",63,68
"{""type"": ""Point"", ""coordinates"": [-73.97898475,40.7770575]}",62,69
"{""type"": ""Point"", ""coordinates"": [-73.96024116,40.71534825]}",62,60
"{""type"": ""Point"", ""coordinates"": [-73.98848395,40.74901271]}",62,68
"{""type"": ""Point"", ""coordinates"": [-74.00004031,40.74345335]}",61,61
"{""type"": ""Point"", ""coordinates"": [-73.98192338,40.7652654]}",60,68
"{""type"": ""Point"", ""coordinates"": [-73.977706,40.751873]}",60,59
"{""type"": ""Point"", ""coordinates"": [-74.00412083,40.7252557]}",59,54
"{""type"": ""Point"", ""coordinates"": [-73.9912551,40.76019252]}",59,61
"{""type"": ""Point"", ""coordinates"": [-73.99915362,40.74475148]}",59,63
"{""type"": ""Point"", ""coordinates"": [-73.97449784,40.74322681]}",59,67
"{""type"": ""Point"", ""coordinates"": [-73.98261428,40.77163851]}",59,59
"{""type"": ""Point"", ""coordinates"": [-73.98093045,40.77966809]}",58,59
"{""type"": ""Point"", ""coordinates"": [-73.98855723,40.7462009]}",58,40
"{""type"": ""Point"", ""coordinates"": [-73.99480012,40.72317958]}",58,57
"{""type"": ""Point"", ""coordinates"": [-73.99461843,40.76009437]}",58,60
"{""type"": ""Point"", ""coordinates"": [-73.99800419,40.73532427]}",57,66
"{""type"": ""Point"", ""coordinates"": [-73.98997825,40.72019576]}",56,56
"{""type"": ""Point"", ""coordinates"": [-73.97973776,40.73912601]}",56,72
"{""type"": ""Point"", ""coordinates"": [-73.99061728,40.76669671]}",55,50
"{""type"": ""Point"", ""coordinates"": [-73.99726235,40.74238787]}",55,54
"{""type"": ""Point"", ""coordinates"": [-73.960876,40.710451]}",55,56
"{""type"": ""Point"", ""coordinates"": [-73.981346,40.714215]}",54,53
"{""type"": ""Point"", ""coordinates"": [-74.01322069,40.71754834]}",54,59
"{""type"": ""Point"", ""coordinates"": [-73.97768752,40.72521311]}",54,58
"{""type"": ""Point"", ""coordinates"": [-73.98517977,40.72066442]}",54,69
"{""type"": ""Point"", ""coordinates"": [-74.00451887,40.74691959]}",54,63
"{""type"": ""Point"", ""coordinates"": [-73.99468482,40.75058535]}",53,51
"{""type"": ""Point"", ""coordinates"": [-73.99266288,40.71893904]}",53,51
"{""type"": ""Point"", ""coordinates"": [-74.005226,40.751396]}",53,39
"{""type"": ""Point"", ""coordinates"": [-73.98751968,40.73827428]}",53,47
"{""type"": ""Point"", ""coordinates"": [-73.98859651,40.75929124]}",53,51
"{""type"": ""Point"", ""coordinates"": [-73.99906065,40.73047747]}",52,51
"{""type"": ""Point"", ""coordinates"": [-73.98802084,40.7172274]}",52,53
"{""type"": ""Point"", ""coordinates"": [-73.99238967,40.73726186]}",52,47
"{""type"": ""Point"", ""coordinates"": [-74.00026394,40.73224119]}",51,52
"{""type"": ""Point"", ""coordinates"": [-74.00165856,40.72494672]}",51,56
"{""type"": ""Point"", ""coordinates"": [-73.98194829,40.7457121]}",50,50
"{""type"": ""Point"", ""coordinates"": [-73.97950418,40.72746421]}",50,53
"{""type"": ""Point"", ""coordinates"": [-73.98266566,40.77492513]}",50,43
"{""type"": ""Point"", ""coordinates"": [-74.0046073,40.71273266]}",50,57
"{""type"": ""Point"", ""coordinates"": [-74.015756,40.711512]}",49,45
"{""type"": ""Point"", ""coordinates"": [-74.008119,40.739323]}",49,50
"{""type"": ""Point"", ""coordinates"": [-74.00218427,40.75018156]}",49,46
"{""type"": ""Point"", ""coordinates"": [-73.98602213,40.74096374]}",49,45
"{""type"": ""Point"", ""coordinates"": [-73.94552579,40.7862586]}",49,49
"{""type"": ""Point"", ""coordinates"": [-73.99404649,40.72903917]}",49,46
