geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.99098507,40.7575699]}",878,880
"{""type"": ""Point"", ""coordinates"": [-73.99974372,40.71602118]}",574,560
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",533,471
"{""type"": ""Point"", ""coordinates"": [-73.977706,40.751873]}",503,498
"{""type"": ""Point"", ""coordinates"": [-73.967416,40.756014]}",503,489
"{""type"": ""Point"", ""coordinates"": [-73.99468482,40.75058535]}",423,401
"{""type"": ""Point"", ""coordinates"": [-73.98955109,40.7403432]}",419,380
"{""type"": ""Point"", ""coordinates"": [-73.99415556,40.74173969]}",343,345
"{""type"": ""Point"", ""coordinates"": [-73.99009296,40.73704984]}",333,341
"{""type"": ""Point"", ""coordinates"": [-73.993934,40.751551]}",329,299
"{""type"": ""Point"", ""coordinates"": [-73.97498696,40.75510267]}",320,313
"{""type"": ""Point"", ""coordinates"": [-73.99093085,40.75019995]}",307,285
"{""type"": ""Point"", ""coordinates"": [-73.97791,40.751581]}",290,292
"{""type"": ""Point"", ""coordinates"": [-73.99102628,40.73020661]}",290,262
"{""type"": ""Point"", ""coordinates"": [-73.9916,40.749156]}",287,282
"{""type"": ""Point"", ""coordinates"": [-74.007756,40.746745]}",280,260
"{""type"": ""Point"", ""coordinates"": [-73.98658032,40.75513557]}",273,271
"{""type"": ""Point"", ""coordinates"": [-73.99379025,40.72743423]}",271,258
"{""type"": ""Point"", ""coordinates"": [-73.99074142,40.73454567]}",265,259
"{""type"": ""Point"", ""coordinates"": [-73.97982001,40.76132983]}",259,260
"{""type"": ""Point"", ""coordinates"": [-73.98848395,40.74901271]}",254,251
"{""type"": ""Point"", ""coordinates"": [-73.98918629,40.74286877]}",252,251
"{""type"": ""Point"", ""coordinates"": [-74.00138497,40.74102151]}",248,256
"{""type"": ""Point"", ""coordinates"": [-73.9907527,40.72951496]}",242,208
"{""type"": ""Point"", ""coordinates"": [-73.98191841,40.76915505]}",241,261
"{""type"": ""Point"", ""coordinates"": [-74.00711384,40.73291553]}",240,214
"{""type"": ""Point"", ""coordinates"": [-73.99456405,40.73971301]}",235,215
"{""type"": ""Point"", ""coordinates"": [-73.98192338,40.7652654]}",234,250
"{""type"": ""Point"", ""coordinates"": [-73.99200509,40.73492695]}",234,226
"{""type"": ""Point"", ""coordinates"": [-73.97805914,40.75724568]}",234,231
"{""type"": ""Point"", ""coordinates"": [-73.98194829,40.7457121]}",223,231
"{""type"": ""Point"", ""coordinates"": [-74.01322069,40.71754834]}",222,177
"{""type"": ""Point"", ""coordinates"": [-73.983293,40.741459]}",222,220
"{""type"": ""Point"", ""coordinates"": [-73.98165557,40.73221853]}",219,239
"{""type"": ""Point"", ""coordinates"": [-73.95818491,40.76500525]}",218,216
"{""type"": ""Point"", ""coordinates"": [-74.00197139,40.7454973]}",218,206
"{""type"": ""Point"", ""coordinates"": [-73.98452729,40.76068327]}",215,229
"{""type"": ""Point"", ""coordinates"": [-73.993915,40.746647]}",213,212
"{""type"": ""Point"", ""coordinates"": [-73.98602213,40.74096374]}",209,209
"{""type"": ""Point"", ""coordinates"": [-73.98067966,40.72966729]}",205,216
"{""type"": ""Point"", ""coordinates"": [-74.00214988,40.73038599]}",204,189
"{""type"": ""Point"", ""coordinates"": [-73.99724901,40.72210379]}",199,203
"{""type"": ""Point"", ""coordinates"": [-73.98855723,40.7462009]}",197,197
"{""type"": ""Point"", ""coordinates"": [-73.98808416,40.74854862]}",195,198
"{""type"": ""Point"", ""coordinates"": [-74.00277668,40.76087502]}",195,181
"{""type"": ""Point"", ""coordinates"": [-73.97648516,40.75992262]}",193,193
"{""type"": ""Point"", ""coordinates"": [-74.00297088,40.72710258]}",193,187
"{""type"": ""Point"", ""coordinates"": [-73.99529885,40.74487634]}",192,191
"{""type"": ""Point"", ""coordinates"": [-73.97809472,40.736502]}",192,191
"{""type"": ""Point"", ""coordinates"": [-74.00566443,40.72243797]}",188,159
"{""type"": ""Point"", ""coordinates"": [-73.99600983,40.72430527]}",188,190
"{""type"": ""Point"", ""coordinates"": [-73.99144871,40.74395411]}",186,187
"{""type"": ""Point"", ""coordinates"": [-73.99238967,40.73726186]}",186,188
"{""type"": ""Point"", ""coordinates"": [-73.9912551,40.76019252]}",185,187
"{""type"": ""Point"", ""coordinates"": [-74.01658354,40.7153379]}",183,184
"{""type"": ""Point"", ""coordinates"": [-74.01030064,40.72019521]}",182,177
"{""type"": ""Point"", ""coordinates"": [-73.98205027,40.73587678]}",182,177
"{""type"": ""Point"", ""coordinates"": [-73.97283406,40.78499979]}",182,213
"{""type"": ""Point"", ""coordinates"": [-73.97973776,40.73912601]}",181,187
"{""type"": ""Point"", ""coordinates"": [-73.9734419,40.74780373]}",181,170
"{""type"": ""Point"", ""coordinates"": [-73.99723551,40.74734825]}",180,185
"{""type"": ""Point"", ""coordinates"": [-73.98683077,40.7451677]}",179,173
"{""type"": ""Point"", ""coordinates"": [-73.99490342,40.73143724]}",179,162
"{""type"": ""Point"", ""coordinates"": [-73.97449784,40.74322681]}",179,196
"{""type"": ""Point"", ""coordinates"": [-73.97371465,40.7643971]}",178,173
"{""type"": ""Point"", ""coordinates"": [-73.98142006,40.72740794]}",178,178
"{""type"": ""Point"", ""coordinates"": [-74.00674436,40.73172428]}",177,181
"{""type"": ""Point"", ""coordinates"": [-74.00218427,40.75018156]}",176,168
"{""type"": ""Point"", ""coordinates"": [-73.99810231,40.72917025]}",175,180
"{""type"": ""Point"", ""coordinates"": [-73.99931783,40.73935542]}",174,158
"{""type"": ""Point"", ""coordinates"": [-73.97992194,40.75216528]}",169,167
"{""type"": ""Point"", ""coordinates"": [-73.97634151,40.76590936]}",167,162
"{""type"": ""Point"", ""coordinates"": [-73.98713956,40.7284186]}",167,167
"{""type"": ""Point"", ""coordinates"": [-74.00935516,40.71334184]}",167,156
"{""type"": ""Point"", ""coordinates"": [-73.98788205,40.76227205]}",167,165
"{""type"": ""Point"", ""coordinates"": [-74.005226,40.751396]}",165,159
"{""type"": ""Point"", ""coordinates"": [-73.98093045,40.77966809]}",165,142
"{""type"": ""Point"", ""coordinates"": [-74.015756,40.711512]}",163,149
"{""type"": ""Point"", ""coordinates"": [-74.01361706,40.70463334]}",163,159
"{""type"": ""Point"", ""coordinates"": [-74.008591,40.728846]}",162,146
"{""type"": ""Point"", ""coordinates"": [-73.98859651,40.75929124]}",162,149
"{""type"": ""Point"", ""coordinates"": [-74.00507033,40.7394482]}",161,166
"{""type"": ""Point"", ""coordinates"": [-73.98316936,40.75527307]}",160,158
"{""type"": ""Point"", ""coordinates"": [-73.986923,40.734232]}",159,156
"{""type"": ""Point"", ""coordinates"": [-73.97604882,40.7489006]}",159,154
"{""type"": ""Point"", ""coordinates"": [-73.98303529,40.74444921]}",158,150
"{""type"": ""Point"", ""coordinates"": [-73.99726235,40.74238787]}",158,162
"{""type"": ""Point"", ""coordinates"": [-73.97966069,40.74394314]}",157,162
"{""type"": ""Point"", ""coordinates"": [-73.98765428,40.75097711]}",157,159
"{""type"": ""Point"", ""coordinates"": [-73.98564945,40.72779126]}",157,147
"{""type"": ""Point"", ""coordinates"": [-73.98379855,40.72621788]}",156,180
"{""type"": ""Point"", ""coordinates"": [-73.98426726,40.72953837]}",156,164
"{""type"": ""Point"", ""coordinates"": [-73.98185424,40.72453734]}",156,155
"{""type"": ""Point"", ""coordinates"": [-73.98721619,40.75299641]}",155,151
"{""type"": ""Point"", ""coordinates"": [-73.98990025,40.71427487]}",155,155
"{""type"": ""Point"", ""coordinates"": [-73.99431,40.735445]}",154,152
"{""type"": ""Point"", ""coordinates"": [-73.98889957,40.73223272]}",154,131
"{""type"": ""Point"", ""coordinates"": [-73.99994661,40.73781509]}",154,153
"{""type"": ""Point"", ""coordinates"": [-74.0021163,40.75594159]}",153,138
"{""type"": ""Point"", ""coordinates"": [-74.00681753,40.74334935]}",153,157
"{""type"": ""Point"", ""coordinates"": [-73.98751968,40.73827428]}",153,155
"{""type"": ""Point"", ""coordinates"": [-73.97573881,40.73314259]}",153,171
"{""type"": ""Point"", ""coordinates"": [-73.98054421,40.73381219]}",153,153
"{""type"": ""Point"", ""coordinates"": [-73.99915362,40.74475148]}",153,157
"{""type"": ""Point"", ""coordinates"": [-73.98490707,40.74765947]}",152,151
"{""type"": ""Point"", ""coordinates"": [-73.989111,40.722055]}",152,151
"{""type"": ""Point"", ""coordinates"": [-74.01043382,40.70905623]}",152,151
"{""type"": ""Point"", ""coordinates"": [-73.97706058,40.74290902]}",151,161
"{""type"": ""Point"", ""coordinates"": [-73.98261428,40.77163851]}",150,132
"{""type"": ""Point"", ""coordinates"": [-73.99404649,40.72903917]}",150,150
"{""type"": ""Point"", ""coordinates"": [-73.98025185,40.75412081]}",149,149
"{""type"": ""Point"", ""coordinates"": [-73.98215353,40.74311555]}",148,147
"{""type"": ""Point"", ""coordinates"": [-73.9851615,40.76370739]}",148,141
"{""type"": ""Point"", ""coordinates"": [-73.99949601,40.72362738]}",147,130
"{""type"": ""Point"", ""coordinates"": [-74.00247214,40.71939226]}",145,143
"{""type"": ""Point"", ""coordinates"": [-73.99884222,40.76030096]}",145,146
"{""type"": ""Point"", ""coordinates"": [-74.00293877,40.73401143]}",144,148
"{""type"": ""Point"", ""coordinates"": [-73.99046034,40.77149671]}",142,141
"{""type"": ""Point"", ""coordinates"": [-73.9979009,40.75660359]}",141,138
"{""type"": ""Point"", ""coordinates"": [-73.98368779,40.72217444]}",140,137
"{""type"": ""Point"", ""coordinates"": [-73.9535166,40.77140426]}",139,141
"{""type"": ""Point"", ""coordinates"": [-74.00473036,40.72430832]}",139,132
"{""type"": ""Point"", ""coordinates"": [-73.98338988,40.75038009]}",139,137
"{""type"": ""Point"", ""coordinates"": [-73.99301222,40.76269882]}",139,152
"{""type"": ""Point"", ""coordinates"": [-74.009447,40.711066]}",139,137
"{""type"": ""Point"", ""coordinates"": [-73.96905301,40.75001986]}",137,137
"{""type"": ""Point"", ""coordinates"": [-73.98797393,40.73536706]}",137,138
"{""type"": ""Point"", ""coordinates"": [-73.99461843,40.76009437]}",136,134
"{""type"": ""Point"", ""coordinates"": [-73.97536082,40.74144387]}",136,134
"{""type"": ""Point"", ""coordinates"": [-73.99642959,40.73804614]}",136,153
"{""type"": ""Point"", ""coordinates"": [-74.00451887,40.74691959]}",135,147
"{""type"": ""Point"", ""coordinates"": [-74.00004031,40.74345335]}",135,153
"{""type"": ""Point"", ""coordinates"": [-74.0046073,40.71273266]}",134,134
"{""type"": ""Point"", ""coordinates"": [-73.98583621,40.72307749]}",133,138
"{""type"": ""Point"", ""coordinates"": [-73.97121214,40.744219]}",133,108
"{""type"": ""Point"", ""coordinates"": [-73.99147535,40.72229346]}",132,127
"{""type"": ""Point"", ""coordinates"": [-73.95850939,40.71745169]}",132,130
"{""type"": ""Point"", ""coordinates"": [-73.98014437,40.75500254]}",131,129
"{""type"": ""Point"", ""coordinates"": [-73.98997825,40.72019576]}",131,132
"{""type"": ""Point"", ""coordinates"": [-73.99190759,40.71605866]}",131,125
"{""type"": ""Point"", ""coordinates"": [-74.00367558,40.74353373]}",131,130
"{""type"": ""Point"", ""coordinates"": [-73.96724467,40.76095756]}",129,131
"{""type"": ""Point"", ""coordinates"": [-73.976806,40.739445]}",128,120
"{""type"": ""Point"", ""coordinates"": [-73.98257732,40.75668721]}",128,128
"{""type"": ""Point"", ""coordinates"": [-73.98978041,40.7262807]}",127,126
"{""type"": ""Point"", ""coordinates"": [-73.99480012,40.72317958]}",127,125
"{""type"": ""Point"", ""coordinates"": [-73.98336183,40.76228826]}",126,129
"{""type"": ""Point"", ""coordinates"": [-73.99266288,40.71893904]}",126,141
"{""type"": ""Point"", ""coordinates"": [-73.97835016,40.76309387]}",125,140
"{""type"": ""Point"", ""coordinates"": [-73.97898475,40.7770575]}",125,156
"{""type"": ""Point"", ""coordinates"": [-74.008119,40.739323]}",124,137
"{""type"": ""Point"", ""coordinates"": [-74.00747359,40.74275383]}",124,123
"{""type"": ""Point"", ""coordinates"": [-73.99800419,40.73532427]}",124,142
"{""type"": ""Point"", ""coordinates"": [-73.9870295,40.71559509]}",123,124
"{""type"": ""Point"", ""coordinates"": [-73.97768752,40.72521311]}",123,123
