geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.99974372,40.71602118]}",325,320
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",255,216
"{""type"": ""Point"", ""coordinates"": [-73.99098507,40.7575699]}",207,231
"{""type"": ""Point"", ""coordinates"": [-73.99415556,40.74173969]}",164,139
"{""type"": ""Point"", ""coordinates"": [-73.967416,40.756014]}",151,129
"{""type"": ""Point"", ""coordinates"": [-73.99074142,40.73454567]}",150,121
"{""type"": ""Point"", ""coordinates"": [-73.99009296,40.73704984]}",148,136
"{""type"": ""Point"", ""coordinates"": [-73.98191841,40.76915505]}",131,121
"{""type"": ""Point"", ""coordinates"": [-74.007756,40.746745]}",119,94
"{""type"": ""Point"", ""coordinates"": [-74.00711384,40.73291553]}",118,102
"{""type"": ""Point"", ""coordinates"": [-73.97283406,40.78499979]}",117,152
"{""type"": ""Point"", ""coordinates"": [-73.99102628,40.73020661]}",115,100
"{""type"": ""Point"", ""coordinates"": [-73.98165557,40.73221853]}",113,115
"{""type"": ""Point"", ""coordinates"": [-73.99200509,40.73492695]}",111,101
"{""type"": ""Point"", ""coordinates"": [-74.00214988,40.73038599]}",110,95
"{""type"": ""Point"", ""coordinates"": [-73.98564945,40.72779126]}",108,100
"{""type"": ""Point"", ""coordinates"": [-73.98426726,40.72953837]}",106,101
"{""type"": ""Point"", ""coordinates"": [-73.993934,40.751551]}",105,96
"{""type"": ""Point"", ""coordinates"": [-73.9907527,40.72951496]}",105,107
"{""type"": ""Point"", ""coordinates"": [-74.01322069,40.71754834]}",103,86
"{""type"": ""Point"", ""coordinates"": [-73.99724901,40.72210379]}",103,88
"{""type"": ""Point"", ""coordinates"": [-73.98067966,40.72966729]}",102,120
"{""type"": ""Point"", ""coordinates"": [-73.9870295,40.71559509]}",101,112
"{""type"": ""Point"", ""coordinates"": [-73.99379025,40.72743423]}",100,100
"{""type"": ""Point"", ""coordinates"": [-73.98672378,40.73047309]}",100,97
"{""type"": ""Point"", ""coordinates"": [-74.00293877,40.73401143]}",99,94
"{""type"": ""Point"", ""coordinates"": [-73.99456405,40.73971301]}",99,70
"{""type"": ""Point"", ""coordinates"": [-73.986923,40.734232]}",96,88
"{""type"": ""Point"", ""coordinates"": [-73.97966069,40.74394314]}",96,102
"{""type"": ""Point"", ""coordinates"": [-73.98379855,40.72621788]}",95,98
"{""type"": ""Point"", ""coordinates"": [-73.98955109,40.7403432]}",95,106
"{""type"": ""Point"", ""coordinates"": [-73.96024116,40.71534825]}",93,87
"{""type"": ""Point"", ""coordinates"": [-74.00197139,40.7454973]}",92,93
"{""type"": ""Point"", ""coordinates"": [-74.00138497,40.74102151]}",91,95
"{""type"": ""Point"", ""coordinates"": [-73.99662137,40.72706363]}",91,69
"{""type"": ""Point"", ""coordinates"": [-73.97898475,40.7770575]}",91,94
"{""type"": ""Point"", ""coordinates"": [-73.96165073,40.72036775]}",91,76
"{""type"": ""Point"", ""coordinates"": [-74.015756,40.711512]}",91,72
"{""type"": ""Point"", ""coordinates"": [-73.99723551,40.74734825]}",90,83
"{""type"": ""Point"", ""coordinates"": [-73.99529885,40.74487634]}",89,81
"{""type"": ""Point"", ""coordinates"": [-73.98142006,40.72740794]}",87,88
"{""type"": ""Point"", ""coordinates"": [-73.97706058,40.74290902]}",86,85
"{""type"": ""Point"", ""coordinates"": [-73.989111,40.722055]}",86,94
"{""type"": ""Point"", ""coordinates"": [-73.99915362,40.74475148]}",83,92
"{""type"": ""Point"", ""coordinates"": [-73.99600983,40.72430527]}",83,74
"{""type"": ""Point"", ""coordinates"": [-73.98205027,40.73587678]}",82,94
"{""type"": ""Point"", ""coordinates"": [-73.98583621,40.72307749]}",82,82
"{""type"": ""Point"", ""coordinates"": [-73.98918629,40.74286877]}",81,83
"{""type"": ""Point"", ""coordinates"": [-73.98978041,40.7262807]}",81,85
"{""type"": ""Point"", ""coordinates"": [-73.98261428,40.77163851]}",80,64
"{""type"": ""Point"", ""coordinates"": [-73.98751968,40.73827428]}",79,67
"{""type"": ""Point"", ""coordinates"": [-73.97620574,40.77579377]}",79,89
"{""type"": ""Point"", ""coordinates"": [-73.97371465,40.7643971]}",79,56
"{""type"": ""Point"", ""coordinates"": [-73.98093045,40.77966809]}",79,95
"{""type"": ""Point"", ""coordinates"": [-73.99994661,40.73781509]}",78,75
"{""type"": ""Point"", ""coordinates"": [-73.960876,40.710451]}",78,74
"{""type"": ""Point"", ""coordinates"": [-73.97973776,40.73912601]}",77,71
"{""type"": ""Point"", ""coordinates"": [-73.97449784,40.74322681]}",76,78
"{""type"": ""Point"", ""coordinates"": [-73.98848395,40.74901271]}",75,65
"{""type"": ""Point"", ""coordinates"": [-73.98192338,40.7652654]}",75,76
"{""type"": ""Point"", ""coordinates"": [-73.99190759,40.71605866]}",74,78
"{""type"": ""Point"", ""coordinates"": [-74.00507033,40.7394482]}",73,74
"{""type"": ""Point"", ""coordinates"": [-73.981346,40.714215]}",73,85
"{""type"": ""Point"", ""coordinates"": [-73.9851615,40.76370739]}",73,71
"{""type"": ""Point"", ""coordinates"": [-73.9912551,40.76019252]}",71,81
"{""type"": ""Point"", ""coordinates"": [-73.98368779,40.72217444]}",71,76
"{""type"": ""Point"", ""coordinates"": [-73.98054421,40.73381219]}",71,94
"{""type"": ""Point"", ""coordinates"": [-73.97809472,40.736502]}",70,81
"{""type"": ""Point"", ""coordinates"": [-73.98713956,40.7284186]}",70,75
"{""type"": ""Point"", ""coordinates"": [-73.98990025,40.71427487]}",69,71
