geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.99098507,40.7575699]}",887,871
"{""type"": ""Point"", ""coordinates"": [-73.977706,40.751873]}",561,562
"{""type"": ""Point"", ""coordinates"": [-73.99974372,40.71602118]}",553,563
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",536,444
"{""type"": ""Point"", ""coordinates"": [-73.967416,40.756014]}",477,482
"{""type"": ""Point"", ""coordinates"": [-73.99468482,40.75058535]}",428,410
"{""type"": ""Point"", ""coordinates"": [-73.98955109,40.7403432]}",379,358
"{""type"": ""Point"", ""coordinates"": [-73.993934,40.751551]}",341,353
"{""type"": ""Point"", ""coordinates"": [-73.99415556,40.74173969]}",338,335
"{""type"": ""Point"", ""coordinates"": [-73.99009296,40.73704984]}",333,324
"{""type"": ""Point"", ""coordinates"": [-73.97498696,40.75510267]}",310,302
"{""type"": ""Point"", ""coordinates"": [-74.007756,40.746745]}",278,269
"{""type"": ""Point"", ""coordinates"": [-73.99074142,40.73454567]}",271,264
"{""type"": ""Point"", ""coordinates"": [-73.99093085,40.75019995]}",271,284
"{""type"": ""Point"", ""coordinates"": [-74.00138497,40.74102151]}",269,268
"{""type"": ""Point"", ""coordinates"": [-73.9916,40.749156]}",263,271
"{""type"": ""Point"", ""coordinates"": [-73.98848395,40.74901271]}",257,262
"{""type"": ""Point"", ""coordinates"": [-74.01322069,40.71754834]}",247,190
"{""type"": ""Point"", ""coordinates"": [-74.00711384,40.73291553]}",245,226
"{""type"": ""Point"", ""coordinates"": [-73.97982001,40.76132983]}",244,242
"{""type"": ""Point"", ""coordinates"": [-73.98658032,40.75513557]}",244,242
"{""type"": ""Point"", ""coordinates"": [-73.99102628,40.73020661]}",238,229
"{""type"": ""Point"", ""coordinates"": [-73.98918629,40.74286877]}",236,233
"{""type"": ""Point"", ""coordinates"": [-73.9907527,40.72951496]}",227,190
"{""type"": ""Point"", ""coordinates"": [-73.98192338,40.7652654]}",220,221
"{""type"": ""Point"", ""coordinates"": [-73.983293,40.741459]}",218,216
"{""type"": ""Point"", ""coordinates"": [-73.98855723,40.7462009]}",213,211
"{""type"": ""Point"", ""coordinates"": [-74.01030064,40.72019521]}",208,204
"{""type"": ""Point"", ""coordinates"": [-73.95818491,40.76500525]}",207,209
"{""type"": ""Point"", ""coordinates"": [-73.99200509,40.73492695]}",205,215
"{""type"": ""Point"", ""coordinates"": [-73.98194829,40.7457121]}",204,205
"{""type"": ""Point"", ""coordinates"": [-73.97371465,40.7643971]}",204,208
"{""type"": ""Point"", ""coordinates"": [-73.98067966,40.72966729]}",202,205
"{""type"": ""Point"", ""coordinates"": [-73.99456405,40.73971301]}",201,200
"{""type"": ""Point"", ""coordinates"": [-73.97791,40.751581]}",201,222
"{""type"": ""Point"", ""coordinates"": [-73.97449784,40.74322681]}",200,202
"{""type"": ""Point"", ""coordinates"": [-73.99724901,40.72210379]}",199,195
"{""type"": ""Point"", ""coordinates"": [-73.9912551,40.76019252]}",198,203
"{""type"": ""Point"", ""coordinates"": [-73.98452729,40.76068327]}",197,200
"{""type"": ""Point"", ""coordinates"": [-74.00214988,40.73038599]}",197,184
"{""type"": ""Point"", ""coordinates"": [-73.98191841,40.76915505]}",197,220
"{""type"": ""Point"", ""coordinates"": [-73.97805914,40.75724568]}",197,195
"{""type"": ""Point"", ""coordinates"": [-73.993915,40.746647]}",197,197
"{""type"": ""Point"", ""coordinates"": [-73.98602213,40.74096374]}",194,197
"{""type"": ""Point"", ""coordinates"": [-74.00566443,40.72243797]}",194,159
"{""type"": ""Point"", ""coordinates"": [-73.98142006,40.72740794]}",193,195
"{""type"": ""Point"", ""coordinates"": [-74.01361706,40.70463334]}",192,128
"{""type"": ""Point"", ""coordinates"": [-73.99379025,40.72743423]}",190,179
"{""type"": ""Point"", ""coordinates"": [-74.00197139,40.7454973]}",190,190
"{""type"": ""Point"", ""coordinates"": [-73.98808416,40.74854862]}",188,188
"{""type"": ""Point"", ""coordinates"": [-73.97283406,40.78499979]}",188,192
"{""type"": ""Point"", ""coordinates"": [-73.98165557,40.73221853]}",188,210
