geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.99098507,40.7575699]}",784,763
"{""type"": ""Point"", ""coordinates"": [-73.977706,40.751873]}",552,544
"{""type"": ""Point"", ""coordinates"": [-73.99974372,40.71602118]}",548,549
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",479,445
"{""type"": ""Point"", ""coordinates"": [-73.967416,40.756014]}",457,468
"{""type"": ""Point"", ""coordinates"": [-73.99468482,40.75058535]}",401,413
"{""type"": ""Point"", ""coordinates"": [-73.98955109,40.7403432]}",354,335
"{""type"": ""Point"", ""coordinates"": [-73.99415556,40.74173969]}",337,340
"{""type"": ""Point"", ""coordinates"": [-73.97498696,40.75510267]}",314,310
"{""type"": ""Point"", ""coordinates"": [-73.99009296,40.73704984]}",309,346
"{""type"": ""Point"", ""coordinates"": [-73.993934,40.751551]}",294,286
"{""type"": ""Point"", ""coordinates"": [-73.99074142,40.73454567]}",276,299
"{""type"": ""Point"", ""coordinates"": [-73.9916,40.749156]}",273,257
"{""type"": ""Point"", ""coordinates"": [-73.98191841,40.76915505]}",268,284
"{""type"": ""Point"", ""coordinates"": [-73.98658032,40.75513557]}",258,265
"{""type"": ""Point"", ""coordinates"": [-74.007756,40.746745]}",257,274
"{""type"": ""Point"", ""coordinates"": [-73.99093085,40.75019995]}",257,245
"{""type"": ""Point"", ""coordinates"": [-74.00138497,40.74102151]}",252,252
"{""type"": ""Point"", ""coordinates"": [-73.99102628,40.73020661]}",245,261
"{""type"": ""Point"", ""coordinates"": [-73.97371465,40.7643971]}",243,266
"{""type"": ""Point"", ""coordinates"": [-74.01322069,40.71754834]}",232,242
"{""type"": ""Point"", ""coordinates"": [-73.9907527,40.72951496]}",231,216
"{""type"": ""Point"", ""coordinates"": [-73.97982001,40.76132983]}",228,214
"{""type"": ""Point"", ""coordinates"": [-73.98848395,40.74901271]}",228,256
"{""type"": ""Point"", ""coordinates"": [-74.00711384,40.73291553]}",228,229
"{""type"": ""Point"", ""coordinates"": [-73.99200509,40.73492695]}",221,224
"{""type"": ""Point"", ""coordinates"": [-73.95818491,40.76500525]}",220,210
"{""type"": ""Point"", ""coordinates"": [-73.98918629,40.74286877]}",219,219
"{""type"": ""Point"", ""coordinates"": [-73.983293,40.741459]}",215,218
"{""type"": ""Point"", ""coordinates"": [-73.98194829,40.7457121]}",215,227
"{""type"": ""Point"", ""coordinates"": [-74.00674436,40.73172428]}",212,207
"{""type"": ""Point"", ""coordinates"": [-73.98165557,40.73221853]}",211,171
"{""type"": ""Point"", ""coordinates"": [-74.00214988,40.73038599]}",209,198
"{""type"": ""Point"", ""coordinates"": [-73.99529885,40.74487634]}",209,218
"{""type"": ""Point"", ""coordinates"": [-74.01030064,40.72019521]}",208,203
"{""type"": ""Point"", ""coordinates"": [-73.99456405,40.73971301]}",203,211
"{""type"": ""Point"", ""coordinates"": [-73.99238967,40.73726186]}",202,203
"{""type"": ""Point"", ""coordinates"": [-73.98192338,40.7652654]}",202,213
"{""type"": ""Point"", ""coordinates"": [-73.99724901,40.72210379]}",201,194
"{""type"": ""Point"", ""coordinates"": [-73.993915,40.746647]}",201,216
"{""type"": ""Point"", ""coordinates"": [-73.98808416,40.74854862]}",198,207
"{""type"": ""Point"", ""coordinates"": [-73.98067966,40.72966729]}",197,146
"{""type"": ""Point"", ""coordinates"": [-73.98602213,40.74096374]}",197,205
"{""type"": ""Point"", ""coordinates"": [-73.97805914,40.75724568]}",196,202
"{""type"": ""Point"", ""coordinates"": [-73.97809472,40.736502]}",193,177
"{""type"": ""Point"", ""coordinates"": [-73.99144871,40.74395411]}",191,206
"{""type"": ""Point"", ""coordinates"": [-73.97449784,40.74322681]}",190,203
"{""type"": ""Point"", ""coordinates"": [-73.98855723,40.7462009]}",189,192
"{""type"": ""Point"", ""coordinates"": [-74.00277668,40.76087502]}",187,140
"{""type"": ""Point"", ""coordinates"": [-73.97791,40.751581]}",185,205
"{""type"": ""Point"", ""coordinates"": [-74.015756,40.711512]}",185,174
"{""type"": ""Point"", ""coordinates"": [-73.9912551,40.76019252]}",185,177
"{""type"": ""Point"", ""coordinates"": [-74.00218427,40.75018156]}",183,181
"{""type"": ""Point"", ""coordinates"": [-73.9734419,40.74780373]}",181,189
"{""type"": ""Point"", ""coordinates"": [-73.97973776,40.73912601]}",180,184
"{""type"": ""Point"", ""coordinates"": [-73.98452729,40.76068327]}",179,194
"{""type"": ""Point"", ""coordinates"": [-73.97706058,40.74290902]}",179,175
"{""type"": ""Point"", ""coordinates"": [-73.99379025,40.72743423]}",176,168
"{""type"": ""Point"", ""coordinates"": [-73.98205027,40.73587678]}",176,187
"{""type"": ""Point"", ""coordinates"": [-74.00566443,40.72243797]}",175,147
"{""type"": ""Point"", ""coordinates"": [-74.008591,40.728846]}",174,174
"{""type"": ""Point"", ""coordinates"": [-73.98142006,40.72740794]}",174,196
"{""type"": ""Point"", ""coordinates"": [-73.97283406,40.78499979]}",173,196
"{""type"": ""Point"", ""coordinates"": [-73.986923,40.734232]}",169,172
"{""type"": ""Point"", ""coordinates"": [-74.01658354,40.7153379]}",167,183
"{""type"": ""Point"", ""coordinates"": [-74.00451887,40.74691959]}",166,168
"{""type"": ""Point"", ""coordinates"": [-73.99915362,40.74475148]}",166,161
"{""type"": ""Point"", ""coordinates"": [-74.01361706,40.70463334]}",165,128
"{""type"": ""Point"", ""coordinates"": [-73.99723551,40.74734825]}",165,174
"{""type"": ""Point"", ""coordinates"": [-73.98713956,40.7284186]}",163,165
"{""type"": ""Point"", ""coordinates"": [-74.00197139,40.7454973]}",163,149
"{""type"": ""Point"", ""coordinates"": [-73.97604882,40.7489006]}",162,163
"{""type"": ""Point"", ""coordinates"": [-73.98978041,40.7262807]}",161,143
"{""type"": ""Point"", ""coordinates"": [-73.97573881,40.73314259]}",160,158
"{""type"": ""Point"", ""coordinates"": [-73.98054421,40.73381219]}",159,156
"{""type"": ""Point"", ""coordinates"": [-73.99600983,40.72430527]}",159,158
"{""type"": ""Point"", ""coordinates"": [-73.98721619,40.75299641]}",158,158
"{""type"": ""Point"", ""coordinates"": [-74.00297088,40.72710258]}",158,174
"{""type"": ""Point"", ""coordinates"": [-73.99994661,40.73781509]}",158,139
"{""type"": ""Point"", ""coordinates"": [-73.98672378,40.73047309]}",157,152
"{""type"": ""Point"", ""coordinates"": [-74.01129574,40.72771408]}",157,143
"{""type"": ""Point"", ""coordinates"": [-74.01020234,40.71291224]}",156,145
"{""type"": ""Point"", ""coordinates"": [-73.989111,40.722055]}",156,166
