geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.99974372,40.71602118]}",441,449
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",391,341
"{""type"": ""Point"", ""coordinates"": [-73.99098507,40.7575699]}",335,314
"{""type"": ""Point"", ""coordinates"": [-73.967416,40.756014]}",260,257
"{""type"": ""Point"", ""coordinates"": [-73.99415556,40.74173969]}",245,231
"{""type"": ""Point"", ""coordinates"": [-73.98192338,40.7652654]}",199,204
"{""type"": ""Point"", ""coordinates"": [-73.99074142,40.73454567]}",196,180
"{""type"": ""Point"", ""coordinates"": [-73.98261428,40.77163851]}",194,178
"{""type"": ""Point"", ""coordinates"": [-74.00214988,40.73038599]}",186,181
"{""type"": ""Point"", ""coordinates"": [-73.99102628,40.73020661]}",179,167
"{""type"": ""Point"", ""coordinates"": [-73.99009296,40.73704984]}",177,178
"{""type"": ""Point"", ""coordinates"": [-73.97371465,40.7643971]}",176,186
"{""type"": ""Point"", ""coordinates"": [-74.01322069,40.71754834]}",167,164
"{""type"": ""Point"", ""coordinates"": [-73.98067966,40.72966729]}",167,187
"{""type"": ""Point"", ""coordinates"": [-74.0021163,40.75594159]}",165,133
"{""type"": ""Point"", ""coordinates"": [-74.00293877,40.73401143]}",165,157
"{""type"": ""Point"", ""coordinates"": [-73.98165557,40.73221853]}",162,147
"{""type"": ""Point"", ""coordinates"": [-73.98672378,40.73047309]}",162,161
"{""type"": ""Point"", ""coordinates"": [-73.9907527,40.72951496]}",161,153
"{""type"": ""Point"", ""coordinates"": [-73.98142006,40.72740794]}",161,153
"{""type"": ""Point"", ""coordinates"": [-73.98379855,40.72621788]}",161,166
"{""type"": ""Point"", ""coordinates"": [-74.00711384,40.73291553]}",160,152
"{""type"": ""Point"", ""coordinates"": [-73.99200509,40.73492695]}",160,159
"{""type"": ""Point"", ""coordinates"": [-73.98426726,40.72953837]}",159,155
"{""type"": ""Point"", ""coordinates"": [-73.9870295,40.71559509]}",158,156
