geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.99974372,40.71602118]}",286,303
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",174,157
"{""type"": ""Point"", ""coordinates"": [-73.99074142,40.73454567]}",148,146
"{""type"": ""Point"", ""coordinates"": [-73.99415556,40.74173969]}",143,159
"{""type"": ""Point"", ""coordinates"": [-73.99098507,40.7575699]}",138,133
"{""type"": ""Point"", ""coordinates"": [-73.967416,40.756014]}",116,133
"{""type"": ""Point"", ""coordinates"": [-73.99009296,40.73704984]}",110,121
"{""type"": ""Point"", ""coordinates"": [-73.99102628,40.73020661]}",108,100
"{""type"": ""Point"", ""coordinates"": [-74.00293877,40.73401143]}",106,104
"{""type"": ""Point"", ""coordinates"": [-74.00711384,40.73291553]}",104,93
"{""type"": ""Point"", ""coordinates"": [-73.98067966,40.72966729]}",98,100
"{""type"": ""Point"", ""coordinates"": [-73.98672378,40.73047309]}",96,96
"{""type"": ""Point"", ""coordinates"": [-73.98165557,40.73221853]}",94,84
"{""type"": ""Point"", ""coordinates"": [-73.99200509,40.73492695]}",94,79
"{""type"": ""Point"", ""coordinates"": [-74.00138497,40.74102151]}",94,105
"{""type"": ""Point"", ""coordinates"": [-73.9907527,40.72951496]}",94,93
"{""type"": ""Point"", ""coordinates"": [-73.986923,40.734232]}",92,85
"{""type"": ""Point"", ""coordinates"": [-73.98426726,40.72953837]}",91,93
"{""type"": ""Point"", ""coordinates"": [-74.007756,40.746745]}",90,95
"{""type"": ""Point"", ""coordinates"": [-73.98990025,40.71427487]}",90,74
"{""type"": ""Point"", ""coordinates"": [-73.97966069,40.74394314]}",90,92
"{""type"": ""Point"", ""coordinates"": [-73.98379855,40.72621788]}",90,91
"{""type"": ""Point"", ""coordinates"": [-73.97973776,40.73912601]}",88,74
"{""type"": ""Point"", ""coordinates"": [-73.9870295,40.71559509]}",87,81
"{""type"": ""Point"", ""coordinates"": [-73.99529885,40.74487634]}",87,97
"{""type"": ""Point"", ""coordinates"": [-73.99724901,40.72210379]}",87,92
"{""type"": ""Point"", ""coordinates"": [-73.98054421,40.73381219]}",86,77
"{""type"": ""Point"", ""coordinates"": [-73.989111,40.722055]}",85,87
"{""type"": ""Point"", ""coordinates"": [-73.99994661,40.73781509]}",84,93
"{""type"": ""Point"", ""coordinates"": [-73.97706058,40.74290902]}",83,76
"{""type"": ""Point"", ""coordinates"": [-73.98583621,40.72307749]}",82,80
"{""type"": ""Point"", ""coordinates"": [-74.00197139,40.7454973]}",81,91
"{""type"": ""Point"", ""coordinates"": [-73.98955109,40.7403432]}",81,83
"{""type"": ""Point"", ""coordinates"": [-74.00214988,40.73038599]}",80,86
"{""type"": ""Point"", ""coordinates"": [-73.98848395,40.74901271]}",78,80
"{""type"": ""Point"", ""coordinates"": [-73.98205027,40.73587678]}",78,59
"{""type"": ""Point"", ""coordinates"": [-73.97283406,40.78499979]}",78,82
"{""type"": ""Point"", ""coordinates"": [-73.98918629,40.74286877]}",77,80
"{""type"": ""Point"", ""coordinates"": [-73.98713956,40.7284186]}",77,77
"{""type"": ""Point"", ""coordinates"": [-73.98142006,40.72740794]}",75,69
"{""type"": ""Point"", ""coordinates"": [-73.99379025,40.72743423]}",71,74
"{""type"": ""Point"", ""coordinates"": [-73.97573881,40.73314259]}",71,72
"{""type"": ""Point"", ""coordinates"": [-73.99456405,40.73971301]}",70,79
"{""type"": ""Point"", ""coordinates"": [-73.97950418,40.72746421]}",70,75
"{""type"": ""Point"", ""coordinates"": [-74.00004031,40.74345335]}",70,62
"{""type"": ""Point"", ""coordinates"": [-73.98191841,40.76915505]}",70,79
"{""type"": ""Point"", ""coordinates"": [-73.99190759,40.71605866]}",69,64
"{""type"": ""Point"", ""coordinates"": [-73.99392888,40.76727216]}",68,66
"{""type"": ""Point"", ""coordinates"": [-73.99642959,40.73804614]}",67,67
"{""type"": ""Point"", ""coordinates"": [-73.97898475,40.7770575]}",67,70
"{""type"": ""Point"", ""coordinates"": [-73.99915362,40.74475148]}",67,57
"{""type"": ""Point"", ""coordinates"": [-73.9734419,40.74780373]}",66,60
"{""type"": ""Point"", ""coordinates"": [-73.98978041,40.7262807]}",66,80
"{""type"": ""Point"", ""coordinates"": [-73.99461843,40.76009437]}",66,66
"{""type"": ""Point"", ""coordinates"": [-73.96024116,40.71534825]}",65,72
"{""type"": ""Point"", ""coordinates"": [-74.01322069,40.71754834]}",65,57
"{""type"": ""Point"", ""coordinates"": [-73.99726235,40.74238787]}",64,56
"{""type"": ""Point"", ""coordinates"": [-73.99061728,40.76669671]}",64,61
"{""type"": ""Point"", ""coordinates"": [-74.00507033,40.7394482]}",64,61
"{""type"": ""Point"", ""coordinates"": [-73.99144871,40.74395411]}",64,72
"{""type"": ""Point"", ""coordinates"": [-73.98564945,40.72779126]}",63,63
"{""type"": ""Point"", ""coordinates"": [-74.00451887,40.74691959]}",62,56
"{""type"": ""Point"", ""coordinates"": [-73.98602213,40.74096374]}",62,54
"{""type"": ""Point"", ""coordinates"": [-73.98185424,40.72453734]}",62,56
"{""type"": ""Point"", ""coordinates"": [-73.99468482,40.75058535]}",62,64
"{""type"": ""Point"", ""coordinates"": [-73.98192338,40.7652654]}",62,58
"{""type"": ""Point"", ""coordinates"": [-73.99931783,40.73935542]}",62,54
"{""type"": ""Point"", ""coordinates"": [-73.99069656,40.72502876]}",60,60
"{""type"": ""Point"", ""coordinates"": [-73.98093045,40.77966809]}",60,64
"{""type"": ""Point"", ""coordinates"": [-73.99810231,40.72917025]}",59,65
"{""type"": ""Point"", ""coordinates"": [-73.98751968,40.73827428]}",59,55
"{""type"": ""Point"", ""coordinates"": [-74.00473036,40.72430832]}",59,53
"{""type"": ""Point"", ""coordinates"": [-73.99480012,40.72317958]}",59,60
"{""type"": ""Point"", ""coordinates"": [-73.94552579,40.7862586]}",59,45
"{""type"": ""Point"", ""coordinates"": [-73.9919254,40.72110063]}",59,54
"{""type"": ""Point"", ""coordinates"": [-73.983293,40.741459]}",59,59
"{""type"": ""Point"", ""coordinates"": [-73.99723551,40.74734825]}",58,68
"{""type"": ""Point"", ""coordinates"": [-74.000271,40.735238]}",58,51
"{""type"": ""Point"", ""coordinates"": [-73.9851615,40.76370739]}",58,54
"{""type"": ""Point"", ""coordinates"": [-74.01658354,40.7153379]}",57,49
"{""type"": ""Point"", ""coordinates"": [-73.977706,40.751873]}",57,57
"{""type"": ""Point"", ""coordinates"": [-73.993934,40.751551]}",57,69
"{""type"": ""Point"", ""coordinates"": [-73.99147535,40.72229346]}",57,73
"{""type"": ""Point"", ""coordinates"": [-73.98997825,40.72019576]}",56,69
