geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.99974372,40.71602118]}",443,420
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",337,339
"{""type"": ""Point"", ""coordinates"": [-73.99098507,40.7575699]}",309,319
"{""type"": ""Point"", ""coordinates"": [-73.99415556,40.74173969]}",224,209
"{""type"": ""Point"", ""coordinates"": [-73.967416,40.756014]}",215,226
"{""type"": ""Point"", ""coordinates"": [-74.00214988,40.73038599]}",171,165
"{""type"": ""Point"", ""coordinates"": [-74.00293877,40.73401143]}",171,153
"{""type"": ""Point"", ""coordinates"": [-73.99009296,40.73704984]}",167,147
"{""type"": ""Point"", ""coordinates"": [-73.98067966,40.72966729]}",166,170
"{""type"": ""Point"", ""coordinates"": [-73.99074142,40.73454567]}",165,151
"{""type"": ""Point"", ""coordinates"": [-73.98191841,40.76915505]}",164,182
"{""type"": ""Point"", ""coordinates"": [-73.98955109,40.7403432]}",160,150
"{""type"": ""Point"", ""coordinates"": [-73.98165557,40.73221853]}",158,147
"{""type"": ""Point"", ""coordinates"": [-73.98379855,40.72621788]}",157,170
"{""type"": ""Point"", ""coordinates"": [-73.99102628,40.73020661]}",156,149
"{""type"": ""Point"", ""coordinates"": [-73.99724901,40.72210379]}",152,159
"{""type"": ""Point"", ""coordinates"": [-74.00197139,40.7454973]}",151,129
"{""type"": ""Point"", ""coordinates"": [-73.97706058,40.74290902]}",146,146
"{""type"": ""Point"", ""coordinates"": [-73.9870295,40.71559509]}",144,143
"{""type"": ""Point"", ""coordinates"": [-73.98713956,40.7284186]}",144,143
"{""type"": ""Point"", ""coordinates"": [-73.9907527,40.72951496]}",142,154
"{""type"": ""Point"", ""coordinates"": [-73.97283406,40.78499979]}",142,148
"{""type"": ""Point"", ""coordinates"": [-74.007756,40.746745]}",142,139
"{""type"": ""Point"", ""coordinates"": [-73.99200509,40.73492695]}",138,134
"{""type"": ""Point"", ""coordinates"": [-73.98054421,40.73381219]}",138,138
"{""type"": ""Point"", ""coordinates"": [-74.00138497,40.74102151]}",137,136
"{""type"": ""Point"", ""coordinates"": [-74.008119,40.739323]}",133,122
"{""type"": ""Point"", ""coordinates"": [-73.98426726,40.72953837]}",133,144
"{""type"": ""Point"", ""coordinates"": [-74.00711384,40.73291553]}",132,130
"{""type"": ""Point"", ""coordinates"": [-73.99379025,40.72743423]}",131,145
"{""type"": ""Point"", ""coordinates"": [-73.98918629,40.74286877]}",130,135
"{""type"": ""Point"", ""coordinates"": [-73.989111,40.722055]}",130,133
"{""type"": ""Point"", ""coordinates"": [-73.983293,40.741459]}",129,110
"{""type"": ""Point"", ""coordinates"": [-73.98093045,40.77966809]}",128,136
"{""type"": ""Point"", ""coordinates"": [-73.99529885,40.74487634]}",128,131
"{""type"": ""Point"", ""coordinates"": [-73.99994661,40.73781509]}",126,120
"{""type"": ""Point"", ""coordinates"": [-73.98672378,40.73047309]}",125,118
"{""type"": ""Point"", ""coordinates"": [-73.98889957,40.73223272]}",125,117
"{""type"": ""Point"", ""coordinates"": [-73.97966069,40.74394314]}",124,133
"{""type"": ""Point"", ""coordinates"": [-73.98564945,40.72779126]}",123,132
"{""type"": ""Point"", ""coordinates"": [-73.99383605,40.70277159]}",122,111
"{""type"": ""Point"", ""coordinates"": [-74.00218427,40.75018156]}",121,106
"{""type"": ""Point"", ""coordinates"": [-73.993934,40.751551]}",121,124
"{""type"": ""Point"", ""coordinates"": [-73.99915362,40.74475148]}",120,131
"{""type"": ""Point"", ""coordinates"": [-73.986923,40.734232]}",120,116
"{""type"": ""Point"", ""coordinates"": [-73.99600983,40.72430527]}",118,117
"{""type"": ""Point"", ""coordinates"": [-73.97973776,40.73912601]}",118,115
"{""type"": ""Point"", ""coordinates"": [-73.98997825,40.72019576]}",118,125
"{""type"": ""Point"", ""coordinates"": [-74.00297088,40.72710258]}",117,116
"{""type"": ""Point"", ""coordinates"": [-73.960876,40.710451]}",112,94
"{""type"": ""Point"", ""coordinates"": [-74.015756,40.711512]}",111,113
"{""type"": ""Point"", ""coordinates"": [-74.000271,40.735238]}",111,115
"{""type"": ""Point"", ""coordinates"": [-73.97898475,40.7770575]}",111,127
"{""type"": ""Point"", ""coordinates"": [-73.98185424,40.72453734]}",110,109
"{""type"": ""Point"", ""coordinates"": [-73.99144871,40.74395411]}",110,97
"{""type"": ""Point"", ""coordinates"": [-73.99480012,40.72317958]}",110,105
"{""type"": ""Point"", ""coordinates"": [-73.98978041,40.7262807]}",108,108
"{""type"": ""Point"", ""coordinates"": [-74.00451887,40.74691959]}",107,106
"{""type"": ""Point"", ""coordinates"": [-73.98142006,40.72740794]}",107,96
"{""type"": ""Point"", ""coordinates"": [-73.99266288,40.71893904]}",106,105
"{""type"": ""Point"", ""coordinates"": [-73.98261428,40.77163851]}",105,99
"{""type"": ""Point"", ""coordinates"": [-73.9734419,40.74780373]}",105,107
"{""type"": ""Point"", ""coordinates"": [-73.99490342,40.73143724]}",104,107
"{""type"": ""Point"", ""coordinates"": [-73.99069656,40.72502876]}",103,100
"{""type"": ""Point"", ""coordinates"": [-73.9851615,40.76370739]}",103,87
"{""type"": ""Point"", ""coordinates"": [-73.98368779,40.72217444]}",102,108
"{""type"": ""Point"", ""coordinates"": [-73.99642959,40.73804614]}",102,99
"{""type"": ""Point"", ""coordinates"": [-73.97371465,40.7643971]}",102,101
"{""type"": ""Point"", ""coordinates"": [-73.97449784,40.74322681]}",102,98
"{""type"": ""Point"", ""coordinates"": [-73.9912551,40.76019252]}",102,110
"{""type"": ""Point"", ""coordinates"": [-73.99468482,40.75058535]}",101,98
"{""type"": ""Point"", ""coordinates"": [-74.00004031,40.74345335]}",101,103
"{""type"": ""Point"", ""coordinates"": [-73.9535166,40.77140426]}",101,82
"{""type"": ""Point"", ""coordinates"": [-73.99723551,40.74734825]}",101,91
"{""type"": ""Point"", ""coordinates"": [-73.98990025,40.71427487]}",100,96
"{""type"": ""Point"", ""coordinates"": [-73.99456405,40.73971301]}",100,90
"{""type"": ""Point"", ""coordinates"": [-73.97950418,40.72746421]}",99,94
"{""type"": ""Point"", ""coordinates"": [-73.98751968,40.73827428]}",99,87
"{""type"": ""Point"", ""coordinates"": [-73.98205027,40.73587678]}",96,117
"{""type"": ""Point"", ""coordinates"": [-73.98583621,40.72307749]}",96,116
"{""type"": ""Point"", ""coordinates"": [-73.96024116,40.71534825]}",95,97
"{""type"": ""Point"", ""coordinates"": [-73.99906065,40.73047747]}",94,99
"{""type"": ""Point"", ""coordinates"": [-73.97573881,40.73314259]}",94,86
"{""type"": ""Point"", ""coordinates"": [-73.96094022,40.7612274]}",94,87
"{""type"": ""Point"", ""coordinates"": [-73.97809472,40.736502]}",93,99
"{""type"": ""Point"", ""coordinates"": [-73.99810231,40.72917025]}",93,91
"{""type"": ""Point"", ""coordinates"": [-73.98517977,40.72066442]}",93,87
"{""type"": ""Point"", ""coordinates"": [-73.98602213,40.74096374]}",92,94
"{""type"": ""Point"", ""coordinates"": [-74.0046073,40.71273266]}",91,99
"{""type"": ""Point"", ""coordinates"": [-73.99923384,40.74937024]}",91,82
"{""type"": ""Point"", ""coordinates"": [-73.9916,40.749156]}",91,93
"{""type"": ""Point"", ""coordinates"": [-73.95850939,40.71745169]}",90,94
"{""type"": ""Point"", ""coordinates"": [-73.98848395,40.74901271]}",90,101
"{""type"": ""Point"", ""coordinates"": [-74.00507033,40.7394482]}",89,95
"{""type"": ""Point"", ""coordinates"": [-73.98473765,40.73624527]}",89,100
"{""type"": ""Point"", ""coordinates"": [-73.99190759,40.71605866]}",89,86
"{""type"": ""Point"", ""coordinates"": [-73.99461843,40.76009437]}",89,95
"{""type"": ""Point"", ""coordinates"": [-73.99931783,40.73935542]}",88,88
"{""type"": ""Point"", ""coordinates"": [-73.977706,40.751873]}",88,87
"{""type"": ""Point"", ""coordinates"": [-74.01322069,40.71754834]}",87,85
"{""type"": ""Point"", ""coordinates"": [-73.98452729,40.76068327]}",87,87
"{""type"": ""Point"", ""coordinates"": [-73.98192338,40.7652654]}",87,83
"{""type"": ""Point"", ""coordinates"": [-74.00681753,40.74334935]}",86,82
"{""type"": ""Point"", ""coordinates"": [-73.99431,40.735445]}",85,77
"{""type"": ""Point"", ""coordinates"": [-73.95818491,40.76500525]}",84,76
"{""type"": ""Point"", ""coordinates"": [-74.00277668,40.76087502]}",84,75
"{""type"": ""Point"", ""coordinates"": [-73.99422366,40.7158155]}",83,73
"{""type"": ""Point"", ""coordinates"": [-74.0021163,40.75594159]}",83,66
"{""type"": ""Point"", ""coordinates"": [-73.99884222,40.76030096]}",83,102
"{""type"": ""Point"", ""coordinates"": [-73.99726235,40.74238787]}",82,86
"{""type"": ""Point"", ""coordinates"": [-73.99852205,40.73226398]}",82,90
"{""type"": ""Point"", ""coordinates"": [-73.98658032,40.75513557]}",82,83
"{""type"": ""Point"", ""coordinates"": [-73.968087,40.7919557]}",82,78
"{""type"": ""Point"", ""coordinates"": [-73.94552579,40.7862586]}",81,68
"{""type"": ""Point"", ""coordinates"": [-73.99301222,40.76269882]}",81,73
"{""type"": ""Point"", ""coordinates"": [-73.97768752,40.72521311]}",81,77
"{""type"": ""Point"", ""coordinates"": [-74.00674436,40.73172428]}",81,81
"{""type"": ""Point"", ""coordinates"": [-73.98266566,40.77492513]}",80,78
"{""type"": ""Point"", ""coordinates"": [-73.95939,40.78307]}",80,62
"{""type"": ""Point"", ""coordinates"": [-74.00618026,40.73652889]}",80,82
"{""type"": ""Point"", ""coordinates"": [-73.9979009,40.75660359]}",79,82
"{""type"": ""Point"", ""coordinates"": [-73.99093085,40.75019995]}",79,92
"{""type"": ""Point"", ""coordinates"": [-73.981346,40.714215]}",79,83
"{""type"": ""Point"", ""coordinates"": [-73.98855723,40.7462009]}",79,84
"{""type"": ""Point"", ""coordinates"": [-74.01677685,40.70569254]}",78,80
"{""type"": ""Point"", ""coordinates"": [-73.97620574,40.77579377]}",77,75
"{""type"": ""Point"", ""coordinates"": [-73.993915,40.746647]}",77,89
"{""type"": ""Point"", ""coordinates"": [-73.97906899,40.76674056]}",76,76
"{""type"": ""Point"", ""coordinates"": [-73.99147535,40.72229346]}",76,89
"{""type"": ""Point"", ""coordinates"": [-73.98288594,40.77748046]}",75,92
"{""type"": ""Point"", ""coordinates"": [-73.98490707,40.74765947]}",75,79
"{""type"": ""Point"", ""coordinates"": [-73.98859651,40.75929124]}",74,76
"{""type"": ""Point"", ""coordinates"": [-73.96427393,40.77632142]}",74,63
"{""type"": ""Point"", ""coordinates"": [-73.98802084,40.7172274]}",74,78
"{""type"": ""Point"", ""coordinates"": [-73.99800419,40.73532427]}",74,82
"{""type"": ""Point"", ""coordinates"": [-74.01658354,40.7153379]}",74,65
"{""type"": ""Point"", ""coordinates"": [-73.97667321,40.78524672]}",74,80
"{""type"": ""Point"", ""coordinates"": [-73.99046034,40.77149671]}",72,72
"{""type"": ""Point"", ""coordinates"": [-73.99404649,40.72903917]}",72,77
"{""type"": ""Point"", ""coordinates"": [-73.98918696,40.77515953]}",72,72
"{""type"": ""Point"", ""coordinates"": [-73.98808416,40.74854862]}",72,78
"{""type"": ""Point"", ""coordinates"": [-74.00165856,40.72494672]}",72,70
"{""type"": ""Point"", ""coordinates"": [-73.98451656,40.68841743]}",71,69
"{""type"": ""Point"", ""coordinates"": [-73.9919254,40.72110063]}",70,63
"{""type"": ""Point"", ""coordinates"": [-73.97634151,40.76590936]}",70,80
"{""type"": ""Point"", ""coordinates"": [-73.96724467,40.76095756]}",69,61
"{""type"": ""Point"", ""coordinates"": [-73.9786517,40.7829391]}",69,66
"{""type"": ""Point"", ""coordinates"": [-74.009447,40.711066]}",69,68
"{""type"": ""Point"", ""coordinates"": [-73.98215353,40.74311555]}",69,63
"{""type"": ""Point"", ""coordinates"": [-74.00473036,40.72430832]}",69,70
"{""type"": ""Point"", ""coordinates"": [-73.96685276,40.77282817]}",69,58
"{""type"": ""Point"", ""coordinates"": [-74.00367558,40.74353373]}",68,69
"{""type"": ""Point"", ""coordinates"": [-73.98085795,40.7208736]}",68,70
"{""type"": ""Point"", ""coordinates"": [-73.97668709,40.72228087]}",67,58
"{""type"": ""Point"", ""coordinates"": [-73.99949601,40.72362738]}",67,80
"{""type"": ""Point"", ""coordinates"": [-74.005226,40.751396]}",66,69
"{""type"": ""Point"", ""coordinates"": [-74.00398269,40.73756121]}",66,77
"{""type"": ""Point"", ""coordinates"": [-73.98788205,40.76227205]}",65,85
"{""type"": ""Point"", ""coordinates"": [-73.98329859,40.71850211]}",65,68
"{""type"": ""Point"", ""coordinates"": [-74.01713445,40.70834698]}",65,78
"{""type"": ""Point"", ""coordinates"": [-74.01122332,40.71485151]}",65,62
"{""type"": ""Point"", ""coordinates"": [-74.0091059,40.71625008]}",65,50
"{""type"": ""Point"", ""coordinates"": [-74.00859207,40.7361967]}",64,67
"{""type"": ""Point"", ""coordinates"": [-74.00247214,40.71939226]}",64,50
"{""type"": ""Point"", ""coordinates"": [-73.99061728,40.76669671]}",64,76
"{""type"": ""Point"", ""coordinates"": [-73.97536082,40.74144387]}",64,54
"{""type"": ""Point"", ""coordinates"": [-73.9551276,40.77755374]}",64,79
"{""type"": ""Point"", ""coordinates"": [-73.9550858,40.73232194]}",64,59
"{""type"": ""Point"", ""coordinates"": [-73.9739,40.7921]}",62,57
"{""type"": ""Point"", ""coordinates"": [-73.96165073,40.72036775]}",62,61
"{""type"": ""Point"", ""coordinates"": [-74.01129574,40.72771408]}",62,71
"{""type"": ""Point"", ""coordinates"": [-73.963198,40.716887]}",62,62
"{""type"": ""Point"", ""coordinates"": [-74.008591,40.728846]}",62,70
"{""type"": ""Point"", ""coordinates"": [-73.97137,40.78275]}",62,47
"{""type"": ""Point"", ""coordinates"": [-73.97835016,40.76309387]}",61,58
"{""type"": ""Point"", ""coordinates"": [-73.99595065,40.69512845]}",61,42
"{""type"": ""Point"", ""coordinates"": [-74.013012,40.7149787]}",61,60
"{""type"": ""Point"", ""coordinates"": [-73.964839,40.79127]}",61,60
"{""type"": ""Point"", ""coordinates"": [-73.95698119,40.71286844]}",61,64
"{""type"": ""Point"", ""coordinates"": [-73.98194829,40.7457121]}",61,53
"{""type"": ""Point"", ""coordinates"": [-73.99293911,40.71406667]}",61,62
"{""type"": ""Point"", ""coordinates"": [-73.96590294,40.71285887]}",61,62
"{""type"": ""Point"", ""coordinates"": [-73.986274,40.720747]}",60,69
"{""type"": ""Point"", ""coordinates"": [-73.97604882,40.7489006]}",60,63
"{""type"": ""Point"", ""coordinates"": [-73.988038,40.770513]}",60,62
"{""type"": ""Point"", ""coordinates"": [-73.97728533,40.78018397]}",60,52
"{""type"": ""Point"", ""coordinates"": [-73.97738662,40.7381765]}",59,57
"{""type"": ""Point"", ""coordinates"": [-74.00965965,40.72405549]}",59,67
"{""type"": ""Point"", ""coordinates"": [-73.98303529,40.74444921]}",59,53
"{""type"": ""Point"", ""coordinates"": [-73.98683077,40.7451677]}",59,67
"{""type"": ""Point"", ""coordinates"": [-73.97374737,40.77896784]}",59,75
"{""type"": ""Point"", ""coordinates"": [-74.005549,40.717571]}",58,48
"{""type"": ""Point"", ""coordinates"": [-73.96264403,40.71260486]}",58,60
"{""type"": ""Point"", ""coordinates"": [-73.99238967,40.73726186]}",58,61
"{""type"": ""Point"", ""coordinates"": [-73.96961715,40.78472675]}",58,55
"{""type"": ""Point"", ""coordinates"": [-73.9867267,40.70140317]}",57,48
"{""type"": ""Point"", ""coordinates"": [-73.96536851,40.69196035]}",57,59
"{""type"": ""Point"", ""coordinates"": [-74.00731853,40.70706456]}",57,44
"{""type"": ""Point"", ""coordinates"": [-73.95299117,40.72708584]}",57,49
"{""type"": ""Point"", ""coordinates"": [-73.99063168,40.6867443]}",56,59
