geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.99098507,40.7575699]}",898,782
"{""type"": ""Point"", ""coordinates"": [-73.977706,40.751873]}",572,565
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",566,495
"{""type"": ""Point"", ""coordinates"": [-73.967416,40.756014]}",527,534
"{""type"": ""Point"", ""coordinates"": [-73.99974372,40.71602118]}",513,560
"{""type"": ""Point"", ""coordinates"": [-73.99468482,40.75058535]}",426,457
"{""type"": ""Point"", ""coordinates"": [-73.98955109,40.7403432]}",396,378
"{""type"": ""Point"", ""coordinates"": [-73.99415556,40.74173969]}",327,344
"{""type"": ""Point"", ""coordinates"": [-73.99009296,40.73704984]}",310,338
"{""type"": ""Point"", ""coordinates"": [-73.993934,40.751551]}",309,306
"{""type"": ""Point"", ""coordinates"": [-73.97498696,40.75510267]}",291,302
"{""type"": ""Point"", ""coordinates"": [-73.99093085,40.75019995]}",285,234
"{""type"": ""Point"", ""coordinates"": [-73.9916,40.749156]}",279,260
"{""type"": ""Point"", ""coordinates"": [-73.99102628,40.73020661]}",266,260
"{""type"": ""Point"", ""coordinates"": [-74.01322069,40.71754834]}",263,226
"{""type"": ""Point"", ""coordinates"": [-73.97791,40.751581]}",261,284
"{""type"": ""Point"", ""coordinates"": [-73.9907527,40.72951496]}",259,259
"{""type"": ""Point"", ""coordinates"": [-73.98658032,40.75513557]}",257,260
"{""type"": ""Point"", ""coordinates"": [-73.98848395,40.74901271]}",252,254
"{""type"": ""Point"", ""coordinates"": [-73.99074142,40.73454567]}",246,249
"{""type"": ""Point"", ""coordinates"": [-74.00138497,40.74102151]}",244,245
"{""type"": ""Point"", ""coordinates"": [-73.98918629,40.74286877]}",243,243
"{""type"": ""Point"", ""coordinates"": [-74.00711384,40.73291553]}",236,240
"{""type"": ""Point"", ""coordinates"": [-74.007756,40.746745]}",231,253
"{""type"": ""Point"", ""coordinates"": [-73.98191841,40.76915505]}",231,250
"{""type"": ""Point"", ""coordinates"": [-73.98192338,40.7652654]}",230,226
"{""type"": ""Point"", ""coordinates"": [-74.00566443,40.72243797]}",227,165
"{""type"": ""Point"", ""coordinates"": [-74.00214988,40.73038599]}",227,204
"{""type"": ""Point"", ""coordinates"": [-74.01361706,40.70463334]}",223,144
"{""type"": ""Point"", ""coordinates"": [-73.98165557,40.73221853]}",222,213
"{""type"": ""Point"", ""coordinates"": [-73.97805914,40.75724568]}",217,212
"{""type"": ""Point"", ""coordinates"": [-73.99200509,40.73492695]}",217,219
"{""type"": ""Point"", ""coordinates"": [-73.97371465,40.7643971]}",217,212
"{""type"": ""Point"", ""coordinates"": [-73.97982001,40.76132983]}",216,218
"{""type"": ""Point"", ""coordinates"": [-73.98452729,40.76068327]}",211,213
"{""type"": ""Point"", ""coordinates"": [-73.98194829,40.7457121]}",210,215
"{""type"": ""Point"", ""coordinates"": [-73.97449784,40.74322681]}",205,224
"{""type"": ""Point"", ""coordinates"": [-73.98067966,40.72966729]}",204,192
"{""type"": ""Point"", ""coordinates"": [-73.95818491,40.76500525]}",203,199
"{""type"": ""Point"", ""coordinates"": [-73.99379025,40.72743423]}",201,193
"{""type"": ""Point"", ""coordinates"": [-73.983293,40.741459]}",201,206
"{""type"": ""Point"", ""coordinates"": [-73.993915,40.746647]}",201,204
"{""type"": ""Point"", ""coordinates"": [-73.99724901,40.72210379]}",200,210
"{""type"": ""Point"", ""coordinates"": [-73.97648516,40.75992262]}",197,194
"{""type"": ""Point"", ""coordinates"": [-73.98855723,40.7462009]}",196,195
"{""type"": ""Point"", ""coordinates"": [-74.015756,40.711512]}",196,197
"{""type"": ""Point"", ""coordinates"": [-73.98602213,40.74096374]}",194,201
"{""type"": ""Point"", ""coordinates"": [-73.98142006,40.72740794]}",194,194
"{""type"": ""Point"", ""coordinates"": [-73.99529885,40.74487634]}",194,196
"{""type"": ""Point"", ""coordinates"": [-73.98205027,40.73587678]}",193,161
"{""type"": ""Point"", ""coordinates"": [-73.99144871,40.74395411]}",193,196
"{""type"": ""Point"", ""coordinates"": [-73.97809472,40.736502]}",189,180
"{""type"": ""Point"", ""coordinates"": [-73.98808416,40.74854862]}",187,194
"{""type"": ""Point"", ""coordinates"": [-73.9734419,40.74780373]}",185,185
"{""type"": ""Point"", ""coordinates"": [-74.00674436,40.73172428]}",183,177
"{""type"": ""Point"", ""coordinates"": [-74.01030064,40.72019521]}",181,190
"{""type"": ""Point"", ""coordinates"": [-73.989111,40.722055]}",178,160
"{""type"": ""Point"", ""coordinates"": [-73.97283406,40.78499979]}",178,204
"{""type"": ""Point"", ""coordinates"": [-73.97573881,40.73314259]}",178,209
"{""type"": ""Point"", ""coordinates"": [-73.99456405,40.73971301]}",177,197
"{""type"": ""Point"", ""coordinates"": [-73.99723551,40.74734825]}",177,158
"{""type"": ""Point"", ""coordinates"": [-73.97706058,40.74290902]}",172,173
"{""type"": ""Point"", ""coordinates"": [-74.00935516,40.71334184]}",171,157
"{""type"": ""Point"", ""coordinates"": [-73.99600983,40.72430527]}",170,183
"{""type"": ""Point"", ""coordinates"": [-74.00197139,40.7454973]}",169,152
"{""type"": ""Point"", ""coordinates"": [-73.99238967,40.73726186]}",169,181
"{""type"": ""Point"", ""coordinates"": [-73.986923,40.734232]}",168,143
"{""type"": ""Point"", ""coordinates"": [-74.008591,40.728846]}",165,157
"{""type"": ""Point"", ""coordinates"": [-74.00218427,40.75018156]}",164,176
"{""type"": ""Point"", ""coordinates"": [-74.01658354,40.7153379]}",164,183
"{""type"": ""Point"", ""coordinates"": [-73.97973776,40.73912601]}",163,170
"{""type"": ""Point"", ""coordinates"": [-73.99931783,40.73935542]}",163,132
"{""type"": ""Point"", ""coordinates"": [-73.99490342,40.73143724]}",162,163
"{""type"": ""Point"", ""coordinates"": [-74.00297088,40.72710258]}",161,177
"{""type"": ""Point"", ""coordinates"": [-73.99431,40.735445]}",160,160
"{""type"": ""Point"", ""coordinates"": [-73.98316936,40.75527307]}",157,156
"{""type"": ""Point"", ""coordinates"": [-74.008119,40.739323]}",156,136
"{""type"": ""Point"", ""coordinates"": [-73.9912551,40.76019252]}",156,133
"{""type"": ""Point"", ""coordinates"": [-73.97992194,40.75216528]}",155,154
"{""type"": ""Point"", ""coordinates"": [-73.99726235,40.74238787]}",154,160
"{""type"": ""Point"", ""coordinates"": [-73.98583621,40.72307749]}",153,153
"{""type"": ""Point"", ""coordinates"": [-73.98054421,40.73381219]}",153,118
"{""type"": ""Point"", ""coordinates"": [-73.98426726,40.72953837]}",152,146
"{""type"": ""Point"", ""coordinates"": [-73.97634151,40.76590936]}",152,149
"{""type"": ""Point"", ""coordinates"": [-73.98683077,40.7451677]}",152,152
"{""type"": ""Point"", ""coordinates"": [-73.98490707,40.74765947]}",151,152
"{""type"": ""Point"", ""coordinates"": [-74.00277668,40.76087502]}",150,148
"{""type"": ""Point"", ""coordinates"": [-73.97604882,40.7489006]}",150,155
"{""type"": ""Point"", ""coordinates"": [-73.99642959,40.73804614]}",149,155
"{""type"": ""Point"", ""coordinates"": [-73.99994661,40.73781509]}",149,138
"{""type"": ""Point"", ""coordinates"": [-74.00293877,40.73401143]}",149,141
"{""type"": ""Point"", ""coordinates"": [-73.99884222,40.76030096]}",149,145
"{""type"": ""Point"", ""coordinates"": [-73.98788205,40.76227205]}",147,174
"{""type"": ""Point"", ""coordinates"": [-74.00451887,40.74691959]}",147,149
"{""type"": ""Point"", ""coordinates"": [-73.98185424,40.72453734]}",147,102
"{""type"": ""Point"", ""coordinates"": [-74.00004031,40.74345335]}",146,121
"{""type"": ""Point"", ""coordinates"": [-73.99662137,40.72706363]}",145,146
"{""type"": ""Point"", ""coordinates"": [-73.99266288,40.71893904]}",144,142
"{""type"": ""Point"", ""coordinates"": [-73.99190759,40.71605866]}",144,136
"{""type"": ""Point"", ""coordinates"": [-73.98713956,40.7284186]}",144,145
"{""type"": ""Point"", ""coordinates"": [-73.99915362,40.74475148]}",144,145
"{""type"": ""Point"", ""coordinates"": [-73.98093045,40.77966809]}",143,138
"{""type"": ""Point"", ""coordinates"": [-73.9851615,40.76370739]}",142,151
"{""type"": ""Point"", ""coordinates"": [-73.98978041,40.7262807]}",142,135
"{""type"": ""Point"", ""coordinates"": [-73.99301222,40.76269882]}",142,118
"{""type"": ""Point"", ""coordinates"": [-74.009447,40.711066]}",142,151
"{""type"": ""Point"", ""coordinates"": [-73.9535166,40.77140426]}",140,133
"{""type"": ""Point"", ""coordinates"": [-73.98997825,40.72019576]}",139,143
"{""type"": ""Point"", ""coordinates"": [-73.97966069,40.74394314]}",138,155
"{""type"": ""Point"", ""coordinates"": [-73.99667444,40.76341379]}",138,139
"{""type"": ""Point"", ""coordinates"": [-73.97121214,40.744219]}",138,99
"{""type"": ""Point"", ""coordinates"": [-73.9870295,40.71559509]}",138,138
"{""type"": ""Point"", ""coordinates"": [-73.98990025,40.71427487]}",137,136
"{""type"": ""Point"", ""coordinates"": [-73.99046034,40.77149671]}",136,139
"{""type"": ""Point"", ""coordinates"": [-73.98721619,40.75299641]}",136,131
"{""type"": ""Point"", ""coordinates"": [-74.00507033,40.7394482]}",136,148
"{""type"": ""Point"", ""coordinates"": [-73.94552579,40.7862586]}",136,137
"{""type"": ""Point"", ""coordinates"": [-74.00670227,40.70355377]}",135,132
"{""type"": ""Point"", ""coordinates"": [-73.98797393,40.73536706]}",135,142
"{""type"": ""Point"", ""coordinates"": [-74.00295035,40.74971775]}",134,129
"{""type"": ""Point"", ""coordinates"": [-73.98564945,40.72779126]}",133,114
"{""type"": ""Point"", ""coordinates"": [-73.99800419,40.73532427]}",133,126
"{""type"": ""Point"", ""coordinates"": [-73.99392888,40.76727216]}",133,145
"{""type"": ""Point"", ""coordinates"": [-73.98889957,40.73223272]}",132,123
"{""type"": ""Point"", ""coordinates"": [-73.976806,40.739445]}",132,145
"{""type"": ""Point"", ""coordinates"": [-73.97835016,40.76309387]}",132,135
"{""type"": ""Point"", ""coordinates"": [-73.99404649,40.72903917]}",132,136
"{""type"": ""Point"", ""coordinates"": [-73.99480012,40.72317958]}",132,128
"{""type"": ""Point"", ""coordinates"": [-73.96094022,40.7612274]}",131,114
"{""type"": ""Point"", ""coordinates"": [-74.0021163,40.75594159]}",131,111
"{""type"": ""Point"", ""coordinates"": [-73.99810231,40.72917025]}",130,148
"{""type"": ""Point"", ""coordinates"": [-73.98215353,40.74311555]}",130,139
