geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.99098507,40.7575699]}",569,529
"{""type"": ""Point"", ""coordinates"": [-73.99974372,40.71602118]}",383,387
"{""type"": ""Point"", ""coordinates"": [-73.977706,40.751873]}",307,345
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",291,275
"{""type"": ""Point"", ""coordinates"": [-73.99468482,40.75058535]}",237,191
"{""type"": ""Point"", ""coordinates"": [-73.967416,40.756014]}",226,248
"{""type"": ""Point"", ""coordinates"": [-73.993934,40.751551]}",214,201
"{""type"": ""Point"", ""coordinates"": [-73.98955109,40.7403432]}",201,199
"{""type"": ""Point"", ""coordinates"": [-73.99415556,40.74173969]}",199,199
"{""type"": ""Point"", ""coordinates"": [-73.99074142,40.73454567]}",191,188
"{""type"": ""Point"", ""coordinates"": [-73.99009296,40.73704984]}",188,198
"{""type"": ""Point"", ""coordinates"": [-73.99093085,40.75019995]}",183,177
"{""type"": ""Point"", ""coordinates"": [-73.97498696,40.75510267]}",168,167
"{""type"": ""Point"", ""coordinates"": [-73.98918629,40.74286877]}",168,178
"{""type"": ""Point"", ""coordinates"": [-73.99102628,40.73020661]}",166,157
"{""type"": ""Point"", ""coordinates"": [-73.9916,40.749156]}",161,153
"{""type"": ""Point"", ""coordinates"": [-74.007756,40.746745]}",159,163
"{""type"": ""Point"", ""coordinates"": [-73.98165557,40.73221853]}",158,133
"{""type"": ""Point"", ""coordinates"": [-73.9907527,40.72951496]}",157,131
"{""type"": ""Point"", ""coordinates"": [-74.00138497,40.74102151]}",151,163
"{""type"": ""Point"", ""coordinates"": [-73.98848395,40.74901271]}",151,153
"{""type"": ""Point"", ""coordinates"": [-73.98194829,40.7457121]}",139,141
"{""type"": ""Point"", ""coordinates"": [-73.98067966,40.72966729]}",137,143
"{""type"": ""Point"", ""coordinates"": [-73.99379025,40.72743423]}",137,122
"{""type"": ""Point"", ""coordinates"": [-73.98658032,40.75513557]}",133,135
"{""type"": ""Point"", ""coordinates"": [-73.99456405,40.73971301]}",129,126
"{""type"": ""Point"", ""coordinates"": [-74.00711384,40.73291553]}",128,125
"{""type"": ""Point"", ""coordinates"": [-73.98602213,40.74096374]}",125,147
"{""type"": ""Point"", ""coordinates"": [-73.99723551,40.74734825]}",125,121
"{""type"": ""Point"", ""coordinates"": [-73.993915,40.746647]}",123,128
"{""type"": ""Point"", ""coordinates"": [-73.986923,40.734232]}",121,101
"{""type"": ""Point"", ""coordinates"": [-73.99529885,40.74487634]}",119,119
"{""type"": ""Point"", ""coordinates"": [-73.98426726,40.72953837]}",118,117
"{""type"": ""Point"", ""coordinates"": [-73.97449784,40.74322681]}",117,101
"{""type"": ""Point"", ""coordinates"": [-73.97809472,40.736502]}",117,112
"{""type"": ""Point"", ""coordinates"": [-73.99238967,40.73726186]}",117,118
"{""type"": ""Point"", ""coordinates"": [-73.99200509,40.73492695]}",116,125
"{""type"": ""Point"", ""coordinates"": [-73.98672378,40.73047309]}",116,105
"{""type"": ""Point"", ""coordinates"": [-73.98205027,40.73587678]}",115,115
"{""type"": ""Point"", ""coordinates"": [-73.98191841,40.76915505]}",112,133
"{""type"": ""Point"", ""coordinates"": [-73.9851615,40.76370739]}",112,111
"{""type"": ""Point"", ""coordinates"": [-73.98683077,40.7451677]}",110,114
"{""type"": ""Point"", ""coordinates"": [-73.99144871,40.74395411]}",110,107
"{""type"": ""Point"", ""coordinates"": [-73.99662137,40.72706363]}",110,103
"{""type"": ""Point"", ""coordinates"": [-73.98368779,40.72217444]}",109,83
"{""type"": ""Point"", ""coordinates"": [-73.98855723,40.7462009]}",108,107
"{""type"": ""Point"", ""coordinates"": [-74.00214988,40.73038599]}",107,105
"{""type"": ""Point"", ""coordinates"": [-73.98054421,40.73381219]}",107,104
"{""type"": ""Point"", ""coordinates"": [-73.98808416,40.74854862]}",107,129
"{""type"": ""Point"", ""coordinates"": [-73.99724901,40.72210379]}",107,116
"{""type"": ""Point"", ""coordinates"": [-73.98990025,40.71427487]}",106,100
"{""type"": ""Point"", ""coordinates"": [-73.98452729,40.76068327]}",106,107
"{""type"": ""Point"", ""coordinates"": [-73.97982001,40.76132983]}",105,108
"{""type"": ""Point"", ""coordinates"": [-73.97973776,40.73912601]}",104,105
"{""type"": ""Point"", ""coordinates"": [-73.983293,40.741459]}",103,100
"{""type"": ""Point"", ""coordinates"": [-73.98142006,40.72740794]}",103,89
"{""type"": ""Point"", ""coordinates"": [-73.99915362,40.74475148]}",102,96
"{""type"": ""Point"", ""coordinates"": [-73.97805914,40.75724568]}",102,101
"{""type"": ""Point"", ""coordinates"": [-73.98379855,40.72621788]}",101,117
"{""type"": ""Point"", ""coordinates"": [-73.9912551,40.76019252]}",101,105
"{""type"": ""Point"", ""coordinates"": [-73.98185424,40.72453734]}",100,99
"{""type"": ""Point"", ""coordinates"": [-73.97738662,40.7381765]}",98,92
"{""type"": ""Point"", ""coordinates"": [-74.01030064,40.72019521]}",96,95
"{""type"": ""Point"", ""coordinates"": [-73.9734419,40.74780373]}",95,113
"{""type"": ""Point"", ""coordinates"": [-74.009447,40.711066]}",94,93
"{""type"": ""Point"", ""coordinates"": [-73.99600983,40.72430527]}",94,110
"{""type"": ""Point"", ""coordinates"": [-73.95818491,40.76500525]}",93,115
"{""type"": ""Point"", ""coordinates"": [-74.00674436,40.73172428]}",93,91
"{""type"": ""Point"", ""coordinates"": [-73.99726235,40.74238787]}",92,94
"{""type"": ""Point"", ""coordinates"": [-74.005226,40.751396]}",92,94
"{""type"": ""Point"", ""coordinates"": [-73.9870295,40.71559509]}",92,91
"{""type"": ""Point"", ""coordinates"": [-73.97992194,40.75216528]}",92,89
"{""type"": ""Point"", ""coordinates"": [-73.97573881,40.73314259]}",91,98
"{""type"": ""Point"", ""coordinates"": [-74.008591,40.728846]}",91,77
"{""type"": ""Point"", ""coordinates"": [-74.00218427,40.75018156]}",91,111
"{""type"": ""Point"", ""coordinates"": [-73.99884222,40.76030096]}",91,91
"{""type"": ""Point"", ""coordinates"": [-74.00277668,40.76087502]}",90,62
"{""type"": ""Point"", ""coordinates"": [-73.99931783,40.73935542]}",90,89
"{""type"": ""Point"", ""coordinates"": [-74.01322069,40.71754834]}",90,99
"{""type"": ""Point"", ""coordinates"": [-74.00197139,40.7454973]}",90,90
"{""type"": ""Point"", ""coordinates"": [-74.015756,40.711512]}",89,99
"{""type"": ""Point"", ""coordinates"": [-74.00412083,40.7252557]}",89,83
"{""type"": ""Point"", ""coordinates"": [-73.97283406,40.78499979]}",89,104
"{""type"": ""Point"", ""coordinates"": [-73.99994661,40.73781509]}",88,88
"{""type"": ""Point"", ""coordinates"": [-73.98859651,40.75929124]}",88,90
"{""type"": ""Point"", ""coordinates"": [-73.97604882,40.7489006]}",88,99
"{""type"": ""Point"", ""coordinates"": [-73.98997825,40.72019576]}",88,88
"{""type"": ""Point"", ""coordinates"": [-73.99800419,40.73532427]}",88,87
"{""type"": ""Point"", ""coordinates"": [-73.99431,40.735445]}",88,82
"{""type"": ""Point"", ""coordinates"": [-74.00297088,40.72710258]}",88,83
"{""type"": ""Point"", ""coordinates"": [-74.00293877,40.73401143]}",88,88
"{""type"": ""Point"", ""coordinates"": [-73.981346,40.714215]}",87,87
"{""type"": ""Point"", ""coordinates"": [-73.99266288,40.71893904]}",87,85
"{""type"": ""Point"", ""coordinates"": [-73.98802084,40.7172274]}",87,67
"{""type"": ""Point"", ""coordinates"": [-73.97706058,40.74290902]}",87,102
"{""type"": ""Point"", ""coordinates"": [-73.97966069,40.74394314]}",86,88
"{""type"": ""Point"", ""coordinates"": [-73.97768752,40.72521311]}",86,80
"{""type"": ""Point"", ""coordinates"": [-73.98093045,40.77966809]}",86,83
"{""type"": ""Point"", ""coordinates"": [-74.01658354,40.7153379]}",86,87
"{""type"": ""Point"", ""coordinates"": [-73.99642959,40.73804614]}",86,82
"{""type"": ""Point"", ""coordinates"": [-73.98192338,40.7652654]}",85,99
"{""type"": ""Point"", ""coordinates"": [-73.98721619,40.75299641]}",85,85
"{""type"": ""Point"", ""coordinates"": [-73.98788205,40.76227205]}",85,100
"{""type"": ""Point"", ""coordinates"": [-73.97898475,40.7770575]}",84,89
"{""type"": ""Point"", ""coordinates"": [-73.98713956,40.7284186]}",84,83
"{""type"": ""Point"", ""coordinates"": [-73.99404649,40.72903917]}",84,80
"{""type"": ""Point"", ""coordinates"": [-73.98316936,40.75527307]}",84,83
"{""type"": ""Point"", ""coordinates"": [-74.00451887,40.74691959]}",84,84
"{""type"": ""Point"", ""coordinates"": [-73.989111,40.722055]}",84,88
"{""type"": ""Point"", ""coordinates"": [-73.96024116,40.71534825]}",84,78
"{""type"": ""Point"", ""coordinates"": [-73.99190759,40.71605866]}",83,76
"{""type"": ""Point"", ""coordinates"": [-73.97121214,40.744219]}",83,64
"{""type"": ""Point"", ""coordinates"": [-73.976806,40.739445]}",83,103
"{""type"": ""Point"", ""coordinates"": [-74.00295035,40.74971775]}",82,88
"{""type"": ""Point"", ""coordinates"": [-73.95850939,40.71745169]}",82,86
"{""type"": ""Point"", ""coordinates"": [-73.99810231,40.72917025]}",82,80
"{""type"": ""Point"", ""coordinates"": [-73.98215353,40.74311555]}",82,95
"{""type"": ""Point"", ""coordinates"": [-73.98303529,40.74444921]}",81,74
"{""type"": ""Point"", ""coordinates"": [-73.98765428,40.75097711]}",81,75
"{""type"": ""Point"", ""coordinates"": [-73.98517977,40.72066442]}",81,81
"{""type"": ""Point"", ""coordinates"": [-74.01020234,40.71291224]}",80,84
"{""type"": ""Point"", ""coordinates"": [-73.9535166,40.77140426]}",80,81
"{""type"": ""Point"", ""coordinates"": [-73.98085795,40.7208736]}",80,62
"{""type"": ""Point"", ""coordinates"": [-73.99046034,40.77149671]}",79,77
"{""type"": ""Point"", ""coordinates"": [-73.98014437,40.75500254]}",78,78
"{""type"": ""Point"", ""coordinates"": [-74.000271,40.735238]}",77,73
"{""type"": ""Point"", ""coordinates"": [-73.98490707,40.74765947]}",77,76
"{""type"": ""Point"", ""coordinates"": [-73.97791,40.751581]}",77,84
"{""type"": ""Point"", ""coordinates"": [-73.96590294,40.71285887]}",77,74
"{""type"": ""Point"", ""coordinates"": [-73.99461843,40.76009437]}",76,74
"{""type"": ""Point"", ""coordinates"": [-73.98751968,40.73827428]}",76,77
"{""type"": ""Point"", ""coordinates"": [-74.00165856,40.72494672]}",76,61
"{""type"": ""Point"", ""coordinates"": [-73.98564945,40.72779126]}",76,72
"{""type"": ""Point"", ""coordinates"": [-73.98978041,40.7262807]}",75,72
"{""type"": ""Point"", ""coordinates"": [-73.98583621,40.72307749]}",75,70
"{""type"": ""Point"", ""coordinates"": [-73.97835016,40.76309387]}",75,76
