geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.99098507,40.7575699]}",820,784
"{""type"": ""Point"", ""coordinates"": [-73.99974372,40.71602118]}",511,533
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",475,443
"{""type"": ""Point"", ""coordinates"": [-73.977706,40.751873]}",469,480
"{""type"": ""Point"", ""coordinates"": [-73.967416,40.756014]}",422,437
"{""type"": ""Point"", ""coordinates"": [-73.99468482,40.75058535]}",403,407
"{""type"": ""Point"", ""coordinates"": [-73.98955109,40.7403432]}",364,342
"{""type"": ""Point"", ""coordinates"": [-73.99415556,40.74173969]}",331,352
"{""type"": ""Point"", ""coordinates"": [-73.97498696,40.75510267]}",302,301
"{""type"": ""Point"", ""coordinates"": [-73.99009296,40.73704984]}",283,298
"{""type"": ""Point"", ""coordinates"": [-73.99074142,40.73454567]}",253,257
"{""type"": ""Point"", ""coordinates"": [-73.99093085,40.75019995]}",246,186
"{""type"": ""Point"", ""coordinates"": [-73.97982001,40.76132983]}",240,243
"{""type"": ""Point"", ""coordinates"": [-73.9916,40.749156]}",233,197
"{""type"": ""Point"", ""coordinates"": [-73.98848395,40.74901271]}",233,234
"{""type"": ""Point"", ""coordinates"": [-73.98191841,40.76915505]}",232,250
"{""type"": ""Point"", ""coordinates"": [-73.98658032,40.75513557]}",229,238
"{""type"": ""Point"", ""coordinates"": [-73.993934,40.751551]}",227,216
"{""type"": ""Point"", ""coordinates"": [-74.00138497,40.74102151]}",222,229
"{""type"": ""Point"", ""coordinates"": [-74.00566443,40.72243797]}",216,163
"{""type"": ""Point"", ""coordinates"": [-73.97791,40.751581]}",212,218
"{""type"": ""Point"", ""coordinates"": [-74.007756,40.746745]}",211,248
"{""type"": ""Point"", ""coordinates"": [-74.00711384,40.73291553]}",210,206
"{""type"": ""Point"", ""coordinates"": [-73.98918629,40.74286877]}",208,217
"{""type"": ""Point"", ""coordinates"": [-73.99102628,40.73020661]}",206,235
"{""type"": ""Point"", ""coordinates"": [-73.9907527,40.72951496]}",201,183
"{""type"": ""Point"", ""coordinates"": [-73.983293,40.741459]}",201,205
"{""type"": ""Point"", ""coordinates"": [-73.993915,40.746647]}",196,198
"{""type"": ""Point"", ""coordinates"": [-73.95818491,40.76500525]}",196,197
"{""type"": ""Point"", ""coordinates"": [-73.98192338,40.7652654]}",193,210
"{""type"": ""Point"", ""coordinates"": [-73.97371465,40.7643971]}",188,196
"{""type"": ""Point"", ""coordinates"": [-74.015756,40.711512]}",186,190
"{""type"": ""Point"", ""coordinates"": [-73.98808416,40.74854862]}",185,188
"{""type"": ""Point"", ""coordinates"": [-73.98165557,40.73221853]}",183,155
"{""type"": ""Point"", ""coordinates"": [-73.99724901,40.72210379]}",182,207
"{""type"": ""Point"", ""coordinates"": [-73.98602213,40.74096374]}",181,198
"{""type"": ""Point"", ""coordinates"": [-73.99379025,40.72743423]}",181,180
"{""type"": ""Point"", ""coordinates"": [-74.00197139,40.7454973]}",180,155
"{""type"": ""Point"", ""coordinates"": [-73.98067966,40.72966729]}",179,158
"{""type"": ""Point"", ""coordinates"": [-73.99723551,40.74734825]}",179,159
"{""type"": ""Point"", ""coordinates"": [-73.98452729,40.76068327]}",179,184
"{""type"": ""Point"", ""coordinates"": [-73.97449784,40.74322681]}",175,177
"{""type"": ""Point"", ""coordinates"": [-74.00674436,40.73172428]}",174,172
"{""type"": ""Point"", ""coordinates"": [-73.98855723,40.7462009]}",174,176
"{""type"": ""Point"", ""coordinates"": [-74.00214988,40.73038599]}",171,183
"{""type"": ""Point"", ""coordinates"": [-73.99200509,40.73492695]}",171,168
"{""type"": ""Point"", ""coordinates"": [-73.986923,40.734232]}",171,153
"{""type"": ""Point"", ""coordinates"": [-74.01030064,40.72019521]}",170,151
"{""type"": ""Point"", ""coordinates"": [-73.97973776,40.73912601]}",169,155
"{""type"": ""Point"", ""coordinates"": [-73.98142006,40.72740794]}",168,184
"{""type"": ""Point"", ""coordinates"": [-74.01361706,40.70463334]}",168,123
"{""type"": ""Point"", ""coordinates"": [-73.99238967,40.73726186]}",166,167
"{""type"": ""Point"", ""coordinates"": [-73.99915362,40.74475148]}",166,144
"{""type"": ""Point"", ""coordinates"": [-74.00218427,40.75018156]}",165,172
"{""type"": ""Point"", ""coordinates"": [-73.97805914,40.75724568]}",164,170
"{""type"": ""Point"", ""coordinates"": [-74.00277668,40.76087502]}",164,153
"{""type"": ""Point"", ""coordinates"": [-74.01322069,40.71754834]}",162,174
"{""type"": ""Point"", ""coordinates"": [-73.99144871,40.74395411]}",162,167
"{""type"": ""Point"", ""coordinates"": [-73.98194829,40.7457121]}",161,164
"{""type"": ""Point"", ""coordinates"": [-73.99529885,40.74487634]}",159,175
"{""type"": ""Point"", ""coordinates"": [-73.99642959,40.73804614]}",157,137
"{""type"": ""Point"", ""coordinates"": [-73.98683077,40.7451677]}",156,162
"{""type"": ""Point"", ""coordinates"": [-73.99931783,40.73935542]}",152,127
"{""type"": ""Point"", ""coordinates"": [-73.97809472,40.736502]}",151,129
"{""type"": ""Point"", ""coordinates"": [-74.009447,40.711066]}",151,160
"{""type"": ""Point"", ""coordinates"": [-74.0021163,40.75594159]}",149,115
"{""type"": ""Point"", ""coordinates"": [-73.9912551,40.76019252]}",149,144
"{""type"": ""Point"", ""coordinates"": [-73.989111,40.722055]}",148,133
"{""type"": ""Point"", ""coordinates"": [-73.98205027,40.73587678]}",147,154
"{""type"": ""Point"", ""coordinates"": [-74.01658354,40.7153379]}",146,160
"{""type"": ""Point"", ""coordinates"": [-73.97966069,40.74394314]}",143,129
"{""type"": ""Point"", ""coordinates"": [-73.97992194,40.75216528]}",143,143
"{""type"": ""Point"", ""coordinates"": [-73.98788205,40.76227205]}",141,140
"{""type"": ""Point"", ""coordinates"": [-73.97283406,40.78499979]}",141,149
"{""type"": ""Point"", ""coordinates"": [-74.01043382,40.70905623]}",140,160
"{""type"": ""Point"", ""coordinates"": [-73.97573881,40.73314259]}",139,165
"{""type"": ""Point"", ""coordinates"": [-74.00004031,40.74345335]}",139,116
"{""type"": ""Point"", ""coordinates"": [-73.99994661,40.73781509]}",139,111
"{""type"": ""Point"", ""coordinates"": [-73.98990025,40.71427487]}",138,140
"{""type"": ""Point"", ""coordinates"": [-73.9734419,40.74780373]}",138,147
"{""type"": ""Point"", ""coordinates"": [-73.97634151,40.76590936]}",137,142
"{""type"": ""Point"", ""coordinates"": [-74.008119,40.739323]}",137,136
"{""type"": ""Point"", ""coordinates"": [-73.98713956,40.7284186]}",137,131
"{""type"": ""Point"", ""coordinates"": [-73.97604882,40.7489006]}",137,139
"{""type"": ""Point"", ""coordinates"": [-73.98054421,40.73381219]}",136,132
"{""type"": ""Point"", ""coordinates"": [-73.98490707,40.74765947]}",136,151
"{""type"": ""Point"", ""coordinates"": [-73.99046034,40.77149671]}",135,126
"{""type"": ""Point"", ""coordinates"": [-73.99726235,40.74238787]}",135,135
