geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.99098507,40.7575699]}",1651,1866
"{""type"": ""Point"", ""coordinates"": [-73.99974372,40.71602118]}",1305,1241
"{""type"": ""Point"", ""coordinates"": [-73.977706,40.751873]}",1134,1110
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",987,796
"{""type"": ""Point"", ""coordinates"": [-73.967416,40.756014]}",978,980
"{""type"": ""Point"", ""coordinates"": [-73.99468482,40.75058535]}",848,768
"{""type"": ""Point"", ""coordinates"": [-73.98955109,40.7403432]}",816,758
"{""type"": ""Point"", ""coordinates"": [-73.97498696,40.75510267]}",802,781
"{""type"": ""Point"", ""coordinates"": [-73.99009296,40.73704984]}",689,630
"{""type"": ""Point"", ""coordinates"": [-73.99415556,40.74173969]}",677,656
"{""type"": ""Point"", ""coordinates"": [-73.993934,40.751551]}",619,605
"{""type"": ""Point"", ""coordinates"": [-73.99074142,40.73454567]}",595,580
"{""type"": ""Point"", ""coordinates"": [-73.99456405,40.73971301]}",585,530
"{""type"": ""Point"", ""coordinates"": [-73.97982001,40.76132983]}",584,534
"{""type"": ""Point"", ""coordinates"": [-73.98191841,40.76915505]}",579,607
"{""type"": ""Point"", ""coordinates"": [-74.00138497,40.74102151]}",575,549
"{""type"": ""Point"", ""coordinates"": [-74.007756,40.746745]}",574,491
"{""type"": ""Point"", ""coordinates"": [-73.98658032,40.75513557]}",544,533
"{""type"": ""Point"", ""coordinates"": [-73.98848395,40.74901271]}",530,599
"{""type"": ""Point"", ""coordinates"": [-73.99102628,40.73020661]}",513,534
"{""type"": ""Point"", ""coordinates"": [-73.98918629,40.74286877]}",513,490
"{""type"": ""Point"", ""coordinates"": [-74.01322069,40.71754834]}",498,485
"{""type"": ""Point"", ""coordinates"": [-73.98602213,40.74096374]}",491,477
"{""type"": ""Point"", ""coordinates"": [-74.00277668,40.76087502]}",487,417
"{""type"": ""Point"", ""coordinates"": [-73.99093085,40.75019995]}",486,545
"{""type"": ""Point"", ""coordinates"": [-73.9916,40.749156]}",477,467
"{""type"": ""Point"", ""coordinates"": [-73.9907527,40.72951496]}",476,413
"{""type"": ""Point"", ""coordinates"": [-73.99724901,40.72210379]}",475,451
"{""type"": ""Point"", ""coordinates"": [-73.97791,40.751581]}",463,462
"{""type"": ""Point"", ""coordinates"": [-74.00711384,40.73291553]}",458,452
"{""type"": ""Point"", ""coordinates"": [-73.99379025,40.72743423]}",453,376
"{""type"": ""Point"", ""coordinates"": [-73.97371465,40.7643971]}",444,482
"{""type"": ""Point"", ""coordinates"": [-73.98192338,40.7652654]}",436,434
"{""type"": ""Point"", ""coordinates"": [-74.00197139,40.7454973]}",428,400
"{""type"": ""Point"", ""coordinates"": [-73.97634151,40.76590936]}",423,400
"{""type"": ""Point"", ""coordinates"": [-74.00674436,40.73172428]}",420,412
"{""type"": ""Point"", ""coordinates"": [-73.993915,40.746647]}",419,414
"{""type"": ""Point"", ""coordinates"": [-73.95818491,40.76500525]}",414,416
"{""type"": ""Point"", ""coordinates"": [-73.98194829,40.7457121]}",412,426
"{""type"": ""Point"", ""coordinates"": [-73.98165557,40.73221853]}",410,401
"{""type"": ""Point"", ""coordinates"": [-74.01030064,40.72019521]}",410,381
"{""type"": ""Point"", ""coordinates"": [-74.01658354,40.7153379]}",407,406
"{""type"": ""Point"", ""coordinates"": [-74.015756,40.711512]}",403,434
"{""type"": ""Point"", ""coordinates"": [-74.00214988,40.73038599]}",402,384
"{""type"": ""Point"", ""coordinates"": [-73.99723551,40.74734825]}",400,363
"{""type"": ""Point"", ""coordinates"": [-73.98452729,40.76068327]}",397,387
"{""type"": ""Point"", ""coordinates"": [-73.99200509,40.73492695]}",396,388
"{""type"": ""Point"", ""coordinates"": [-74.005226,40.751396]}",391,377
"{""type"": ""Point"", ""coordinates"": [-74.00507033,40.7394482]}",391,350
"{""type"": ""Point"", ""coordinates"": [-73.99238967,40.73726186]}",390,369
"{""type"": ""Point"", ""coordinates"": [-73.98142006,40.72740794]}",386,351
"{""type"": ""Point"", ""coordinates"": [-74.008119,40.739323]}",385,327
"{""type"": ""Point"", ""coordinates"": [-74.00297088,40.72710258]}",385,369
"{""type"": ""Point"", ""coordinates"": [-74.00218427,40.75018156]}",383,400
"{""type"": ""Point"", ""coordinates"": [-73.99144871,40.74395411]}",381,378
"{""type"": ""Point"", ""coordinates"": [-73.97992194,40.75216528]}",376,365
"{""type"": ""Point"", ""coordinates"": [-73.9912551,40.76019252]}",375,413
"{""type"": ""Point"", ""coordinates"": [-74.00681753,40.74334935]}",372,336
"{""type"": ""Point"", ""coordinates"": [-73.98855723,40.7462009]}",364,358
"{""type"": ""Point"", ""coordinates"": [-73.98683077,40.7451677]}",362,345
"{""type"": ""Point"", ""coordinates"": [-73.99600983,40.72430527]}",362,354
"{""type"": ""Point"", ""coordinates"": [-73.99529885,40.74487634]}",362,356
"{""type"": ""Point"", ""coordinates"": [-73.986923,40.734232]}",360,340
"{""type"": ""Point"", ""coordinates"": [-73.98808416,40.74854862]}",359,368
"{""type"": ""Point"", ""coordinates"": [-74.0046073,40.71273266]}",357,353
"{""type"": ""Point"", ""coordinates"": [-73.98672378,40.73047309]}",355,341
