geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.99098507,40.7575699]}",921,923
"{""type"": ""Point"", ""coordinates"": [-73.99974372,40.71602118]}",656,635
"{""type"": ""Point"", ""coordinates"": [-73.977706,40.751873]}",557,551
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",535,450
"{""type"": ""Point"", ""coordinates"": [-73.967416,40.756014]}",517,513
"{""type"": ""Point"", ""coordinates"": [-73.99468482,40.75058535]}",429,464
"{""type"": ""Point"", ""coordinates"": [-73.98955109,40.7403432]}",419,398
"{""type"": ""Point"", ""coordinates"": [-73.99009296,40.73704984]}",360,347
"{""type"": ""Point"", ""coordinates"": [-73.99415556,40.74173969]}",345,341
"{""type"": ""Point"", ""coordinates"": [-73.99102628,40.73020661]}",308,269
"{""type"": ""Point"", ""coordinates"": [-73.97498696,40.75510267]}",304,309
"{""type"": ""Point"", ""coordinates"": [-73.993934,40.751551]}",304,333
"{""type"": ""Point"", ""coordinates"": [-73.9907527,40.72951496]}",297,245
"{""type"": ""Point"", ""coordinates"": [-73.99093085,40.75019995]}",296,301
"{""type"": ""Point"", ""coordinates"": [-73.99379025,40.72743423]}",295,277
"{""type"": ""Point"", ""coordinates"": [-73.99074142,40.73454567]}",294,275
"{""type"": ""Point"", ""coordinates"": [-74.00711384,40.73291553]}",287,284
"{""type"": ""Point"", ""coordinates"": [-74.00138497,40.74102151]}",285,285
"{""type"": ""Point"", ""coordinates"": [-73.98918629,40.74286877]}",280,277
"{""type"": ""Point"", ""coordinates"": [-73.98191841,40.76915505]}",274,276
"{""type"": ""Point"", ""coordinates"": [-73.9916,40.749156]}",267,262
"{""type"": ""Point"", ""coordinates"": [-73.98848395,40.74901271]}",265,257
"{""type"": ""Point"", ""coordinates"": [-74.01322069,40.71754834]}",263,222
"{""type"": ""Point"", ""coordinates"": [-73.98658032,40.75513557]}",263,263
"{""type"": ""Point"", ""coordinates"": [-74.007756,40.746745]}",245,233
"{""type"": ""Point"", ""coordinates"": [-74.00214988,40.73038599]}",244,241
"{""type"": ""Point"", ""coordinates"": [-73.97805914,40.75724568]}",243,234
"{""type"": ""Point"", ""coordinates"": [-73.99724901,40.72210379]}",242,239
"{""type"": ""Point"", ""coordinates"": [-73.98602213,40.74096374]}",235,238
"{""type"": ""Point"", ""coordinates"": [-73.98452729,40.76068327]}",235,212
"{""type"": ""Point"", ""coordinates"": [-73.98067966,40.72966729]}",235,241
"{""type"": ""Point"", ""coordinates"": [-73.98194829,40.7457121]}",234,232
"{""type"": ""Point"", ""coordinates"": [-73.97982001,40.76132983]}",234,231
"{""type"": ""Point"", ""coordinates"": [-73.98192338,40.7652654]}",231,232
"{""type"": ""Point"", ""coordinates"": [-73.98165557,40.73221853]}",230,238
"{""type"": ""Point"", ""coordinates"": [-73.99456405,40.73971301]}",230,224
"{""type"": ""Point"", ""coordinates"": [-73.99600983,40.72430527]}",229,224
"{""type"": ""Point"", ""coordinates"": [-73.97634151,40.76590936]}",217,220
"{""type"": ""Point"", ""coordinates"": [-73.99200509,40.73492695]}",215,213
"{""type"": ""Point"", ""coordinates"": [-73.99529885,40.74487634]}",215,212
"{""type"": ""Point"", ""coordinates"": [-74.00197139,40.7454973]}",210,202
"{""type"": ""Point"", ""coordinates"": [-73.99144871,40.74395411]}",209,205
"{""type"": ""Point"", ""coordinates"": [-73.95818491,40.76500525]}",209,212
"{""type"": ""Point"", ""coordinates"": [-73.97371465,40.7643971]}",208,206
"{""type"": ""Point"", ""coordinates"": [-73.98564945,40.72779126]}",207,197
"{""type"": ""Point"", ""coordinates"": [-73.98683077,40.7451677]}",207,203
"{""type"": ""Point"", ""coordinates"": [-73.97648516,40.75992262]}",207,213
"{""type"": ""Point"", ""coordinates"": [-73.97449784,40.74322681]}",206,209
"{""type"": ""Point"", ""coordinates"": [-73.983293,40.741459]}",206,211
"{""type"": ""Point"", ""coordinates"": [-74.01030064,40.72019521]}",205,205
"{""type"": ""Point"", ""coordinates"": [-74.008119,40.739323]}",203,190
"{""type"": ""Point"", ""coordinates"": [-73.97573881,40.73314259]}",203,212
"{""type"": ""Point"", ""coordinates"": [-74.015756,40.711512]}",201,202
"{""type"": ""Point"", ""coordinates"": [-73.98205027,40.73587678]}",200,209
"{""type"": ""Point"", ""coordinates"": [-73.98713956,40.7284186]}",200,202
"{""type"": ""Point"", ""coordinates"": [-73.98855723,40.7462009]}",198,197
"{""type"": ""Point"", ""coordinates"": [-73.9912551,40.76019252]}",196,196
"{""type"": ""Point"", ""coordinates"": [-73.98142006,40.72740794]}",196,197
"{""type"": ""Point"", ""coordinates"": [-73.98808416,40.74854862]}",195,197
"{""type"": ""Point"", ""coordinates"": [-73.97973776,40.73912601]}",194,190
"{""type"": ""Point"", ""coordinates"": [-74.00507033,40.7394482]}",193,173
"{""type"": ""Point"", ""coordinates"": [-74.0021163,40.75594159]}",192,149
"{""type"": ""Point"", ""coordinates"": [-74.01658354,40.7153379]}",191,201
"{""type"": ""Point"", ""coordinates"": [-74.00297088,40.72710258]}",190,194
"{""type"": ""Point"", ""coordinates"": [-73.97706058,40.74290902]}",189,192
"{""type"": ""Point"", ""coordinates"": [-74.00277668,40.76087502]}",189,190
"{""type"": ""Point"", ""coordinates"": [-73.99238967,40.73726186]}",189,187
"{""type"": ""Point"", ""coordinates"": [-73.98379855,40.72621788]}",188,223
"{""type"": ""Point"", ""coordinates"": [-73.9734419,40.74780373]}",187,189
"{""type"": ""Point"", ""coordinates"": [-73.98185424,40.72453734]}",187,183
"{""type"": ""Point"", ""coordinates"": [-73.98054421,40.73381219]}",186,198
"{""type"": ""Point"", ""coordinates"": [-74.00566443,40.72243797]}",185,173
"{""type"": ""Point"", ""coordinates"": [-73.98490707,40.74765947]}",183,181
"{""type"": ""Point"", ""coordinates"": [-74.00293877,40.73401143]}",183,180
"{""type"": ""Point"", ""coordinates"": [-73.989111,40.722055]}",182,181
"{""type"": ""Point"", ""coordinates"": [-74.00218427,40.75018156]}",182,190
"{""type"": ""Point"", ""coordinates"": [-73.98751968,40.73827428]}",181,179
"{""type"": ""Point"", ""coordinates"": [-74.00681753,40.74334935]}",181,175
"{""type"": ""Point"", ""coordinates"": [-73.99810231,40.72917025]}",180,182
"{""type"": ""Point"", ""coordinates"": [-73.97966069,40.74394314]}",180,204
"{""type"": ""Point"", ""coordinates"": [-73.993915,40.746647]}",179,180
"{""type"": ""Point"", ""coordinates"": [-74.01361706,40.70463334]}",179,150
