geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.99974372,40.71602118]}",572,533
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",383,328
"{""type"": ""Point"", ""coordinates"": [-73.99098507,40.7575699]}",372,434
"{""type"": ""Point"", ""coordinates"": [-73.99009296,40.73704984]}",334,333
"{""type"": ""Point"", ""coordinates"": [-73.99415556,40.74173969]}",307,274
"{""type"": ""Point"", ""coordinates"": [-73.99074142,40.73454567]}",287,297
"{""type"": ""Point"", ""coordinates"": [-73.967416,40.756014]}",228,199
"{""type"": ""Point"", ""coordinates"": [-74.00214988,40.73038599]}",227,228
"{""type"": ""Point"", ""coordinates"": [-73.97371465,40.7643971]}",212,221
"{""type"": ""Point"", ""coordinates"": [-73.99456405,40.73971301]}",210,196
"{""type"": ""Point"", ""coordinates"": [-73.98955109,40.7403432]}",205,187
"{""type"": ""Point"", ""coordinates"": [-73.98672378,40.73047309]}",200,205
"{""type"": ""Point"", ""coordinates"": [-73.99102628,40.73020661]}",198,179
"{""type"": ""Point"", ""coordinates"": [-74.00293877,40.73401143]}",198,183
"{""type"": ""Point"", ""coordinates"": [-74.01322069,40.71754834]}",198,182
"{""type"": ""Point"", ""coordinates"": [-73.989111,40.722055]}",192,186
"{""type"": ""Point"", ""coordinates"": [-73.97906899,40.76674056]}",190,173
"{""type"": ""Point"", ""coordinates"": [-73.977706,40.751873]}",188,181
"{""type"": ""Point"", ""coordinates"": [-74.00218427,40.75018156]}",183,161
"{""type"": ""Point"", ""coordinates"": [-73.98192338,40.7652654]}",183,160
"{""type"": ""Point"", ""coordinates"": [-73.98067966,40.72966729]}",183,190
"{""type"": ""Point"", ""coordinates"": [-73.98379855,40.72621788]}",182,184
"{""type"": ""Point"", ""coordinates"": [-73.99379025,40.72743423]}",182,181
"{""type"": ""Point"", ""coordinates"": [-73.99724901,40.72210379]}",181,160
"{""type"": ""Point"", ""coordinates"": [-73.99200509,40.73492695]}",180,171
"{""type"": ""Point"", ""coordinates"": [-74.00138497,40.74102151]}",179,188
"{""type"": ""Point"", ""coordinates"": [-73.99468482,40.75058535]}",170,165
"{""type"": ""Point"", ""coordinates"": [-73.98426726,40.72953837]}",169,180
"{""type"": ""Point"", ""coordinates"": [-74.007756,40.746745]}",169,167
"{""type"": ""Point"", ""coordinates"": [-73.98142006,40.72740794]}",169,189
"{""type"": ""Point"", ""coordinates"": [-73.95939,40.78307]}",167,151
"{""type"": ""Point"", ""coordinates"": [-73.98261428,40.77163851]}",167,179
"{""type"": ""Point"", ""coordinates"": [-73.993934,40.751551]}",166,159
"{""type"": ""Point"", ""coordinates"": [-74.008119,40.739323]}",165,164
"{""type"": ""Point"", ""coordinates"": [-73.9907527,40.72951496]}",164,171
"{""type"": ""Point"", ""coordinates"": [-73.99480012,40.72317958]}",160,147
"{""type"": ""Point"", ""coordinates"": [-73.99600983,40.72430527]}",160,143
"{""type"": ""Point"", ""coordinates"": [-73.99994661,40.73781509]}",160,182
"{""type"": ""Point"", ""coordinates"": [-73.98368779,40.72217444]}",160,158
"{""type"": ""Point"", ""coordinates"": [-74.00507033,40.7394482]}",155,146
"{""type"": ""Point"", ""coordinates"": [-73.98713956,40.7284186]}",155,135
"{""type"": ""Point"", ""coordinates"": [-74.00197139,40.7454973]}",153,156
"{""type"": ""Point"", ""coordinates"": [-73.99726235,40.74238787]}",152,141
"{""type"": ""Point"", ""coordinates"": [-73.98054421,40.73381219]}",152,178
"{""type"": ""Point"", ""coordinates"": [-73.98564945,40.72779126]}",152,154
"{""type"": ""Point"", ""coordinates"": [-74.00711384,40.73291553]}",152,165
"{""type"": ""Point"", ""coordinates"": [-74.0021163,40.75594159]}",151,123
"{""type"": ""Point"", ""coordinates"": [-74.00277668,40.76087502]}",151,151
"{""type"": ""Point"", ""coordinates"": [-73.97706058,40.74290902]}",151,151
"{""type"": ""Point"", ""coordinates"": [-73.986923,40.734232]}",148,168
"{""type"": ""Point"", ""coordinates"": [-73.97283406,40.78499979]}",148,168
"{""type"": ""Point"", ""coordinates"": [-73.99529885,40.74487634]}",147,148
"{""type"": ""Point"", ""coordinates"": [-73.97973776,40.73912601]}",145,172
"{""type"": ""Point"", ""coordinates"": [-73.99266288,40.71893904]}",144,147
"{""type"": ""Point"", ""coordinates"": [-73.98997825,40.72019576]}",144,144
"{""type"": ""Point"", ""coordinates"": [-73.98918629,40.74286877]}",143,138
"{""type"": ""Point"", ""coordinates"": [-73.98165557,40.73221853]}",142,177
"{""type"": ""Point"", ""coordinates"": [-73.99884222,40.76030096]}",142,141
"{""type"": ""Point"", ""coordinates"": [-74.00681753,40.74334935]}",141,114
"{""type"": ""Point"", ""coordinates"": [-73.96024116,40.71534825]}",141,123
"{""type"": ""Point"", ""coordinates"": [-73.9870295,40.71559509]}",140,140
"{""type"": ""Point"", ""coordinates"": [-73.98583621,40.72307749]}",139,143
"{""type"": ""Point"", ""coordinates"": [-73.960876,40.710451]}",139,152
"{""type"": ""Point"", ""coordinates"": [-73.99147535,40.72229346]}",138,116
"{""type"": ""Point"", ""coordinates"": [-73.98978041,40.7262807]}",138,138
"{""type"": ""Point"", ""coordinates"": [-73.97620574,40.77579377]}",138,135
"{""type"": ""Point"", ""coordinates"": [-73.99190759,40.71605866]}",137,133
"{""type"": ""Point"", ""coordinates"": [-73.97966069,40.74394314]}",136,136
"{""type"": ""Point"", ""coordinates"": [-73.98848395,40.74901271]}",136,123
"{""type"": ""Point"", ""coordinates"": [-74.00165856,40.72494672]}",136,111
"{""type"": ""Point"", ""coordinates"": [-73.983293,40.741459]}",132,112
"{""type"": ""Point"", ""coordinates"": [-74.01129574,40.72771408]}",132,132
"{""type"": ""Point"", ""coordinates"": [-73.98602213,40.74096374]}",132,117
"{""type"": ""Point"", ""coordinates"": [-73.99662137,40.72706363]}",131,107
"{""type"": ""Point"", ""coordinates"": [-73.99238967,40.73726186]}",129,108
"{""type"": ""Point"", ""coordinates"": [-73.99723551,40.74734825]}",129,115
"{""type"": ""Point"", ""coordinates"": [-73.98990025,40.71427487]}",128,131
"{""type"": ""Point"", ""coordinates"": [-74.000271,40.735238]}",128,123
"{""type"": ""Point"", ""coordinates"": [-73.993915,40.746647]}",126,113
"{""type"": ""Point"", ""coordinates"": [-74.00451887,40.74691959]}",126,130
"{""type"": ""Point"", ""coordinates"": [-73.99931783,40.73935542]}",124,150
"{""type"": ""Point"", ""coordinates"": [-73.963198,40.716887]}",123,122
"{""type"": ""Point"", ""coordinates"": [-73.99069656,40.72502876]}",123,125
"{""type"": ""Point"", ""coordinates"": [-74.015756,40.711512]}",122,102
"{""type"": ""Point"", ""coordinates"": [-73.98093045,40.77966809]}",122,125
"{""type"": ""Point"", ""coordinates"": [-74.00297088,40.72710258]}",122,128
"{""type"": ""Point"", ""coordinates"": [-73.98855723,40.7462009]}",122,118
"{""type"": ""Point"", ""coordinates"": [-73.96094022,40.7612274]}",121,135
"{""type"": ""Point"", ""coordinates"": [-74.00004031,40.74345335]}",121,125
"{""type"": ""Point"", ""coordinates"": [-73.9919254,40.72110063]}",120,107
"{""type"": ""Point"", ""coordinates"": [-73.99810231,40.72917025]}",120,118
"{""type"": ""Point"", ""coordinates"": [-73.99923384,40.74937024]}",119,122
"{""type"": ""Point"", ""coordinates"": [-73.97809472,40.736502]}",119,121
"{""type"": ""Point"", ""coordinates"": [-74.00473036,40.72430832]}",117,82
"{""type"": ""Point"", ""coordinates"": [-73.9912551,40.76019252]}",117,112
"{""type"": ""Point"", ""coordinates"": [-73.96961715,40.78472675]}",116,122
"{""type"": ""Point"", ""coordinates"": [-73.99383605,40.70277159]}",116,96
"{""type"": ""Point"", ""coordinates"": [-73.99915362,40.74475148]}",116,122
"{""type"": ""Point"", ""coordinates"": [-73.99461843,40.76009437]}",116,119
"{""type"": ""Point"", ""coordinates"": [-73.98859651,40.75929124]}",115,111
"{""type"": ""Point"", ""coordinates"": [-74.00674436,40.73172428]}",115,115
