geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.99098507,40.7575699]}",929,889
"{""type"": ""Point"", ""coordinates"": [-73.99974372,40.71602118]}",585,579
"{""type"": ""Point"", ""coordinates"": [-73.977706,40.751873]}",566,578
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",544,473
"{""type"": ""Point"", ""coordinates"": [-73.967416,40.756014]}",502,528
"{""type"": ""Point"", ""coordinates"": [-73.99468482,40.75058535]}",414,442
"{""type"": ""Point"", ""coordinates"": [-73.98955109,40.7403432]}",385,396
"{""type"": ""Point"", ""coordinates"": [-73.97498696,40.75510267]}",364,365
"{""type"": ""Point"", ""coordinates"": [-73.993934,40.751551]}",364,364
"{""type"": ""Point"", ""coordinates"": [-73.99009296,40.73704984]}",343,343
"{""type"": ""Point"", ""coordinates"": [-73.99415556,40.74173969]}",330,329
"{""type"": ""Point"", ""coordinates"": [-73.98658032,40.75513557]}",321,322
"{""type"": ""Point"", ""coordinates"": [-73.99456405,40.73971301]}",316,315
"{""type"": ""Point"", ""coordinates"": [-73.9916,40.749156]}",295,303
"{""type"": ""Point"", ""coordinates"": [-73.98918629,40.74286877]}",283,283
"{""type"": ""Point"", ""coordinates"": [-73.99093085,40.75019995]}",282,300
"{""type"": ""Point"", ""coordinates"": [-73.99102628,40.73020661]}",282,274
"{""type"": ""Point"", ""coordinates"": [-74.00138497,40.74102151]}",282,287
"{""type"": ""Point"", ""coordinates"": [-73.98848395,40.74901271]}",275,275
"{""type"": ""Point"", ""coordinates"": [-73.99074142,40.73454567]}",271,279
"{""type"": ""Point"", ""coordinates"": [-74.00711384,40.73291553]}",267,270
"{""type"": ""Point"", ""coordinates"": [-73.97982001,40.76132983]}",253,247
"{""type"": ""Point"", ""coordinates"": [-73.98191841,40.76915505]}",252,272
"{""type"": ""Point"", ""coordinates"": [-73.9907527,40.72951496]}",252,236
"{""type"": ""Point"", ""coordinates"": [-73.97371465,40.7643971]}",251,251
"{""type"": ""Point"", ""coordinates"": [-73.97791,40.751581]}",248,251
"{""type"": ""Point"", ""coordinates"": [-73.95818491,40.76500525]}",248,238
"{""type"": ""Point"", ""coordinates"": [-74.00451887,40.74691959]}",242,222
"{""type"": ""Point"", ""coordinates"": [-74.00214988,40.73038599]}",241,228
"{""type"": ""Point"", ""coordinates"": [-74.01322069,40.71754834]}",241,244
"{""type"": ""Point"", ""coordinates"": [-73.98067966,40.72966729]}",237,210
"{""type"": ""Point"", ""coordinates"": [-74.00297088,40.72710258]}",236,235
"{""type"": ""Point"", ""coordinates"": [-73.98192338,40.7652654]}",235,237
"{""type"": ""Point"", ""coordinates"": [-73.98194829,40.7457121]}",228,227
"{""type"": ""Point"", ""coordinates"": [-73.98808416,40.74854862]}",227,227
"{""type"": ""Point"", ""coordinates"": [-73.98165557,40.73221853]}",226,251
"{""type"": ""Point"", ""coordinates"": [-73.98452729,40.76068327]}",225,222
