geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.99098507,40.7575699]}",690,635
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",392,314
"{""type"": ""Point"", ""coordinates"": [-73.99974372,40.71602118]}",376,375
"{""type"": ""Point"", ""coordinates"": [-73.977706,40.751873]}",371,347
"{""type"": ""Point"", ""coordinates"": [-73.967416,40.756014]}",348,339
"{""type"": ""Point"", ""coordinates"": [-73.99468482,40.75058535]}",311,321
"{""type"": ""Point"", ""coordinates"": [-73.98955109,40.7403432]}",290,229
"{""type"": ""Point"", ""coordinates"": [-73.993934,40.751551]}",251,252
"{""type"": ""Point"", ""coordinates"": [-73.99415556,40.74173969]}",237,227
"{""type"": ""Point"", ""coordinates"": [-73.99009296,40.73704984]}",235,226
"{""type"": ""Point"", ""coordinates"": [-73.97791,40.751581]}",229,258
"{""type"": ""Point"", ""coordinates"": [-73.99074142,40.73454567]}",227,218
"{""type"": ""Point"", ""coordinates"": [-73.97498696,40.75510267]}",219,244
"{""type"": ""Point"", ""coordinates"": [-73.9916,40.749156]}",215,212
"{""type"": ""Point"", ""coordinates"": [-73.99093085,40.75019995]}",213,221
"{""type"": ""Point"", ""coordinates"": [-73.9907527,40.72951496]}",199,160
"{""type"": ""Point"", ""coordinates"": [-73.98658032,40.75513557]}",196,194
"{""type"": ""Point"", ""coordinates"": [-73.98165557,40.73221853]}",192,172
"{""type"": ""Point"", ""coordinates"": [-73.99379025,40.72743423]}",191,181
"{""type"": ""Point"", ""coordinates"": [-74.007756,40.746745]}",182,197
"{""type"": ""Point"", ""coordinates"": [-73.99102628,40.73020661]}",179,162
"{""type"": ""Point"", ""coordinates"": [-73.98918629,40.74286877]}",174,172
"{""type"": ""Point"", ""coordinates"": [-73.98848395,40.74901271]}",171,154
"{""type"": ""Point"", ""coordinates"": [-73.97982001,40.76132983]}",171,184
"{""type"": ""Point"", ""coordinates"": [-74.00138497,40.74102151]}",167,173
"{""type"": ""Point"", ""coordinates"": [-73.97805914,40.75724568]}",167,168
"{""type"": ""Point"", ""coordinates"": [-73.983293,40.741459]}",166,161
"{""type"": ""Point"", ""coordinates"": [-73.98192338,40.7652654]}",165,160
"{""type"": ""Point"", ""coordinates"": [-73.98602213,40.74096374]}",163,168
"{""type"": ""Point"", ""coordinates"": [-73.98194829,40.7457121]}",160,188
"{""type"": ""Point"", ""coordinates"": [-73.99144871,40.74395411]}",159,162
"{""type"": ""Point"", ""coordinates"": [-73.993915,40.746647]}",157,155
"{""type"": ""Point"", ""coordinates"": [-73.98808416,40.74854862]}",154,146
"{""type"": ""Point"", ""coordinates"": [-74.00214988,40.73038599]}",152,122
"{""type"": ""Point"", ""coordinates"": [-73.97449784,40.74322681]}",150,155
"{""type"": ""Point"", ""coordinates"": [-74.00711384,40.73291553]}",150,154
"{""type"": ""Point"", ""coordinates"": [-73.98452729,40.76068327]}",148,147
