geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.99098507,40.7575699]}",643,623
"{""type"": ""Point"", ""coordinates"": [-73.977706,40.751873]}",379,348
"{""type"": ""Point"", ""coordinates"": [-73.99974372,40.71602118]}",344,349
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",344,286
"{""type"": ""Point"", ""coordinates"": [-73.967416,40.756014]}",315,302
"{""type"": ""Point"", ""coordinates"": [-73.99468482,40.75058535]}",274,285
"{""type"": ""Point"", ""coordinates"": [-73.98955109,40.7403432]}",256,222
"{""type"": ""Point"", ""coordinates"": [-73.9916,40.749156]}",231,228
"{""type"": ""Point"", ""coordinates"": [-73.97498696,40.75510267]}",216,215
"{""type"": ""Point"", ""coordinates"": [-73.99415556,40.74173969]}",210,194
"{""type"": ""Point"", ""coordinates"": [-73.993934,40.751551]}",203,212
"{""type"": ""Point"", ""coordinates"": [-73.98658032,40.75513557]}",202,201
"{""type"": ""Point"", ""coordinates"": [-74.007756,40.746745]}",197,188
"{""type"": ""Point"", ""coordinates"": [-73.99009296,40.73704984]}",191,194
"{""type"": ""Point"", ""coordinates"": [-73.99093085,40.75019995]}",188,182
"{""type"": ""Point"", ""coordinates"": [-73.99074142,40.73454567]}",185,182
"{""type"": ""Point"", ""coordinates"": [-73.98918629,40.74286877]}",180,179
"{""type"": ""Point"", ""coordinates"": [-74.00138497,40.74102151]}",173,168
"{""type"": ""Point"", ""coordinates"": [-73.9907527,40.72951496]}",169,159
"{""type"": ""Point"", ""coordinates"": [-73.97982001,40.76132983]}",164,181
"{""type"": ""Point"", ""coordinates"": [-73.99102628,40.73020661]}",162,155
"{""type"": ""Point"", ""coordinates"": [-73.98808416,40.74854862]}",161,163
"{""type"": ""Point"", ""coordinates"": [-73.98194829,40.7457121]}",160,166
"{""type"": ""Point"", ""coordinates"": [-73.97805914,40.75724568]}",155,154
"{""type"": ""Point"", ""coordinates"": [-73.98165557,40.73221853]}",154,162
"{""type"": ""Point"", ""coordinates"": [-73.97791,40.751581]}",151,157
"{""type"": ""Point"", ""coordinates"": [-73.98452729,40.76068327]}",150,153
"{""type"": ""Point"", ""coordinates"": [-73.993915,40.746647]}",150,157
"{""type"": ""Point"", ""coordinates"": [-73.98602213,40.74096374]}",148,164
"{""type"": ""Point"", ""coordinates"": [-73.983293,40.741459]}",144,157
"{""type"": ""Point"", ""coordinates"": [-73.99456405,40.73971301]}",143,140
"{""type"": ""Point"", ""coordinates"": [-74.00711384,40.73291553]}",139,133
"{""type"": ""Point"", ""coordinates"": [-73.95818491,40.76500525]}",138,127
"{""type"": ""Point"", ""coordinates"": [-73.99379025,40.72743423]}",138,133
"{""type"": ""Point"", ""coordinates"": [-73.99200509,40.73492695]}",136,113
"{""type"": ""Point"", ""coordinates"": [-73.98192338,40.7652654]}",136,137
"{""type"": ""Point"", ""coordinates"": [-73.99723551,40.74734825]}",136,123
"{""type"": ""Point"", ""coordinates"": [-73.98848395,40.74901271]}",130,113
"{""type"": ""Point"", ""coordinates"": [-73.99238967,40.73726186]}",130,120
"{""type"": ""Point"", ""coordinates"": [-73.986923,40.734232]}",130,130
"{""type"": ""Point"", ""coordinates"": [-73.97809472,40.736502]}",129,131
"{""type"": ""Point"", ""coordinates"": [-73.97573881,40.73314259]}",128,111
"{""type"": ""Point"", ""coordinates"": [-73.99144871,40.74395411]}",128,126
"{""type"": ""Point"", ""coordinates"": [-73.97449784,40.74322681]}",127,138
"{""type"": ""Point"", ""coordinates"": [-73.99724901,40.72210379]}",125,124
"{""type"": ""Point"", ""coordinates"": [-74.01030064,40.72019521]}",125,122
"{""type"": ""Point"", ""coordinates"": [-73.97604882,40.7489006]}",122,116
"{""type"": ""Point"", ""coordinates"": [-73.98205027,40.73587678]}",121,135
"{""type"": ""Point"", ""coordinates"": [-73.98067966,40.72966729]}",120,134
"{""type"": ""Point"", ""coordinates"": [-74.00214988,40.73038599]}",120,106
"{""type"": ""Point"", ""coordinates"": [-73.98191841,40.76915505]}",119,140
"{""type"": ""Point"", ""coordinates"": [-73.98683077,40.7451677]}",118,117
"{""type"": ""Point"", ""coordinates"": [-73.99392888,40.76727216]}",116,94
"{""type"": ""Point"", ""coordinates"": [-73.9912551,40.76019252]}",116,116
"{""type"": ""Point"", ""coordinates"": [-73.98855723,40.7462009]}",115,118
"{""type"": ""Point"", ""coordinates"": [-73.98490707,40.74765947]}",113,111
"{""type"": ""Point"", ""coordinates"": [-73.97966069,40.74394314]}",113,112
"{""type"": ""Point"", ""coordinates"": [-73.99529885,40.74487634]}",113,123
"{""type"": ""Point"", ""coordinates"": [-73.97973776,40.73912601]}",113,119
"{""type"": ""Point"", ""coordinates"": [-73.976806,40.739445]}",112,104
"{""type"": ""Point"", ""coordinates"": [-73.98859651,40.75929124]}",111,94
"{""type"": ""Point"", ""coordinates"": [-73.99600983,40.72430527]}",111,111
"{""type"": ""Point"", ""coordinates"": [-73.97283406,40.78499979]}",110,138
"{""type"": ""Point"", ""coordinates"": [-73.98054421,40.73381219]}",108,109
"{""type"": ""Point"", ""coordinates"": [-73.98788205,40.76227205]}",107,102
"{""type"": ""Point"", ""coordinates"": [-74.01658354,40.7153379]}",107,95
"{""type"": ""Point"", ""coordinates"": [-73.98142006,40.72740794]}",107,114
"{""type"": ""Point"", ""coordinates"": [-73.97536082,40.74144387]}",107,103
"{""type"": ""Point"", ""coordinates"": [-74.00197139,40.7454973]}",106,106
"{""type"": ""Point"", ""coordinates"": [-73.96724467,40.76095756]}",106,104
"{""type"": ""Point"", ""coordinates"": [-73.98185424,40.72453734]}",106,105
"{""type"": ""Point"", ""coordinates"": [-73.98426726,40.72953837]}",106,107
"{""type"": ""Point"", ""coordinates"": [-73.98990025,40.71427487]}",106,103
"{""type"": ""Point"", ""coordinates"": [-73.97992194,40.75216528]}",106,106
"{""type"": ""Point"", ""coordinates"": [-73.97738662,40.7381765]}",105,105
"{""type"": ""Point"", ""coordinates"": [-74.00674436,40.73172428]}",105,90
"{""type"": ""Point"", ""coordinates"": [-73.97207836,40.75714758]}",105,101
"{""type"": ""Point"", ""coordinates"": [-73.97706058,40.74290902]}",104,113
"{""type"": ""Point"", ""coordinates"": [-73.98721619,40.75299641]}",104,99
"{""type"": ""Point"", ""coordinates"": [-73.98379855,40.72621788]}",104,128
"{""type"": ""Point"", ""coordinates"": [-73.98025185,40.75412081]}",104,103
"{""type"": ""Point"", ""coordinates"": [-74.01322069,40.71754834]}",104,91
"{""type"": ""Point"", ""coordinates"": [-73.98978041,40.7262807]}",103,91
"{""type"": ""Point"", ""coordinates"": [-73.9734419,40.74780373]}",101,113
"{""type"": ""Point"", ""coordinates"": [-73.98672378,40.73047309]}",101,107
"{""type"": ""Point"", ""coordinates"": [-73.989111,40.722055]}",100,106
"{""type"": ""Point"", ""coordinates"": [-73.98303529,40.74444921]}",100,111
"{""type"": ""Point"", ""coordinates"": [-74.00507033,40.7394482]}",99,87
"{""type"": ""Point"", ""coordinates"": [-73.97835016,40.76309387]}",99,98
"{""type"": ""Point"", ""coordinates"": [-73.9851615,40.76370739]}",99,98
"{""type"": ""Point"", ""coordinates"": [-74.005226,40.751396]}",99,98
"{""type"": ""Point"", ""coordinates"": [-74.015756,40.711512]}",98,93
"{""type"": ""Point"", ""coordinates"": [-73.99431,40.735445]}",98,91
"{""type"": ""Point"", ""coordinates"": [-73.95348296,40.76663814]}",96,90
"{""type"": ""Point"", ""coordinates"": [-73.98093045,40.77966809]}",95,93
"{""type"": ""Point"", ""coordinates"": [-73.98268129,40.76344058]}",95,91
"{""type"": ""Point"", ""coordinates"": [-74.01020234,40.71291224]}",95,79
"{""type"": ""Point"", ""coordinates"": [-73.97648516,40.75992262]}",95,95
"{""type"": ""Point"", ""coordinates"": [-73.99642959,40.73804614]}",95,93
"{""type"": ""Point"", ""coordinates"": [-74.00277668,40.76087502]}",95,72
"{""type"": ""Point"", ""coordinates"": [-73.99061728,40.76669671]}",95,97
"{""type"": ""Point"", ""coordinates"": [-73.98336183,40.76228826]}",94,94
"{""type"": ""Point"", ""coordinates"": [-74.00218427,40.75018156]}",93,111
"{""type"": ""Point"", ""coordinates"": [-73.99994661,40.73781509]}",93,92
"{""type"": ""Point"", ""coordinates"": [-73.99662137,40.72706363]}",93,86
"{""type"": ""Point"", ""coordinates"": [-73.97121214,40.744219]}",92,72
"{""type"": ""Point"", ""coordinates"": [-74.00681753,40.74334935]}",92,101
"{""type"": ""Point"", ""coordinates"": [-73.98014437,40.75500254]}",92,91
"{""type"": ""Point"", ""coordinates"": [-73.99490342,40.73143724]}",92,92
"{""type"": ""Point"", ""coordinates"": [-73.98765428,40.75097711]}",92,100
"{""type"": ""Point"", ""coordinates"": [-73.97634151,40.76590936]}",92,93
"{""type"": ""Point"", ""coordinates"": [-73.98316936,40.75527307]}",91,90
"{""type"": ""Point"", ""coordinates"": [-73.97402311,40.7597108]}",91,90
"{""type"": ""Point"", ""coordinates"": [-73.9870295,40.71559509]}",90,81
"{""type"": ""Point"", ""coordinates"": [-73.98751968,40.73827428]}",90,90
"{""type"": ""Point"", ""coordinates"": [-73.99266288,40.71893904]}",90,92
"{""type"": ""Point"", ""coordinates"": [-73.98583621,40.72307749]}",89,85
"{""type"": ""Point"", ""coordinates"": [-73.98564945,40.72779126]}",89,90
"{""type"": ""Point"", ""coordinates"": [-73.98797393,40.73536706]}",89,79
"{""type"": ""Point"", ""coordinates"": [-73.99301222,40.76269882]}",89,94
"{""type"": ""Point"", ""coordinates"": [-73.99404649,40.72903917]}",89,87
"{""type"": ""Point"", ""coordinates"": [-73.99931783,40.73935542]}",89,82
"{""type"": ""Point"", ""coordinates"": [-73.94552579,40.7862586]}",89,79
"{""type"": ""Point"", ""coordinates"": [-73.981346,40.714215]}",88,89
"{""type"": ""Point"", ""coordinates"": [-73.98713956,40.7284186]}",88,84
"{""type"": ""Point"", ""coordinates"": [-73.99069656,40.72502876]}",88,84
"{""type"": ""Point"", ""coordinates"": [-73.97371465,40.7643971]}",88,84
"{""type"": ""Point"", ""coordinates"": [-74.0046073,40.71273266]}",88,84
"{""type"": ""Point"", ""coordinates"": [-73.97282625,40.75255434]}",87,87
"{""type"": ""Point"", ""coordinates"": [-73.99800419,40.73532427]}",87,85
"{""type"": ""Point"", ""coordinates"": [-73.9535166,40.77140426]}",87,85
"{""type"": ""Point"", ""coordinates"": [-73.97950418,40.72746421]}",86,94
"{""type"": ""Point"", ""coordinates"": [-73.99884222,40.76030096]}",86,89
