geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.99098507,40.7575699]}",643,656
"{""type"": ""Point"", ""coordinates"": [-73.977706,40.751873]}",423,408
"{""type"": ""Point"", ""coordinates"": [-73.99974372,40.71602118]}",399,409
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",377,311
"{""type"": ""Point"", ""coordinates"": [-73.967416,40.756014]}",352,355
"{""type"": ""Point"", ""coordinates"": [-73.99468482,40.75058535]}",296,280
"{""type"": ""Point"", ""coordinates"": [-73.98955109,40.7403432]}",278,229
"{""type"": ""Point"", ""coordinates"": [-73.97498696,40.75510267]}",251,263
"{""type"": ""Point"", ""coordinates"": [-73.993934,40.751551]}",246,231
"{""type"": ""Point"", ""coordinates"": [-73.99093085,40.75019995]}",227,218
"{""type"": ""Point"", ""coordinates"": [-73.99415556,40.74173969]}",215,229
"{""type"": ""Point"", ""coordinates"": [-73.9916,40.749156]}",204,201
"{""type"": ""Point"", ""coordinates"": [-73.99074142,40.73454567]}",193,179
"{""type"": ""Point"", ""coordinates"": [-73.99009296,40.73704984]}",192,170
"{""type"": ""Point"", ""coordinates"": [-73.98165557,40.73221853]}",188,173
"{""type"": ""Point"", ""coordinates"": [-74.00138497,40.74102151]}",185,180
"{""type"": ""Point"", ""coordinates"": [-73.97982001,40.76132983]}",184,186
"{""type"": ""Point"", ""coordinates"": [-73.98918629,40.74286877]}",183,179
"{""type"": ""Point"", ""coordinates"": [-73.97791,40.751581]}",182,185
"{""type"": ""Point"", ""coordinates"": [-73.98658032,40.75513557]}",182,203
"{""type"": ""Point"", ""coordinates"": [-73.98452729,40.76068327]}",176,177
"{""type"": ""Point"", ""coordinates"": [-74.007756,40.746745]}",174,174
"{""type"": ""Point"", ""coordinates"": [-73.99102628,40.73020661]}",172,174
"{""type"": ""Point"", ""coordinates"": [-73.98848395,40.74901271]}",171,173
"{""type"": ""Point"", ""coordinates"": [-73.98602213,40.74096374]}",169,169
"{""type"": ""Point"", ""coordinates"": [-73.99379025,40.72743423]}",169,154
"{""type"": ""Point"", ""coordinates"": [-73.97805914,40.75724568]}",168,167
"{""type"": ""Point"", ""coordinates"": [-73.98194829,40.7457121]}",168,193
"{""type"": ""Point"", ""coordinates"": [-73.9907527,40.72951496]}",156,142
"{""type"": ""Point"", ""coordinates"": [-73.99144871,40.74395411]}",153,153
"{""type"": ""Point"", ""coordinates"": [-73.99200509,40.73492695]}",153,150
"{""type"": ""Point"", ""coordinates"": [-73.97809472,40.736502]}",152,147
"{""type"": ""Point"", ""coordinates"": [-74.00711384,40.73291553]}",151,154
"{""type"": ""Point"", ""coordinates"": [-73.99456405,40.73971301]}",149,145
"{""type"": ""Point"", ""coordinates"": [-73.95818491,40.76500525]}",148,147
"{""type"": ""Point"", ""coordinates"": [-73.97449784,40.74322681]}",148,139
"{""type"": ""Point"", ""coordinates"": [-73.98191841,40.76915505]}",147,166
"{""type"": ""Point"", ""coordinates"": [-73.98808416,40.74854862]}",147,132
"{""type"": ""Point"", ""coordinates"": [-73.98683077,40.7451677]}",146,146
"{""type"": ""Point"", ""coordinates"": [-74.01030064,40.72019521]}",142,137
"{""type"": ""Point"", ""coordinates"": [-73.98855723,40.7462009]}",142,141
"{""type"": ""Point"", ""coordinates"": [-73.99662137,40.72706363]}",138,115
"{""type"": ""Point"", ""coordinates"": [-73.97973776,40.73912601]}",137,118
"{""type"": ""Point"", ""coordinates"": [-73.983293,40.741459]}",136,134
"{""type"": ""Point"", ""coordinates"": [-73.99723551,40.74734825]}",136,150
"{""type"": ""Point"", ""coordinates"": [-74.00197139,40.7454973]}",134,129
"{""type"": ""Point"", ""coordinates"": [-73.99724901,40.72210379]}",133,126
"{""type"": ""Point"", ""coordinates"": [-73.98192338,40.7652654]}",132,161
"{""type"": ""Point"", ""coordinates"": [-73.98067966,40.72966729]}",131,157
"{""type"": ""Point"", ""coordinates"": [-73.99238967,40.73726186]}",130,140
"{""type"": ""Point"", ""coordinates"": [-73.98379855,40.72621788]}",128,149
"{""type"": ""Point"", ""coordinates"": [-73.993915,40.746647]}",127,128
"{""type"": ""Point"", ""coordinates"": [-73.986923,40.734232]}",126,134
"{""type"": ""Point"", ""coordinates"": [-73.99810231,40.72917025]}",125,115
"{""type"": ""Point"", ""coordinates"": [-74.00566443,40.72243797]}",125,84
"{""type"": ""Point"", ""coordinates"": [-73.98205027,40.73587678]}",125,133
"{""type"": ""Point"", ""coordinates"": [-73.97573881,40.73314259]}",125,125
"{""type"": ""Point"", ""coordinates"": [-74.005226,40.751396]}",124,122
"{""type"": ""Point"", ""coordinates"": [-73.97604882,40.7489006]}",124,125
"{""type"": ""Point"", ""coordinates"": [-73.97992194,40.75216528]}",122,119
"{""type"": ""Point"", ""coordinates"": [-74.00214988,40.73038599]}",120,136
"{""type"": ""Point"", ""coordinates"": [-74.00218427,40.75018156]}",119,120
"{""type"": ""Point"", ""coordinates"": [-73.97706058,40.74290902]}",119,116
"{""type"": ""Point"", ""coordinates"": [-73.98054421,40.73381219]}",118,120
"{""type"": ""Point"", ""coordinates"": [-73.99600983,40.72430527]}",118,113
"{""type"": ""Point"", ""coordinates"": [-73.98672378,40.73047309]}",118,115
"{""type"": ""Point"", ""coordinates"": [-74.01322069,40.71754834]}",117,109
"{""type"": ""Point"", ""coordinates"": [-73.98303529,40.74444921]}",116,117
"{""type"": ""Point"", ""coordinates"": [-73.98185424,40.72453734]}",116,118
"{""type"": ""Point"", ""coordinates"": [-73.98426726,40.72953837]}",114,116
"{""type"": ""Point"", ""coordinates"": [-73.98336183,40.76228826]}",114,111
