geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.99974372,40.71602118]}",474,483
"{""type"": ""Point"", ""coordinates"": [-73.99098507,40.7575699]}",396,387
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",361,316
"{""type"": ""Point"", ""coordinates"": [-73.99415556,40.74173969]}",255,227
"{""type"": ""Point"", ""coordinates"": [-73.99009296,40.73704984]}",252,216
"{""type"": ""Point"", ""coordinates"": [-73.967416,40.756014]}",239,225
"{""type"": ""Point"", ""coordinates"": [-73.98191841,40.76915505]}",219,199
"{""type"": ""Point"", ""coordinates"": [-73.99074142,40.73454567]}",218,217
"{""type"": ""Point"", ""coordinates"": [-74.00214988,40.73038599]}",207,206
"{""type"": ""Point"", ""coordinates"": [-73.99724901,40.72210379]}",181,166
"{""type"": ""Point"", ""coordinates"": [-74.00293877,40.73401143]}",180,177
"{""type"": ""Point"", ""coordinates"": [-73.99200509,40.73492695]}",170,157
"{""type"": ""Point"", ""coordinates"": [-73.97283406,40.78499979]}",169,180
"{""type"": ""Point"", ""coordinates"": [-73.98955109,40.7403432]}",168,164
"{""type"": ""Point"", ""coordinates"": [-74.008119,40.739323]}",167,147
"{""type"": ""Point"", ""coordinates"": [-74.00297088,40.72710258]}",164,155
"{""type"": ""Point"", ""coordinates"": [-73.98379855,40.72621788]}",162,162
"{""type"": ""Point"", ""coordinates"": [-73.98426726,40.72953837]}",161,162
"{""type"": ""Point"", ""coordinates"": [-73.98713956,40.7284186]}",161,140
"{""type"": ""Point"", ""coordinates"": [-74.00711384,40.73291553]}",156,144
"{""type"": ""Point"", ""coordinates"": [-74.00451887,40.74691959]}",156,155
"{""type"": ""Point"", ""coordinates"": [-73.98918629,40.74286877]}",155,153
"{""type"": ""Point"", ""coordinates"": [-73.99529885,40.74487634]}",154,135
"{""type"": ""Point"", ""coordinates"": [-73.9851615,40.76370739]}",152,141
"{""type"": ""Point"", ""coordinates"": [-73.97634151,40.76590936]}",151,135
"{""type"": ""Point"", ""coordinates"": [-73.98067966,40.72966729]}",151,160
"{""type"": ""Point"", ""coordinates"": [-74.007756,40.746745]}",150,152
"{""type"": ""Point"", ""coordinates"": [-73.98672378,40.73047309]}",150,155
