geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.99098507,40.7575699]}",547,561
"{""type"": ""Point"", ""coordinates"": [-73.99974372,40.71602118]}",420,439
"{""type"": ""Point"", ""coordinates"": [-73.977706,40.751873]}",361,390
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",313,292
"{""type"": ""Point"", ""coordinates"": [-73.99468482,40.75058535]}",307,209
"{""type"": ""Point"", ""coordinates"": [-73.967416,40.756014]}",269,275
"{""type"": ""Point"", ""coordinates"": [-73.99415556,40.74173969]}",227,236
"{""type"": ""Point"", ""coordinates"": [-73.99009296,40.73704984]}",220,244
"{""type"": ""Point"", ""coordinates"": [-73.99093085,40.75019995]}",219,179
"{""type"": ""Point"", ""coordinates"": [-73.98955109,40.7403432]}",213,224
"{""type"": ""Point"", ""coordinates"": [-73.9916,40.749156]}",200,198
"{""type"": ""Point"", ""coordinates"": [-73.98165557,40.73221853]}",196,168
"{""type"": ""Point"", ""coordinates"": [-73.99074142,40.73454567]}",187,203
"{""type"": ""Point"", ""coordinates"": [-73.993934,40.751551]}",187,209
"{""type"": ""Point"", ""coordinates"": [-74.00711384,40.73291553]}",184,148
"{""type"": ""Point"", ""coordinates"": [-74.00138497,40.74102151]}",183,190
"{""type"": ""Point"", ""coordinates"": [-73.9907527,40.72951496]}",174,152
"{""type"": ""Point"", ""coordinates"": [-73.98142006,40.72740794]}",173,103
"{""type"": ""Point"", ""coordinates"": [-73.98848395,40.74901271]}",165,166
"{""type"": ""Point"", ""coordinates"": [-74.00214988,40.73038599]}",164,155
"{""type"": ""Point"", ""coordinates"": [-73.98918629,40.74286877]}",163,180
"{""type"": ""Point"", ""coordinates"": [-74.007756,40.746745]}",161,162
"{""type"": ""Point"", ""coordinates"": [-73.99379025,40.72743423]}",161,140
"{""type"": ""Point"", ""coordinates"": [-73.98564945,40.72779126]}",156,105
"{""type"": ""Point"", ""coordinates"": [-73.99102628,40.73020661]}",156,162
"{""type"": ""Point"", ""coordinates"": [-73.98658032,40.75513557]}",149,147
"{""type"": ""Point"", ""coordinates"": [-73.99456405,40.73971301]}",146,151
"{""type"": ""Point"", ""coordinates"": [-73.97498696,40.75510267]}",141,153
"{""type"": ""Point"", ""coordinates"": [-73.99200509,40.73492695]}",141,156
"{""type"": ""Point"", ""coordinates"": [-73.99724901,40.72210379]}",140,146
"{""type"": ""Point"", ""coordinates"": [-73.983293,40.741459]}",139,150
"{""type"": ""Point"", ""coordinates"": [-74.00197139,40.7454973]}",139,135
"{""type"": ""Point"", ""coordinates"": [-73.98067966,40.72966729]}",138,125
"{""type"": ""Point"", ""coordinates"": [-73.98452729,40.76068327]}",135,131
"{""type"": ""Point"", ""coordinates"": [-73.98426726,40.72953837]}",135,131
"{""type"": ""Point"", ""coordinates"": [-73.98713956,40.7284186]}",135,104
"{""type"": ""Point"", ""coordinates"": [-73.98191841,40.76915505]}",134,163
"{""type"": ""Point"", ""coordinates"": [-73.98194829,40.7457121]}",133,131
"{""type"": ""Point"", ""coordinates"": [-73.993915,40.746647]}",133,138
"{""type"": ""Point"", ""coordinates"": [-73.986923,40.734232]}",132,137
"{""type"": ""Point"", ""coordinates"": [-73.97706058,40.74290902]}",130,151
"{""type"": ""Point"", ""coordinates"": [-73.97283406,40.78499979]}",128,144
"{""type"": ""Point"", ""coordinates"": [-73.98054421,40.73381219]}",128,129
"{""type"": ""Point"", ""coordinates"": [-73.9912551,40.76019252]}",128,134
"{""type"": ""Point"", ""coordinates"": [-73.98379855,40.72621788]}",127,123
"{""type"": ""Point"", ""coordinates"": [-73.98808416,40.74854862]}",127,127
"{""type"": ""Point"", ""coordinates"": [-73.98602213,40.74096374]}",126,139
"{""type"": ""Point"", ""coordinates"": [-73.99238967,40.73726186]}",125,120
"{""type"": ""Point"", ""coordinates"": [-73.99266288,40.71893904]}",125,100
"{""type"": ""Point"", ""coordinates"": [-73.98978041,40.7262807]}",125,106
"{""type"": ""Point"", ""coordinates"": [-74.01322069,40.71754834]}",123,124
"{""type"": ""Point"", ""coordinates"": [-74.00297088,40.72710258]}",123,120
"{""type"": ""Point"", ""coordinates"": [-73.97966069,40.74394314]}",122,151
"{""type"": ""Point"", ""coordinates"": [-73.98368779,40.72217444]}",122,95
"{""type"": ""Point"", ""coordinates"": [-73.99190759,40.71605866]}",122,110
"{""type"": ""Point"", ""coordinates"": [-73.99529885,40.74487634]}",122,121
"{""type"": ""Point"", ""coordinates"": [-74.005226,40.751396]}",122,113
"{""type"": ""Point"", ""coordinates"": [-73.99723551,40.74734825]}",122,131
"{""type"": ""Point"", ""coordinates"": [-73.98185424,40.72453734]}",121,108
"{""type"": ""Point"", ""coordinates"": [-74.00293877,40.73401143]}",120,104
"{""type"": ""Point"", ""coordinates"": [-73.98683077,40.7451677]}",119,131
"{""type"": ""Point"", ""coordinates"": [-74.0021163,40.75594159]}",119,93
"{""type"": ""Point"", ""coordinates"": [-73.98788205,40.76227205]}",118,114
"{""type"": ""Point"", ""coordinates"": [-73.99600983,40.72430527]}",118,127
"{""type"": ""Point"", ""coordinates"": [-73.98990025,40.71427487]}",117,113
"{""type"": ""Point"", ""coordinates"": [-73.9734419,40.74780373]}",116,124
"{""type"": ""Point"", ""coordinates"": [-73.95818491,40.76500525]}",115,132
"{""type"": ""Point"", ""coordinates"": [-73.98093045,40.77966809]}",114,120
"{""type"": ""Point"", ""coordinates"": [-73.99392888,40.76727216]}",114,106
"{""type"": ""Point"", ""coordinates"": [-74.00507033,40.7394482]}",114,109
"{""type"": ""Point"", ""coordinates"": [-73.97573881,40.73314259]}",113,106
"{""type"": ""Point"", ""coordinates"": [-73.99662137,40.72706363]}",113,99
"{""type"": ""Point"", ""coordinates"": [-73.99144871,40.74395411]}",112,128
"{""type"": ""Point"", ""coordinates"": [-74.00277668,40.76087502]}",112,80
"{""type"": ""Point"", ""coordinates"": [-73.99884222,40.76030096]}",112,97
"{""type"": ""Point"", ""coordinates"": [-73.98490707,40.74765947]}",111,111
