start1,end1,start2,end2,count
-73.979382,40.688226,-73.979382,40.688226,46
-73.99098507,40.7575699,-73.99098507,40.7575699,33
-73.99098507,40.7575699,-73.977706,40.751873,32
-73.977706,40.751873,-73.99098507,40.7575699,30
-73.967416,40.756014,-73.967416,40.756014,27
-73.97178913,40.69308257,-73.979382,40.688226,27
-73.96536851,40.69196035,-73.979382,40.688226,25
-73.977706,40.751873,-73.99093085,40.75019995,25
-73.979382,40.688226,-73.968896,40.693261,24
-73.968896,40.693261,-73.979382,40.688226,23
-73.94552579,40.7862586,-73.9471673,40.7839636,23
-73.9907527,40.72951496,-73.98185424,40.72453734,23
-73.99974372,40.71602118,-73.99974372,40.71602118,23
-73.95850939,40.71745169,-73.96590294,40.71285887,22
-73.979382,40.688226,-73.97178913,40.69308257,21
-73.96885458,40.68940747,-73.979382,40.688226,20
-74.007756,40.746745,-74.00138497,40.74102151,19
-73.9471673,40.7839636,-73.94552579,40.7862586,19
-73.98194829,40.7457121,-73.97449784,40.74322681,19
-74.01030064,40.72019521,-74.01658354,40.7153379,19
-73.99098507,40.7575699,-73.99884222,40.76030096,19
-73.977706,40.751873,-73.98602213,40.74096374,19
-73.98379855,40.72621788,-73.9907527,40.72951496,19
-73.95850939,40.71745169,-73.963198,40.716887,18
-73.99098507,40.7575699,-73.97498696,40.75510267,17
-73.98848395,40.74901271,-73.99098507,40.7575699,17
-73.95284,40.73555,-73.95411749,40.74232744,17
-73.99468482,40.75058535,-73.9851615,40.76370739,17
-73.97498696,40.75510267,-73.99098507,40.7575699,17
-73.99392888,40.76727216,-73.99098507,40.7575699,17
-73.967416,40.756014,-73.99098507,40.7575699,16
-73.98025185,40.75412081,-73.99098507,40.7575699,16
-73.993934,40.751551,-73.99098507,40.7575699,16
-73.979382,40.688226,-73.9737299,40.6917823,16
-74.00218427,40.75018156,-73.99723551,40.74734825,16
-73.9422369,40.71907891,-73.944507,40.715143,16
-73.993934,40.751551,-73.977706,40.751873,16
-74.01658354,40.7153379,-74.01030064,40.72019521,16
-73.98602213,40.74096374,-73.9916,40.749156,16
-73.967416,40.756014,-73.97032517,40.75323098,16
-73.9737299,40.6917823,-73.979382,40.688226,16
-73.99974372,40.71602118,-73.9870295,40.71559509,16
-74.01713445,40.70834698,-74.015756,40.711512,16
-73.98194829,40.7457121,-73.97706058,40.74290902,15
-73.963198,40.716887,-73.95850939,40.71745169,15
-74.01030064,40.72019521,-74.00935516,40.71334184,15
-73.95939,40.78307,-73.97620574,40.77579377,15
-73.967416,40.756014,-73.95818491,40.76500525,15
-73.97634151,40.76590936,-73.95939,40.78307,15
-73.944507,40.715143,-73.9422369,40.71907891,14
-73.99415556,40.74173969,-74.00197139,40.7454973,14
-73.96685276,40.77282817,-73.96685276,40.77282817,14
-73.95411749,40.74232744,-73.95284,40.73555,14
-73.96590294,40.71285887,-73.95850939,40.71745169,14
-73.97634151,40.76590936,-73.97634151,40.76590936,14
-73.98165557,40.73221853,-73.97809472,40.736502,14
-73.97498696,40.75510267,-73.967416,40.756014,14
-73.97805914,40.75724568,-73.99098507,40.7575699,14
-73.97805914,40.75724568,-73.98788205,40.76227205,14
-73.99884222,40.76030096,-73.993934,40.751551,14
-73.9535166,40.77140426,-73.95856158,40.77314236,14
-73.99093085,40.75019995,-73.977706,40.751873,13
-73.98165557,40.73221853,-73.97573881,40.73314259,13
-73.97449784,40.74322681,-73.977706,40.751873,13
-73.99098507,40.7575699,-73.98721619,40.75299641,13
-74.00566443,40.72243797,-73.99974372,40.71602118,13
-73.977706,40.751873,-73.98808416,40.74854862,13
-73.977706,40.751873,-73.97449784,40.74322681,13
-73.95451,40.74731,-73.95411749,40.74232744,13
-73.96094022,40.7612274,-73.95818491,40.76500525,13
-73.94552579,40.7862586,-73.94552579,40.7862586,13
-73.98191841,40.76915505,-73.98918696,40.77515953,13
-73.99344559,40.69760127,-73.99595065,40.69512845,13
-73.99468482,40.75058535,-73.977706,40.751873,13
-73.99468482,40.75058535,-73.967416,40.756014,13
-73.94434,40.72557,-73.94984365,40.72395678,13
-73.98142006,40.72740794,-73.99102628,40.73020661,13
-73.99915362,40.74475148,-73.99468482,40.75058535,13
-73.967416,40.756014,-73.97498696,40.75510267,13
-73.97371465,40.7643971,-73.95939,40.78307,12
-74.007756,40.746745,-74.00004031,40.74345335,12
-74.007756,40.746745,-74.00711384,40.73291553,12
-73.95411749,40.74232744,-73.95451,40.74731,12
-73.97809472,40.736502,-73.97573881,40.73314259,12
-73.9842844,40.69221589,-73.979382,40.688226,12
-74.005226,40.751396,-73.99468482,40.75058535,12
-74.00935516,40.71334184,-74.00566443,40.72243797,12
-73.99974372,40.71602118,-73.99600983,40.72430527,12
-73.99490342,40.73143724,-73.99200509,40.73492695,12
-73.98978041,40.7262807,-73.9907527,40.72951496,12
-74.00214988,40.73038599,-74.00674436,40.73172428,12
-74.008119,40.739323,-74.01322069,40.71754834,12
-73.99974372,40.71602118,-73.98990025,40.71427487,12
-73.99723551,40.74734825,-74.00218427,40.75018156,12
-73.97982001,40.76132983,-73.99098507,40.7575699,12
-74.015756,40.711512,-74.01361706,40.70463334,12
-73.96264403,40.71260486,-73.95850939,40.71745169,12
-73.99415556,40.74173969,-73.99915362,40.74475148,12
-73.97791,40.751581,-73.98303529,40.74444921,12
-73.98014437,40.75500254,-73.99098507,40.7575699,12
-74.00138497,40.74102151,-74.007756,40.746745,12
-73.97129668,40.69573398,-73.979382,40.688226,12
-74.00138497,40.74102151,-73.99468482,40.75058535,12
-73.98192338,40.7652654,-73.98336183,40.76228826,12
-73.98990025,40.71427487,-73.99974372,40.71602118,12
-73.99098507,40.7575699,-73.98788205,40.76227205,12
-73.99098507,40.7575699,-73.97982001,40.76132983,12
-73.99468482,40.75058535,-74.00197139,40.7454973,12
-73.99974372,40.71602118,-73.99379025,40.72743423,12
-73.96599591,40.68323865,-73.979382,40.688226,12
-73.99415556,40.74173969,-73.99098507,40.7575699,12
-73.99098507,40.7575699,-73.97791,40.751581,12
-73.99415556,40.74173969,-73.99994661,40.73781509,12
-74.01129574,40.72771408,-74.01322069,40.71754834,12
-73.98848395,40.74901271,-73.977706,40.751873,12
-74.00674436,40.73172428,-74.00618026,40.73652889,11
-73.97449784,40.74322681,-73.98194829,40.7457121,11
-73.979382,40.688226,-73.96599591,40.68323865,11
-73.967416,40.756014,-73.96094022,40.7612274,11
-73.99974372,40.71602118,-74.00935516,40.71334184,11
-73.97573881,40.73314259,-73.97809472,40.736502,11
-73.979382,40.688226,-73.96536851,40.69196035,11
-74.01677685,40.70569254,-74.015756,40.711512,11
-73.97493121,40.68981035,-73.979382,40.688226,11
-73.98955109,40.7403432,-73.99009296,40.73704984,11
-73.97363831,40.668132,-73.97111473,40.6750207,11
-73.99974372,40.71602118,-73.989111,40.722055,11
-73.99974372,40.71602118,-74.00653609,40.70955958,11
-73.98016555,40.71739973,-73.99974372,40.71602118,11
-73.99415556,40.74173969,-74.00451887,40.74691959,11
-74.01677685,40.70569254,-74.01361706,40.70463334,11
-73.977706,40.751873,-73.98955109,40.7403432,11
-73.94984365,40.72395678,-73.94434,40.72557,11
-73.97265183,40.68753406,-73.979382,40.688226,11
-74.007756,40.746745,-73.99726235,40.74238787,11
-73.9870295,40.71559509,-73.981346,40.714215,11
-73.977706,40.751873,-73.993934,40.751551,11
-73.99974372,40.71602118,-73.99190759,40.71605866,11
-74.01361706,40.70463334,-74.01677685,40.70569254,11
-73.96427393,40.77632142,-73.971518,40.766368,11
-73.979382,40.688226,-73.98068914,40.69839895,11
-73.99415556,40.74173969,-73.99931783,40.73935542,11
-74.00295035,40.74971775,-73.99723551,40.74734825,11
-73.99098507,40.7575699,-73.99923384,40.74937024,11
-74.00451887,40.74691959,-73.99915362,40.74475148,11
-73.97982001,40.76132983,-73.99093085,40.75019995,11
-73.979382,40.688226,-73.97355569,40.69580705,11
-74.01030064,40.72019521,-74.0091059,40.71625008,11
-74.00674436,40.73172428,-73.99468482,40.75058535,11
-73.98658032,40.75513557,-73.977706,40.751873,11
-74.00674436,40.73172428,-74.00214988,40.73038599,11
-74.00711384,40.73291553,-74.01322069,40.71754834,10
-73.967416,40.756014,-73.97207836,40.75714758,10
-73.967416,40.756014,-73.97648516,40.75992262,10
-73.98997825,40.72019576,-73.99974372,40.71602118,10
-73.96563307,40.68650065,-73.979382,40.688226,10
-73.99468482,40.75058535,-73.98918629,40.74286877,10
-73.97982001,40.76132983,-73.97498696,40.75510267,10
-74.00653609,40.70955958,-73.99974372,40.71602118,10
-74.015756,40.711512,-74.01713445,40.70834698,10
-73.97324283,40.6776147,-73.97523209,40.67514684,10
-73.94552579,40.7862586,-73.94755757,40.7903051,10
-73.99884222,40.76030096,-73.99098507,40.7575699,10
-73.988639,40.768254,-73.99098507,40.7575699,10
-74.00711384,40.73291553,-74.00566443,40.72243797,10
-73.98191841,40.76915505,-73.988038,40.770513,10
-73.967416,40.756014,-73.99093085,40.75019995,10
-73.98955109,40.7403432,-73.977706,40.751873,10
-73.97648516,40.75992262,-73.99098507,40.7575699,10
-73.97032517,40.75323098,-73.967416,40.756014,10
-73.99098507,40.7575699,-73.98765428,40.75097711,10
-73.9383,40.7923272,-73.9471673,40.7839636,10
-73.98940236,40.70255088,-73.99383605,40.70277159,10
-73.99098507,40.7575699,-73.9851615,40.76370739,10
-73.98855723,40.7462009,-73.98955109,40.7403432,10
-73.9396861,40.8045555,-73.95033068,40.7904828,10
-73.97283406,40.78499979,-73.97898475,40.7770575,10
-73.944507,40.715143,-73.94308,40.72325,10
-73.99098507,40.7575699,-73.993915,40.746647,10
-73.98765428,40.75097711,-73.977706,40.751873,10
-73.98452729,40.76068327,-73.97805914,40.75724568,10
-73.983293,40.741459,-73.977706,40.751873,10
-73.97992194,40.75216528,-73.99098507,40.7575699,10
-73.96905301,40.75001986,-73.967416,40.756014,10
-74.00711384,40.73291553,-74.00138497,40.74102151,10
-73.977706,40.751873,-73.98683077,40.7451677,10
-73.97283406,40.78499979,-73.96961715,40.78472675,10
-73.92093346,40.76754878,-73.9246145,40.7713615,10
-73.98683077,40.7451677,-73.99098507,40.7575699,10
-73.9647628,40.68851534,-73.979382,40.688226,10
-73.99468482,40.75058535,-73.99098507,40.7575699,10
-74.007756,40.746745,-73.99468482,40.75058535,10
-73.96961715,40.78472675,-73.97371465,40.7643971,10
-74.00247214,40.71939226,-74.01030064,40.72019521,10
-74.00681753,40.74334935,-74.00138497,40.74102151,10
-74.00234482,40.71494807,-73.99974372,40.71602118,10
-73.99098507,40.7575699,-73.98658032,40.75513557,10
-73.9979009,40.75660359,-73.993934,40.751551,9
-73.99468482,40.75058535,-74.00295035,40.74971775,9
-73.93797,40.751047,-73.95451,40.74731,9
-74.01361706,40.70463334,-74.01713445,40.70834698,9
-73.98452729,40.76068327,-73.99098507,40.7575699,9
-73.955613,40.799484,-73.955613,40.799484,9
-73.993934,40.751551,-73.9979009,40.75660359,9
-74.00367558,40.74353373,-73.99468482,40.75058535,9
-73.97449784,40.74322681,-73.99093085,40.75019995,9
-73.95520136,40.71816969,-73.94434,40.72557,9
-73.97791,40.751581,-73.99098507,40.7575699,9
-73.98658032,40.75513557,-73.98848395,40.74901271,9
-73.96023854,40.68900443,-73.96223558,40.69363137,9
-73.98452729,40.76068327,-73.977706,40.751873,9
-73.97791,40.751581,-73.9734419,40.74780373,9
-73.99098507,40.7575699,-73.99061728,40.76669671,9
-73.99931783,40.73935542,-73.99415556,40.74173969,9
-73.98303529,40.74444921,-73.977706,40.751873,9
-73.99098507,40.7575699,-73.98918629,40.74286877,9
-73.99098507,40.7575699,-73.988639,40.768254,9
-73.98191841,40.76915505,-73.97620574,40.77579377,9
-73.99098507,40.7575699,-73.98859651,40.75929124,9
-73.99098507,40.7575699,-73.98855723,40.7462009,9
-73.97634151,40.76590936,-73.96685276,40.77282817,9
-73.98191841,40.76915505,-73.98093045,40.77966809,9
-73.99074142,40.73454567,-73.97768752,40.72521311,9
-73.98191841,40.76915505,-73.99046034,40.77149671,9
-74.01043382,40.70905623,-74.01361706,40.70463334,9
-73.99074142,40.73454567,-73.98067966,40.72966729,9
-73.98192338,40.7652654,-73.97648516,40.75992262,9
-73.98192338,40.7652654,-73.99098507,40.7575699,9
-73.98192338,40.7652654,-73.99392888,40.76727216,9
-73.98194829,40.7457121,-73.9916,40.749156,9
-73.99974372,40.71602118,-74.00562789,40.71450451,9
-73.9907527,40.72951496,-73.98379855,40.72621788,9
-73.96525063,40.71044554,-73.96063149,40.70924826,9
-73.99093085,40.75019995,-73.99098507,40.7575699,9
-73.99415556,40.74173969,-74.00367558,40.74353373,9
-73.99974372,40.71602118,-73.98997825,40.72019576,9
-73.99974372,40.71602118,-73.99102628,40.73020661,9
-73.99098507,40.7575699,-73.99392888,40.76727216,9
-73.97620574,40.77579377,-73.97634151,40.76590936,9
-73.97620574,40.77579377,-73.97371465,40.7643971,9
-73.97498696,40.75510267,-73.98788205,40.76227205,9
